Date,Settle
1990-06-18,27.1939
1990-06-19,26.6949
1990-06-20,26.0712
1990-06-21,25.697
1990-06-22,25.9464
1990-06-25,25.4475
1990-06-26,24.699
1990-06-27,24.9485
1990-06-28,24.9485
1990-06-29,25.198
1990-07-02,25.0732
1990-07-03,24.699
1990-07-05,23.9506
1990-07-06,23.9506
1990-07-09,23.4516
1990-07-10,23.3269
1990-07-11,22.2042
1990-07-12,21.9547
1990-07-13,21.4557
1990-07-16,21.9547
1990-07-17,22.2042
1990-07-18,21.9547
1990-07-19,22.2042
1990-07-20,22.2042
1990-07-23,21.9547
1990-07-24,22.2042
1990-07-25,22.9526
1990-07-26,21.8299
1990-07-27,21.7052
1990-07-30,21.331
1990-07-31,20.832
1990-08-01,20.7073
1990-08-02,20.2083
1990-08-03,19.5846
1990-08-06,18.4619
1990-08-07,18.5866
1990-08-08,18.0877
1990-08-09,18.5866
1990-08-10,18.3372
1990-08-13,18.3372
1990-08-14,18.3372
1990-08-15,18.2124
1990-08-16,17.9629
1990-08-17,16.466
1990-08-20,17.0897
1990-08-21,17.2145
1990-08-22,16.7155
1990-08-23,15.0938
1990-08-24,14.9691
1990-08-27,15.7176
1990-08-28,15.4681
1990-08-29,15.967
1990-08-30,15.8423
1990-08-31,16.2165
1990-09-04,15.5928
1990-09-05,15.5928
1990-09-06,15.4681
1990-09-07,15.8423
1990-09-10,16.0918
1990-09-11,17.464
1990-09-12,17.9629
1990-09-13,18.2124
1990-09-14,17.9629
1990-09-17,17.8382
1990-09-18,17.8382
1990-09-19,18.0877
1990-09-20,18.4619
1990-09-21,18.2124
1990-09-24,17.7134
1990-09-25,16.965
1990-09-26,16.7155
1990-09-27,16.5908
1990-09-28,17.3392
1990-10-01,18.2124
1990-10-02,18.5866
1990-10-03,18.7114
1990-10-04,18.5866
1990-10-05,18.5866
1990-10-08,18.7114
1990-10-09,17.9629
1990-10-10,17.7134
1990-10-11,17.2145
1990-10-12,16.466
1990-10-15,16.5908
1990-10-17,16.466
1990-10-18,16.965
1990-10-19,16.8402
1990-10-22,16.965
1990-10-23,16.8402
1990-10-24,15.8423
1990-10-25,15.7176
1990-10-26,15.7176
1990-10-29,14.3454
1990-10-30,14.5949
1990-10-31,14.7196
1990-11-01,14.3454
1990-11-02,15.3433
1990-11-05,15.4681
1990-11-06,15.7176
1990-11-07,15.5928
1990-11-08,15.2186
1990-11-09,15.8423
1990-11-12,17.7134
1990-11-13,17.3392
1990-11-14,17.464
1990-11-15,17.3392
1990-11-16,17.464
1990-11-19,17.3392
1990-11-20,17.2145
1990-11-21,17.0897
1990-11-26,16.7155
1990-11-27,17.0897
1990-11-28,19.4598
1990-11-29,22.0794
1990-11-30,21.5805
1990-12-03,21.2062
1990-12-04,21.2062
1990-12-05,21.4557
1990-12-06,21.2062
1990-12-07,21.4557
1990-12-10,21.331
1990-12-11,22.7031
1990-12-12,23.7011
1990-12-13,23.4516
1990-12-14,22.9526
1990-12-17,22.8279
1990-12-18,23.7011
1990-12-19,24.2001
1990-12-20,24.4495
1990-12-21,24.9485
1990-12-24,24.5743
1990-12-26,24.4495
1990-12-27,24.4495
1990-12-28,24.3248
1990-12-31,24.5743
1991-01-02,23.9506
1991-01-03,23.9506
1991-01-04,23.7011
1991-01-07,23.4516
1991-01-08,23.7011
1991-01-09,24.0753
1991-01-10,23.9506
1991-01-11,23.9506
1991-01-14,23.8258
1991-01-15,23.5763
1991-01-16,23.5763
1991-01-17,23.9506
1991-01-18,23.9506
1991-01-21,23.8258
1991-01-22,23.4516
1991-01-23,23.2021
1991-01-24,23.3269
1991-01-25,23.2021
1991-01-28,23.2021
1991-01-29,23.4516
1991-01-30,23.5763
1991-01-31,23.7011
1991-02-01,23.3269
1991-02-04,23.3269
1991-02-05,23.5763
1991-02-06,23.7011
1991-02-07,23.4516
1991-02-08,23.5763
1991-02-11,23.9506
1991-02-12,23.4516
1991-02-13,23.7011
1991-02-14,23.5763
1991-02-15,23.8258
1991-02-19,23.5763
1991-02-20,23.4516
