Date,Settle
1990-01-02,0.5151
1990-01-03,0.511
1990-01-04,0.511
1990-01-05,0.5151
1990-01-08,0.5191
1990-01-09,0.5231
1990-01-10,0.5151
1990-01-11,0.5151
1990-01-12,0.4909
1990-01-15,0.503
1990-01-16,0.499
1990-01-17,0.499
1990-01-18,0.507
1990-01-19,0.503
1990-01-22,0.503
1990-01-23,0.4909
1990-01-24,0.4748
1990-01-25,0.4748
1990-01-26,0.4748
1990-01-29,0.4789
1990-01-30,0.4467
1990-01-31,0.4627
1990-02-01,0.4748
1990-02-02,0.4909
1990-02-05,0.499
1990-02-06,0.4829
1990-02-07,0.4708
1990-02-08,0.4829
1990-02-09,0.4748
1990-02-12,0.4668
1990-02-13,0.4748
1990-02-14,0.4708
1990-02-15,0.4668
1990-02-16,0.4748
1990-02-20,0.4668
1990-02-21,0.4507
1990-02-22,0.4507
1990-02-23,0.4507
1990-02-26,0.4507
1990-02-27,0.4507
1990-02-28,0.4547
1990-03-01,0.4507
1990-03-02,0.4507
1990-03-05,0.4668
1990-03-06,0.4748
1990-03-07,0.4587
1990-03-08,0.4748
1990-03-09,0.4789
1990-03-12,0.4869
1990-03-13,0.4909
1990-03-14,0.4869
1990-03-15,0.4881
1990-03-16,0.5002
1990-03-19,0.5164
1990-03-20,0.5164
1990-03-21,0.5244
1990-03-22,0.5002
1990-03-23,0.5083
1990-03-26,0.5002
1990-03-27,0.5042
1990-03-28,0.5042
1990-03-29,0.5042
1990-03-30,0.5002
1990-04-02,0.5002
1990-04-03,0.5083
1990-04-04,0.4962
1990-04-05,0.5002
1990-04-06,0.4881
1990-04-09,0.4921
1990-04-10,0.4962
1990-04-11,0.4921
1990-04-12,0.48
1990-04-16,0.4962
1990-04-17,0.5042
1990-04-18,0.5042
1990-04-19,0.4921
1990-04-20,0.4841
1990-04-23,0.476
1990-04-24,0.472
1990-04-25,0.476
1990-04-26,0.476
1990-04-27,0.4639
1990-04-30,0.472
1990-05-01,0.4679
1990-05-02,0.4639
1990-05-03,0.4639
1990-05-04,0.4558
1990-05-07,0.4639
1990-05-08,0.4558
1990-05-09,0.4639
1990-05-10,0.476
1990-05-11,0.4841
1990-05-14,0.4841
1990-05-15,0.472
1990-05-16,0.476
1990-05-17,0.4881
1990-05-18,0.476
1990-05-21,0.476
1990-05-22,0.4921
1990-05-23,0.48
1990-05-24,0.48
1990-05-25,0.472
1990-05-29,0.4962
1990-05-30,0.5083
1990-05-31,0.5164
1990-06-01,0.5164
1990-06-04,0.5164
1990-06-05,0.5123
1990-06-06,0.5083
1990-06-07,0.5083
1990-06-08,0.5123
1990-06-11,0.5164
1990-06-12,0.5123
1990-06-13,0.5164
1990-06-14,0.5176
1990-06-15,0.5135
1990-06-18,0.5135
1990-06-19,0.5095
1990-06-20,0.4973
1990-06-21,0.4893
1990-06-22,0.4933
1990-06-25,0.4852
1990-06-26,0.469
1990-06-27,0.4771
1990-06-28,0.4852
1990-06-29,0.5176
1990-07-02,0.5135
1990-07-03,0.5176
1990-07-05,0.5135
1990-07-06,0.5014
1990-07-09,0.4852
1990-07-10,0.5054
1990-07-11,0.5095
1990-07-12,0.5135
1990-07-13,0.5135
1990-07-16,0.5176
1990-07-17,0.5257
1990-07-18,0.5257
1990-07-19,0.5378
1990-07-20,0.5297
1990-07-23,0.5176
1990-07-24,0.5176
1990-07-25,0.5257
1990-07-26,0.5257
1990-07-27,0.5176
1990-07-30,0.5135
1990-07-31,0.5216
1990-08-01,0.5257
1990-08-02,0.5135
1990-08-03,0.5014
1990-08-06,0.4812
1990-08-07,0.469
1990-08-08,0.4812
1990-08-09,0.4893
1990-08-10,0.4893
1990-08-13,0.4812
1990-08-14,0.4771
1990-08-15,0.4812
1990-08-16,0.469
1990-08-17,0.4569
1990-08-20,0.461
1990-08-21,0.4488
1990-08-22,0.4367
1990-08-23,0.4124
1990-08-24,0.4286
1990-08-27,0.4488
1990-08-28,0.461
1990-08-29,0.461
1990-08-30,0.465
1990-08-31,0.469
1990-09-04,0.465
1990-09-05,0.465
1990-09-06,0.461
1990-09-07,0.465
1990-09-10,0.469
1990-09-11,0.465
1990-09-12,0.461
1990-09-13,0.4541
1990-09-14,0.4541
1990-09-17,0.4622
1990-09-18,0.4622
1990-09-19,0.4581
1990-09-20,0.4541
1990-09-21,0.45
1990-09-24,0.4419
1990-09-25,0.446
1990-09-26,0.4257
1990-09-27,0.4216
1990-09-28,0.4216
1990-10-01,0.45
1990-10-02,0.446
1990-10-03,0.4338
1990-10-04,0.4216
1990-10-05,0.446
1990-10-08,0.4622
1990-10-09,0.45
1990-10-10,0.4379
1990-10-11,0.4216
1990-10-12,0.4338
1990-10-15,0.4297
1990-10-16,0.4135
1990-10-17,0.4257
1990-10-18,0.4297
1990-10-19,0.4216
1990-10-22,0.4338
1990-10-23,0.4257
1990-10-24,0.4338
1990-10-25,0.4338
1990-10-26,0.4379
1990-10-29,0.4379
1990-10-30,0.446
1990-10-31,0.446
1990-11-01,0.4419
1990-11-02,0.446
1990-11-05,0.4622
1990-11-06,0.45
1990-11-07,0.45
1990-11-08,0.4541
1990-11-09,0.4703
1990-11-12,0.4581
1990-11-13,0.4581
1990-11-14,0.4703
1990-11-15,0.4622
1990-11-16,0.4703
1990-11-19,0.4703
1991-11-18,0.4266
1992-11-16,0.3988
1992-11-17,0.4029
1993-11-15,0.4744
1993-11-16,0.4744
1993-11-17,0.4661
1994-11-14,0.6391
1994-11-15,0.6391
1994-11-16,0.6391
1994-11-17,0.6391
1995-11-13,0.9828
1995-11-14,0.9956
1995-11-15,0.9956
1995-11-16,0.9956
1995-11-17,0.9913
1996-11-11,1.5619
1996-11-12,1.609
1996-11-13,1.6004
1996-11-14,1.6004
1996-11-15,1.6817
1996-11-18,1.6304
1997-11-10,8.9363
1997-11-11,9.1486
1997-11-12,9.0328
1997-11-13,8.8784
1997-11-14,8.8784
1998-11-09,11.6593
1998-11-10,12.1629
1998-11-11,11.853
1998-11-12,12.0467
1998-11-13,12.4534
1999-11-08,7.3514
1999-11-09,7.0004
1999-11-10,6.8249
1999-11-11,6.3569
1999-11-12,6.7859
1999-11-15,6.8639
1999-11-16,6.8834
2000-11-06,6.0756
2000-11-07,5.8003
2000-11-08,5.8003
2001-11-05,6.0436
2001-11-06,6.0246
2001-11-07,6.0626
2001-11-08,6.1483
2001-11-09,6.0785
2001-11-12,6.0722
2001-11-13,6.0658
2001-11-14,6.0531
2002-11-04,7.6554
2002-11-05,7.5692
2002-11-06,7.3616
2002-11-07,7.4383
2002-11-08,7.3808
2002-11-11,7.2403
2002-11-12,7.1668
2002-11-13,7.368
2002-11-14,7.4223
2003-09-11,6.0459
2003-10-01,6.287
2003-10-02,6.2774
2003-10-03,6.3386
2003-10-06,6.3869
2003-10-07,6.3643
2003-10-08,6.3611
2003-10-09,6.3354
2003-10-10,6.3257
2003-10-13,6.374
2003-10-14,6.345
2003-10-15,6.4577
2003-10-16,6.4223
2003-10-17,6.4288
2003-10-20,6.5383
2003-10-21,6.5898
2003-10-22,6.4996
2003-10-23,6.5028
2003-10-24,6.5028
2003-10-27,6.4545
2003-10-28,6.4867
2003-10-29,6.4545
2003-10-30,6.4481
2003-10-31,6.4932
2003-11-03,6.6027
2003-11-04,6.5028
2003-11-05,6.4706
