Date,Settle
1998-08-18,9.0949
1998-08-19,9.1387
1998-08-20,9.0949
1998-08-21,9.0949
1998-08-24,9.0949
1998-08-25,9.0949
1998-08-26,8.5702
1998-08-27,7.7832
1998-08-28,6.9961
1998-08-31,5.6843
1998-09-01,5.9467
1998-09-02,6.69
1998-09-03,6.1216
1998-09-04,5.8592
1998-09-08,6.9086
1998-09-09,6.6463
1998-09-10,6.4714
1998-09-11,6.2965
1998-09-14,6.2965
1998-09-15,6.1216
1998-09-16,5.5094
1998-09-17,5.7936
1998-09-18,5.7718
1998-09-21,4.8973
1998-09-22,5.5969
1998-09-23,5.8592
1998-09-24,6.3402
1998-09-25,6.5588
1998-09-28,6.5588
1998-09-29,6.6682
1998-09-30,6.7337
1998-10-01,6.209
1998-10-02,6.209
1998-10-05,5.5969
1998-10-06,5.8592
1998-10-07,5.4657
1998-10-08,4.4163
1998-10-09,4.3726
1998-10-12,4.3726
1998-10-13,4.8973
1998-10-14,5.3345
1998-10-15,5.2908
1998-10-16,5.5094
1998-10-19,5.9904
1998-10-20,6.5588
1998-10-21,6.9961
1998-10-22,8.0018
1998-10-23,9.0949
1998-10-26,8.92
1998-10-27,8.7014
1998-10-28,8.92
1998-10-29,8.3953
1998-10-30,9.0075
1998-11-02,9.0075
1998-11-03,8.92
1998-11-04,8.7451
1998-11-05,9.2698
1998-11-06,9.2698
1998-11-09,9.2698
1998-11-10,9.0949
1998-11-11,8.92
1998-11-12,8.7451
1998-11-13,8.2641
1998-11-16,8.0455
1998-11-17,8.2204
1998-11-18,8.3516
1998-11-19,7.6083
1998-11-20,7.4334
1998-11-23,8.133
1998-11-24,7.9143
1998-11-25,8.3953
1998-11-27,9.0512
1998-11-30,9.401
1998-12-01,9.3136
1998-12-02,9.3136
1998-12-03,9.5322
1998-12-04,11.4561
1998-12-07,10.9751
1998-12-08,10.6253
1998-12-09,12.3306
1998-12-10,11.8496
1998-12-11,11.15
1998-12-14,10.669
1998-12-15,11.1719
1998-12-16,11.8059
1998-12-17,11.9371
1998-12-18,11.8934
1998-12-21,12.9428
1998-12-22,12.5274
1998-12-23,12.9428
1998-12-24,12.593
1998-12-28,13.9922
1998-12-29,14.6043
1998-12-30,14.6043
1998-12-31,16.4408
1999-01-04,14.7355
1999-01-05,13.9485
1999-01-06,14.5169
1999-01-07,15.7412
1999-01-08,15.6756
1999-01-11,15.304
1999-01-12,14.6918
1999-01-13,14.1671
1999-01-14,14.6481
1999-01-15,15.2165
1999-01-19,15.4789
1999-01-20,15.9161
1999-01-21,15.0416
1999-01-22,13.9922
1999-01-25,15.1291
1999-01-26,15.0416
1999-01-27,15.0853
1999-01-28,14.9542
1999-01-29,15.1291
1999-02-01,15.0853
1999-02-02,15.304
1999-02-03,15.1291
1999-02-04,15.2165
1999-02-05,15.2165
1999-02-08,15.2165
1999-02-09,14.7793
1999-02-10,14.6918
1999-02-11,13.7736
1999-02-12,13.1177
1999-02-16,13.2926
1999-02-17,12.8553
1999-02-18,13.1177
1999-02-19,13.0302
1999-02-22,13.2489
1999-02-23,13.2051
1999-02-24,13.2489
1999-02-25,13.38
1999-02-26,11.8934
1999-03-01,12.0683
1999-03-02,11.9808
1999-03-03,11.9808
1999-03-04,12.6804
1999-03-05,13.0302
1999-03-08,13.2051
1999-03-09,13.5549
1999-03-10,12.6804
1999-03-11,12.6367
1999-03-12,12.9865
1999-03-15,13.9485
1999-03-16,13.9922
1999-03-17,13.9266
1999-03-18,13.4675
1999-03-19,13.2051
1999-03-22,13.2489
1999-03-23,12.7679
1999-03-24,12.8553
1999-03-25,12.6804
1999-03-26,12.593
1999-03-29,12.8553
1999-03-30,12.593
1999-03-31,12.593
1999-04-01,13.2926
1999-04-05,12.6804
1999-04-06,12.5492
1999-04-07,12.6586
1999-04-08,12.7897
1999-04-09,12.7679
1999-04-12,12.7241
1999-04-13,12.7679
1999-04-14,12.593
1999-04-15,12.3306
1999-04-16,11.9808
1999-04-19,11.9808
1999-04-20,11.8715
1999-04-21,12.7241
1999-04-22,12.8991
1999-04-23,13.1177
1999-04-26,13.2926
1999-04-27,13.4238
1999-04-28,13.6424
1999-04-29,13.1177
1999-04-30,13.38
1999-05-03,13.2926
1999-05-04,14.0359
1999-05-05,14.2545
1999-05-06,14.3857
1999-05-07,14.2983
1999-05-10,13.2489
1999-05-11,12.7241
1999-05-12,12.7679
1999-05-13,13.9047
1999-05-14,13.6424
1999-05-17,14.2545
1999-05-18,14.5606
1999-05-19,14.6918
1999-05-20,14.4732
1999-05-21,13.9922
1999-05-24,13.9047
1999-05-25,13.5987
1999-05-26,13.2926
1999-05-27,13.0302
1999-05-28,14.0796
1999-06-01,12.9865
1999-06-02,12.5055
1999-06-03,12.8991
1999-06-04,13.8173
1999-06-07,13.38
1999-06-08,13.2489
1999-06-09,13.5549
1999-06-10,13.2926
1999-06-11,13.2051
1999-06-14,12.593
1999-06-15,12.7679
1999-06-16,13.5549
1999-06-17,13.861
1999-06-18,13.8173
1999-06-21,13.5112
1999-06-22,12.8991
1999-06-23,13.38
1999-06-24,12.593
1999-06-25,12.0245
1999-06-28,13.0302
1999-06-29,13.8173
1999-06-30,14.5606
1999-07-01,14.9542
1999-07-02,14.9104
1999-07-06,14.342
1999-07-07,13.5987
1999-07-08,13.9485
1999-07-09,14.0359
1999-07-12,14.7793
1999-07-13,15.6538
1999-07-14,17.4902
1999-07-15,16.3534
1999-07-16,16.7906
1999-07-19,17.3591
1999-07-20,16.9218
1999-07-21,17.4028
1999-07-22,16.572
1999-07-23,16.8781
1999-07-26,16.9655
1999-07-27,16.2659
1999-07-28,15.9598
1999-07-29,16.0036
1999-07-30,14.7355
1999-08-02,16.572
1999-08-03,15.9598
1999-08-04,15.3914
1999-08-05,13.4238
1999-08-06,12.9865
1999-08-09,12.8553
1999-08-10,12.0683
1999-08-11,12.4618
1999-08-12,12.3306
1999-08-13,12.2432
1999-08-16,11.8059
1999-08-17,12.5055
1999-08-18,11.8496
1999-08-19,12.2869
1999-08-20,12.2432
1999-08-23,12.1557
1999-08-24,12.1557
1999-08-25,11.631
1999-08-26,11.9808
1999-08-27,10.669
1999-08-30,10.9751
1999-08-31,10.5816
