Date,Settle
1990-01-02,2.6468
1990-01-03,2.6139
1990-01-04,2.6633
1990-01-05,2.6468
1990-01-08,2.6304
1990-01-09,2.5808
1990-01-10,2.5475
1990-01-11,2.5641
1990-01-12,2.4977
1990-01-15,2.4977
1990-01-16,2.5142
1990-01-17,2.5974
1990-01-18,2.5641
1990-01-19,2.531
1990-01-22,2.4814
1990-01-23,2.531
1990-01-24,2.4977
1990-01-25,2.5142
1990-01-26,2.4977
1990-01-29,2.5142
1990-01-30,2.382
1990-01-31,2.4482
1990-02-01,2.4154
1990-02-02,2.3986
1990-02-05,2.3986
1990-02-06,2.3986
1990-02-07,2.3492
1990-02-08,2.3492
1990-02-09,2.4154
1990-02-12,2.4482
1990-02-13,2.4482
1990-02-14,2.4482
1990-02-15,2.4314
1990-02-16,2.4814
1990-02-20,2.4648
1990-02-21,2.4482
1990-02-22,2.5137
1990-02-23,2.4473
1990-02-26,2.4806
1990-02-27,2.4144
1990-02-28,2.3476
1990-03-01,2.2976
1990-03-02,2.2643
1990-03-05,2.2976
1990-03-06,2.3974
1990-03-07,2.3974
1990-03-08,2.3804
1990-03-09,2.5137
1990-03-12,2.5974
1990-03-13,2.5974
1990-03-14,2.6141
1990-03-15,2.7303
1990-03-16,2.7637
1990-03-19,2.7637
1990-03-20,2.8637
1990-03-21,2.7808
1990-03-22,2.7135
1990-03-23,2.7135
1990-03-26,2.8137
1990-03-27,2.8637
1990-03-28,2.8637
1990-03-29,2.8801
1990-03-30,2.8302
1990-04-02,2.7303
1990-04-03,2.6802
1990-04-04,2.6474
1990-04-05,2.6474
1990-04-06,2.6307
1990-04-09,2.6975
1990-04-10,2.7808
1990-04-11,2.8137
1990-04-12,2.8302
1990-04-16,2.8137
1990-04-17,2.7469
1990-04-18,2.6975
1990-04-19,2.6474
1990-04-20,2.5808
1990-04-23,2.5474
1990-04-24,2.5307
1990-04-25,2.5474
1990-04-26,2.5808
1990-04-27,2.5808
1990-04-30,2.6307
1990-05-01,2.664
1990-05-02,2.7808
1990-05-03,2.7637
1990-05-04,2.7808
1990-05-07,2.797
1990-05-08,2.7637
1990-05-09,2.7303
1990-05-10,2.7303
1990-05-11,2.7637
1990-05-14,2.6802
1990-05-15,2.797
1990-05-16,2.8969
1990-05-17,2.9802
1990-05-18,2.9968
1990-05-21,3.1133
1990-05-22,2.9968
1990-05-23,3.0468
1990-05-24,3.0291
1990-05-25,3.0125
1990-05-29,3.0961
1990-05-30,3.0787
1990-05-31,3.0961
1990-06-01,3.1961
1990-06-04,3.2132
1990-06-05,3.2467
1990-06-06,3.2132
1990-06-07,3.1797
1990-06-08,3.0961
1990-06-11,3.0787
1990-06-12,3.1631
1990-06-13,3.2132
1990-06-14,3.3135
1990-06-15,3.2801
1990-06-18,3.2299
1990-06-19,3.3135
1990-06-20,3.2969
1990-06-21,3.2632
1990-06-22,3.2467
1990-06-25,3.1631
1990-06-26,3.2132
1990-06-27,3.2467
1990-06-28,3.2801
1990-06-29,3.2467
1990-07-02,3.1797
1990-07-03,3.2299
1990-07-05,3.1127
1990-07-06,3.1127
1990-07-09,3.0629
1990-07-10,3.0787
1990-07-11,3.1127
1990-07-12,3.1797
1990-07-13,3.2132
1990-07-16,3.1797
1990-07-17,3.1292
1990-07-18,3.0961
1990-07-19,3.0961
1990-07-20,3.1127
1990-07-23,3.0629
1990-07-24,3.0291
1990-07-25,2.9287
1990-07-26,2.9621
1990-07-27,2.8953
1990-07-30,2.795
1990-07-31,2.795
1990-08-01,2.7782
1990-08-02,2.6114
1990-08-03,2.5606
1990-08-06,2.3596
1990-08-07,2.3932
1990-08-08,2.41
1990-08-09,2.4435
1990-08-10,2.41
1990-08-13,2.3596
1990-08-14,2.4766
1990-08-15,2.527
1990-08-16,2.4601
1990-08-17,2.3427
1990-08-20,2.226
1990-08-21,2.0918
1990-08-22,2.1084
1990-08-23,1.9581
1990-08-24,2.0581
1990-08-27,2.3613
1990-08-28,2.3613
1990-08-29,2.3613
1990-08-30,2.3613
1990-08-31,2.3782
1990-09-04,2.3613
1990-09-05,2.3949
1990-09-06,2.3782
1990-09-07,2.3949
1990-09-10,2.3275
1990-09-11,2.2095
1990-09-12,2.2095
1990-09-13,2.1587
1990-09-14,2.1079
1990-09-17,2.1079
1990-09-18,2.1079
1990-09-19,2.0573
1990-09-20,2.0236
1990-09-21,1.973
1990-09-24,1.8384
1990-09-25,1.8719
1990-09-26,1.8554
1990-09-27,1.8046
1990-09-28,1.7203
1990-10-01,1.7372
1990-10-02,1.8719
1990-10-03,1.8554
1990-10-04,1.6189
1990-10-05,1.5346
1990-10-08,1.5517
1990-10-09,1.5175
1990-10-10,1.5517
1990-10-11,1.4843
1990-10-12,1.5012
1990-10-15,1.5517
1990-10-16,1.5517
1990-10-17,1.5684
1990-10-18,1.7538
1990-10-19,1.8889
1990-10-22,1.9062
1990-10-23,1.8889
1990-10-24,1.7877
1990-10-25,1.7538
1990-10-26,1.7203
1990-10-29,1.7035
1990-10-30,1.6863
1990-10-31,1.7035
1990-11-01,1.7538
1990-11-02,1.8046
1990-11-05,1.8384
1990-11-06,1.8889
1990-11-07,1.7538
1990-11-08,1.7035
1990-11-09,1.7877
1990-11-12,1.8554
1990-11-13,1.9062
1990-11-14,1.9902
1990-11-15,1.9564
1990-11-16,1.9232
1990-11-19,1.973
1990-11-20,1.9232
1990-11-21,1.8719
1990-11-23,1.8384
1990-11-26,1.8545
1990-11-27,1.8377
1990-11-28,1.8377
1990-11-29,1.8206
1990-11-30,1.8035
1990-12-03,1.8545
1990-12-04,1.9566
1990-12-05,2.0249
1990-12-06,2.0076
1990-12-07,2.0076
1990-12-10,2.0755
