Date,Settle
1997-12-31,17.781
1998-01-02,17.906
1998-01-05,17.406
1998-01-06,17.344
1998-01-07,17.719
1998-01-08,17.656
1998-01-09,17.0
1998-01-12,17.344
1998-01-13,17.219
1998-01-14,17.344
1998-01-15,16.875
1998-01-16,17.219
1998-01-20,17.281
1998-01-21,16.844
1998-01-22,17.281
1998-01-23,17.281
1998-01-26,17.125
1998-01-27,17.219
1998-01-28,17.938
1998-01-29,17.5
1998-01-30,17.125
1998-02-02,17.531
1998-02-03,17.469
1998-02-04,17.344
1998-02-05,17.844
1998-02-06,18.656
1998-02-09,18.844
1998-02-10,18.625
1998-02-11,18.531
1998-02-12,18.656
1998-02-13,18.594
1998-02-17,19.0
1998-02-18,19.031
1998-02-19,18.656
1998-02-20,19.094
1998-02-23,19.188
1998-02-24,19.313
1998-02-25,19.5
1998-02-26,19.344
1998-02-27,19.313
1998-03-02,19.188
1998-03-03,18.938
1998-03-04,19.594
1998-03-05,20.188
1998-03-06,21.406
1998-03-09,21.688
1998-03-10,23.313
1998-03-11,24.531
1998-03-12,24.281
1998-03-13,24.406
1998-03-16,24.125
1998-03-17,23.5
1998-03-18,23.281
1998-03-19,22.875
1998-03-20,22.688
1998-03-23,21.844
1998-03-24,21.906
1998-03-25,21.719
1998-03-26,21.375
1998-03-27,21.625
1998-03-30,21.844
1998-03-31,21.375
1998-04-01,22.438
1998-04-02,22.313
1998-04-03,22.063
1998-04-06,21.375
1998-04-07,21.25
1998-04-08,21.5
1998-04-09,21.875
1998-04-13,21.656
1998-04-14,21.125
1998-04-15,21.688
1998-04-16,22.0
1998-04-17,21.938
1998-04-20,21.688
1998-04-21,21.719
1998-04-22,21.594
1998-04-23,21.219
1998-04-24,20.469
1998-04-27,19.594
1998-04-28,19.469
1998-04-29,20.125
1998-04-30,20.313
1998-05-01,20.25
1998-05-04,20.656
1998-05-05,20.406
1998-05-06,20.375
1998-05-07,20.125
1998-05-08,20.219
1998-05-11,20.0
1998-05-12,19.969
1998-05-13,19.875
1998-05-14,19.906
1998-05-15,19.906
1998-05-18,19.906
1998-05-19,20.563
1998-05-20,21.188
1998-05-21,21.031
1998-05-22,20.781
1998-05-26,20.781
1998-05-27,20.688
1998-05-28,20.813
1998-05-29,21.188
1998-06-01,21.188
1998-06-02,21.188
1998-06-03,21.0
1998-06-04,22.594
1998-06-05,22.688
1998-06-08,22.75
1998-06-09,23.563
1998-06-10,23.375
1998-06-11,23.031
1998-06-12,22.469
1998-06-15,22.969
1998-06-16,22.844
1998-06-17,23.406
1998-06-18,24.344
1998-06-19,22.969
1998-06-22,23.313
1998-06-23,23.25
1998-06-24,23.25
1998-06-25,23.25
1998-06-26,23.313
1998-06-29,23.688
1998-06-30,23.438
1998-07-01,23.781
1998-07-02,23.938
1998-07-06,24.594
1998-07-07,24.969
1998-07-08,25.219
1998-07-09,25.188
1998-07-10,25.438
1998-07-13,26.438
1998-07-14,27.0
1998-07-15,26.969
1998-07-16,26.875
1998-07-17,26.75
1998-07-20,25.469
1998-07-21,25.406
1998-07-22,25.625
1998-07-23,25.625
1998-07-24,25.0
1998-07-27,24.563
1998-07-28,24.656
1998-07-29,25.063
1998-07-30,25.938
1998-07-31,25.781
1998-08-03,25.25
1998-08-04,23.344
1998-08-05,23.719
1998-08-06,24.625
1998-08-07,24.75
1998-08-10,23.719
1998-08-11,21.563
1998-08-12,21.906
1998-08-13,20.906
1998-08-14,20.063
1998-08-17,21.219
1998-08-18,22.75
1998-08-19,21.844
1998-08-20,20.344
1998-08-21,20.563
1998-08-24,20.688
1998-08-25,20.656
1998-08-26,19.75
1998-08-27,18.906
1998-08-28,17.094
1998-08-31,15.438
1998-09-01,16.5
1998-09-02,15.719
1998-09-03,15.844
1998-09-04,15.406
1998-09-08,15.5
1998-09-09,15.75
1998-09-10,14.75
1998-09-11,16.25
1998-09-14,16.781
1998-09-15,16.563
1998-09-16,17.813
1998-09-17,17.0
1998-09-18,16.594
1998-09-21,15.969
1998-09-22,16.906
1998-09-23,17.406
1998-09-24,16.625
1998-09-25,17.0
1998-09-28,16.531
1998-09-29,17.375
1998-09-30,16.656
1998-10-01,16.219
1998-10-02,15.5
1998-10-05,15.375
1998-10-06,16.656
1998-10-07,16.188
1998-10-08,15.531
1998-10-09,16.469
1998-10-12,15.844
1998-10-13,16.313
1998-10-14,16.25
1998-10-15,17.094
1998-10-16,16.688
1998-10-19,17.5
1998-10-20,17.656
1998-10-21,17.406
1998-10-22,18.969
1998-10-23,18.313
1998-10-26,18.0
1998-10-27,18.156
1998-10-28,18.031
1998-10-29,18.125
1998-10-30,18.094
1998-11-02,18.875
1998-11-03,18.531
1998-11-04,18.969
1998-11-05,19.188
1998-11-06,18.219
1998-11-09,18.688
1998-11-10,18.719
1998-11-11,17.938
1998-11-12,17.344
1998-11-13,18.125
1998-11-16,18.375
1998-11-17,18.0
1998-11-18,17.625
1998-11-19,17.75
1998-11-20,17.094
1998-11-23,18.094
1998-11-24,17.844
1998-11-25,17.906
1998-11-27,18.656
1998-11-30,18.125
1998-12-01,18.438
1998-12-02,18.625
1998-12-03,18.0
1998-12-04,18.625
1998-12-07,19.969
1998-12-08,20.75
1998-12-09,21.0
