Date,Settle
2022-01-19,41.1223
2022-01-20,44.0596
2022-01-21,44.0596
2022-01-24,41.9056
2022-01-25,41.022
2022-01-26,42.3168
2022-01-27,44.8037
2022-01-28,45.7731
2022-01-31,46.9969
2022-02-01,48.7397
2022-02-02,51.9022
2022-02-03,52.4995
2022-02-04,49.0922
2022-02-07,45.1073
2022-02-08,44.5492
2022-02-09,46.3214
2022-02-10,46.0668
2022-02-11,47.0851
2022-02-14,47.1046
2022-02-15,46.9969
2022-02-16,46.2137
2022-02-17,44.3436
2022-02-18,44.4611
2022-02-22,42.6301
2022-02-23,42.1895
2022-02-24,43.5363
2022-02-25,43.1335
2022-02-28,45.1669
2022-03-01,46.9449
2022-03-02,48.5854
2022-03-03,48.6443
2022-03-04,50.0982
2022-03-07,50.7367
2022-03-08,51.3948
2022-03-09,50.4223
2022-03-10,50.4125
2022-03-11,48.4479
2022-03-14,50.0491
2022-03-15,50.383
2022-03-16,50.8546
2022-03-17,50.0884
2022-03-18,48.1434
2022-03-21,48.3497
2022-03-22,50.2357
2022-03-23,50.0884
2022-03-24,51.4832
2022-03-25,52.8487
2022-03-28,55.776
2022-03-29,55.3339
2022-03-30,56.4832
2022-03-31,55.2553
2022-04-01,56.994
2022-04-04,57.3477
2022-04-05,57.9567
2022-04-06,58.5461
2022-04-07,59.8329
2022-04-08,62.8879
2022-04-11,59.607
2022-04-12,60.776
2022-04-13,63.0648
2022-04-14,61.4439
2022-04-18,62.1905
2022-04-19,65.5304
2022-04-20,64.2534
2022-04-21,61.5618
2022-04-22,61.3261
2022-04-25,61.1689
2022-04-26,58.8899
2022-04-27,59.0274
2022-04-28,60.2259
2022-04-29,58.163
2022-05-02,57.1709
2022-05-03,58.6443
2022-05-04,60.717
2022-05-05,59.0962
2022-05-06,59.2043
2022-05-09,56.6011
2022-05-10,56.0314
2022-05-11,56.3555
2022-05-12,52.6539
2022-05-13,53.7765
2022-05-16,55.7263
2022-05-17,58.4146
2022-05-18,56.4058
2022-05-19,56.3565
2022-05-20,55.7854
2022-05-23,55.7361
2022-05-24,55.9134
2022-05-25,58.2669
2022-05-26,61.5165
2022-05-27,65.5835
2022-05-31,61.1325
2022-06-01,62.6785
2022-06-02,62.777
2022-06-03,64.1753
2022-06-06,65.3767
2022-06-07,65.5343
2022-06-08,63.7814
2022-06-09,60.2758
2022-06-10,58.8774
2022-06-13,54.6332
2022-06-14,53.6091
2022-06-15,57.3117
2022-06-16,57.3708
2022-06-17,57.2132
2022-06-21,59.4584
2022-06-22,58.3063
2022-06-23,57.7548
2022-06-24,58.3752
2022-06-27,58.5131
2022-06-28,57.1935
2022-06-29,56.4353
2022-06-30,56.3861
2022-07-01,56.7209
2022-07-05,54.1015
2022-07-06,55.8937
2022-07-07,58.2078
2022-07-08,58.7396
2022-07-11,58.9267
2022-07-12,58.326
2022-07-13,58.907
2022-07-14,57.036
2022-07-15,54.8105
2022-07-18,53.9735
2022-07-19,54.1606
2022-07-20,53.2448
2022-07-21,53.3334
2022-07-22,53.1758
2022-07-25,54.1212
2022-07-26,54.6529
2022-07-27,54.6825
2022-07-28,63.6042
2022-07-29,65.0911
2022-08-01,64.3034
2022-08-02,64.8351
2022-08-03,66.1448
2022-08-04,66.4304
2022-08-05,73.166
2022-08-08,74.7317
2022-08-09,74.5643
2022-08-10,75.9429
2022-08-11,77.6268
2022-08-12,80.3999
2022-08-15,80.104
2022-08-16,80.3013
2022-08-17,78.6242
2022-08-18,80.4986
2022-08-19,79.7488
2022-08-22,78.5749
2022-08-23,78.6735
2022-08-24,79.2852
2022-08-25,81.6232
2022-08-26,79.739
2022-08-29,79.9067
2022-08-30,78.6143
2022-08-31,80.4887
2022-09-01,81.4061
2022-09-02,79.9757
2022-09-06,81.1496
2022-09-07,81.781
2022-09-08,84.632
2022-09-09,86.3288
2022-09-12,86.9404
2022-09-13,85.214
2022-09-14,86.8615
2022-09-15,85.6284
2022-09-16,84.415
2022-09-19,88.1538
2022-09-20,86.5655
2022-09-21,86.1019
2022-09-22,84.2275
2022-09-23,82.7182
2022-09-26,81.8007
2022-09-27,82.8366
2022-09-28,83.8724
2022-09-29,81.9191
2022-09-30,82.0671
2022-10-03,85.4212
2022-10-04,88.1341
2022-10-05,86.9799
2022-10-06,85.1154
2022-10-07,83.2509
2022-10-10,83.5764
2022-10-11,81.7613
2022-10-12,81.051
2022-10-13,82.6886
2022-10-14,80.1631
2022-10-17,84.0401
2022-10-18,85.3423
2022-10-19,84.5333
2022-10-20,83.4186
2022-10-21,86.1019
2022-10-24,86.3978
2022-10-25,86.9601
2022-10-26,87.5816
2022-10-27,91.7841
2022-10-28,92.4846
2022-10-31,93.2639
2022-11-01,94.2307
2022-11-02,91.8335
2022-11-03,93.1356
2022-11-04,93.0469
2022-11-07,92.2379
2022-11-08,86.3584
2022-11-09,86.1709
2022-11-10,93.8558
2022-11-11,91.064
2022-11-14,92.7898
2022-11-15,92.3748
2022-11-16,90.5767
2022-11-17,88.9663
2022-11-18,92.1772
2022-11-21,92.2662
2022-11-22,95.1115
2022-11-23,95.4573
2022-11-25,95.9908
2022-11-28,93.6691
2022-11-29,93.2936
2022-11-30,94.9633
2022-12-01,93.3332
2022-12-02,90.9324
2022-12-05,88.9762
2022-12-06,89.6876
2022-12-07,90.8632
2022-12-08,90.31
2022-12-09,88.6403
2022-12-12,89.7864
2022-12-13,89.7468
2022-12-14,89.7567
2022-12-15,88.6206
2022-12-16,87.1386
2022-12-19,86.6743
2022-12-20,86.5063
2022-12-21,88.5712
2022-12-22,86.2791
2022-12-23,86.9805
2022-12-27,86.5854
2022-12-28,85.5677
2022-12-29,85.7258
2022-12-30,85.1726
2023-01-03,80.9243
2023-01-04,82.4063
2023-01-05,81.4183
2023-01-06,82.4952
2023-01-09,82.9892
2023-01-10,82.0802
2023-01-11,83.0978
2023-01-12,83.3251
