Date,Settle
2005-08-11,2.3424
2005-08-12,2.5925
2005-08-15,2.5014
2005-08-16,2.4797
2005-08-17,2.4364
2005-08-18,2.3641
2005-08-19,2.4002
2005-08-22,2.4581
2005-08-23,2.539
2005-08-24,2.5304
2005-08-25,2.5246
2005-08-26,2.526
2005-08-29,2.4581
2005-08-30,2.4624
2005-08-31,2.4277
2005-09-01,2.3496
2005-09-02,2.3236
2005-09-06,2.3713
2005-09-07,2.3409
2005-09-08,2.3597
2005-09-09,2.3959
2005-09-12,2.3265
2005-09-13,2.2961
2005-09-14,2.273
2005-09-15,2.1833
2005-09-16,2.2151
2005-09-19,2.2412
2005-09-20,2.2845
2005-09-21,2.1689
2005-09-22,2.098
2005-09-23,2.2542
2005-09-26,2.2412
2005-09-27,2.2354
2005-09-28,2.1906
2005-09-29,2.1689
2005-09-30,2.1414
2005-10-03,2.0966
2005-10-04,2.0344
2005-10-05,1.9014
2005-10-06,1.939
2005-10-07,1.952
2005-10-10,1.8146
2005-10-11,1.7568
2005-10-12,1.7264
2005-10-13,1.6339
2005-10-14,1.7872
2005-10-17,1.764
2005-10-18,1.7351
2005-10-19,1.7582
2005-10-20,1.8537
2005-10-21,1.8739
2005-10-24,1.8985
2005-10-25,1.9086
2005-10-26,1.8927
2005-10-27,1.8797
2005-10-28,1.9303
2005-10-31,1.9983
2005-11-01,1.9664
2005-11-02,1.9578
2005-11-03,1.9231
2005-11-04,1.9375
2005-11-07,1.9563
2005-11-08,1.9549
2005-11-09,1.9592
2005-11-10,1.9911
2005-11-11,2.0331
2005-11-14,2.0374
2005-11-15,2.1373
2005-11-16,2.1967
2005-11-17,2.2879
2005-11-18,2.2604
2005-11-21,2.2908
2005-11-22,2.2778
2005-11-23,2.2445
2005-11-25,2.2619
2005-11-28,2.243
2005-11-29,2.2445
2005-11-30,2.2372
2005-12-01,2.2112
2005-12-02,2.2488
2005-12-05,2.2648
2005-12-06,2.2908
2005-12-07,2.2619
2005-12-08,2.1895
2005-12-09,2.1967
2005-12-12,2.188
2005-12-13,2.1562
