Date,Settle
2021-02-10,37.979
2021-02-11,36.1302
2021-02-12,35.8854
2021-02-16,36.7634
2021-02-17,37.3627
2021-02-18,36.2991
2021-02-19,37.1432
2021-02-22,37.0082
2021-02-23,36.8562
2021-02-24,37.9874
2021-02-25,37.7764
2021-02-26,37.2952
2021-03-01,37.7088
2021-03-02,38.2406
2021-03-03,39.8868
2021-03-04,38.9835
2021-03-05,38.0127
2021-03-08,37.4556
2021-03-09,37.3796
2021-03-10,37.7764
2021-03-11,38.2744
2021-03-12,38.6205
2021-03-15,38.6205
2021-03-16,37.827
2021-03-17,38.2238
2021-03-18,36.7211
2021-03-19,36.5608
2021-03-22,36.088
2021-03-23,35.2017
2021-03-24,35.1172
2021-03-25,35.59
2021-03-26,36.5776
2021-03-29,35.8939
2021-03-30,36.4172
2021-03-31,36.6283
2021-04-01,37.9283
2021-04-05,37.7004
2021-04-06,38.1647
2021-04-07,38.0718
2021-04-08,38.266
2021-04-09,38.4432
2021-04-12,38.3673
2021-04-13,38.4179
2021-04-14,38.9919
2021-04-15,38.9919
2021-04-16,38.5361
2021-04-19,38.8062
2021-04-20,38.5867
2021-04-21,39.0342
2021-04-22,38.8991
2021-04-23,39.2199
2021-04-26,39.5744
2021-04-27,39.566
2021-04-28,38.9835
2021-04-29,39.6335
2021-04-30,38.4686
2021-05-03,39.1355
2021-05-04,38.8316
2021-05-05,39.4562
2021-05-06,40.1062
2021-05-07,41.5076
2021-05-10,41.8452
2021-05-11,41.4147
2021-05-12,41.7692
2021-05-13,41.7861
2021-05-14,41.2543
2021-05-17,42.1998
2021-05-18,43.3056
2021-05-19,43.0524
2021-05-20,42.6219
2021-05-21,42.8632
2021-05-24,42.9652
2021-05-25,42.8717
2021-05-26,44.8776
2021-05-27,45.0051
2021-05-28,44.8776
2021-06-01,46.6455
2021-06-02,45.4046
2021-06-03,45.4556
2021-06-04,46.2631
2021-06-07,47.2065
2021-06-08,47.181
2021-06-09,47.113
2021-06-10,47.2405
2021-06-11,47.7845
2021-06-14,47.453
2021-06-15,47.5635
2021-06-16,45.9741
2021-06-17,45.6936
2021-06-18,45.1411
2021-06-21,46.8155
2021-06-22,45.5661
2021-06-23,44.9881
2021-06-24,45.1241
2021-06-25,45.1581
2021-06-28,43.3477
2021-06-29,42.1153
2021-06-30,44.1297
2021-07-01,45.8891
2021-07-02,46.3991
2021-07-06,45.7786
2021-07-07,46.1186
2021-07-08,46.4161
2021-07-09,46.586
2021-07-12,46.5265
2021-07-13,45.7361
2021-07-14,43.2117
2021-07-15,43.1097
2021-07-16,42.6168
2021-07-19,41.5628
2021-07-20,43.1862
2021-07-21,45.0136
2021-07-22,45.8806
2021-07-23,46.569
2021-07-26,46.9005
2021-07-27,46.7135
2021-07-28,47.1215
2021-07-29,47.0365
2021-07-30,45.9401
2021-08-02,45.3026
2021-08-03,46.3821
2021-08-04,46.3056
2021-08-05,46.0761
2021-08-06,46.7815
2021-08-09,45.9486
2021-08-10,47.1725
2021-08-11,48.3965
2021-08-12,49.9859
2021-08-13,48.269
2021-08-16,47.453
2021-08-17,46.552
2021-08-18,44.5547
2021-08-19,44.1722
2021-08-20,44.7671
2021-08-23,44.7021
2021-08-24,45.0871
2021-08-25,45.3694
2021-08-26,45.4379
2021-08-27,47.38
2021-08-30,46.8752
2021-08-31,47.7479
2021-09-01,48.4323
2021-09-02,49.8696
2021-09-03,50.5027
2021-09-07,51.1871
2021-09-08,52.0855
2021-09-09,51.8202
2021-09-10,50.939
2021-09-13,53.6083
2021-09-14,52.7784
2021-09-15,53.8821
2021-09-16,52.3507
2021-09-17,52.248
2021-09-20,51.093
2021-09-21,49.8439
2021-09-22,50.1006
2021-09-23,51.7347
2021-09-24,50.1263
2021-09-27,53.4543
2021-09-28,53.1292
2021-09-29,52.0683
2021-09-30,52.6929
2021-10-01,53.1121
2021-10-04,55.3023
2021-10-05,57.2529
2021-10-06,54.7291
2021-10-07,55.3964
2021-10-08,56.2776
2021-10-11,53.6682
2021-10-12,53.1292
2021-10-13,53.0864
2021-10-14,54.7633
2021-10-15,53.6853
2021-10-18,54.0618
2021-10-19,52.8897
2021-10-20,53.3089
2021-10-21,52.556
2021-10-22,53.1036
2021-10-25,57.963
2021-10-26,57.8176
2021-10-27,56.6455
2021-10-28,56.7054
2021-10-29,54.5323
2021-11-01,56.2862
2021-11-02,55.9268
2021-11-03,57.7919
2021-11-04,56.1236
2021-11-05,56.3118
2021-11-08,56.6541
2021-11-09,57.6379
2021-11-10,53.9848
2021-11-11,55.1312
2021-11-12,53.8308
2021-11-15,53.3944
2021-11-16,53.2918
2021-11-17,54.5409
2021-11-18,54.9515
2021-11-19,52.8212
2021-11-22,52.3763
2021-11-23,55.0976
2021-11-24,55.7353
2021-11-26,55.0804
2021-11-29,52.883
2021-11-30,51.3061
2021-12-01,49.1174
2021-12-02,52.4608
2021-12-03,51.9868
2021-12-06,51.5215
2021-12-07,54.4427
2021-12-08,55.5457
2021-12-09,54.5634
2021-12-10,54.977
2021-12-13,53.3483
2021-12-14,53.1932
2021-12-15,52.5125
2021-12-16,52.8744
2021-12-17,52.3574
2021-12-20,51.7887
2021-12-21,53.1071
2021-12-22,53.7792
2021-12-23,54.4427
2021-12-27,56.7435
2021-12-28,56.8383
2021-12-29,56.5022
2021-12-30,55.4509
2021-12-31,55.5974
2022-01-03,57.3467
2022-01-04,57.5449
2022-01-05,56.1748
2022-01-06,57.5104
2022-01-07,59.7164
2022-01-10,60.4919
2022-01-11,60.2248
