Date,Settle
1997-10-15,3.5917
1997-10-16,3.6316
1997-10-17,3.5718
1997-10-20,3.5319
1997-10-21,3.5718
1997-10-22,3.6516
1997-10-23,3.5718
1997-10-24,3.6516
1997-10-27,3.462
1997-10-28,3.5718
1997-10-29,3.6117
1997-10-30,3.5119
1997-10-31,3.5119
1997-11-03,3.6616
1997-11-04,3.6915
1997-11-05,3.7713
1997-11-06,3.9908
1997-11-07,4.1105
1997-11-10,3.9309
1997-11-11,3.8312
1997-11-12,3.6316
1997-11-13,3.5119
1997-11-14,3.472
1997-11-17,3.7114
1997-11-18,3.6516
1997-11-19,3.5518
1997-11-20,3.5518
1997-11-21,3.5319
1997-11-24,3.5319
1997-11-25,3.5219
1997-11-26,3.3548
1997-11-28,3.3523
1997-12-01,3.3623
1997-12-02,3.4121
1997-12-03,3.5119
1997-12-04,3.5418
1997-12-05,3.6316
1997-12-08,3.6516
1997-12-09,3.5718
1997-12-10,3.4413
1997-12-11,3.4013
1997-12-12,3.3013
1997-12-15,3.3413
1997-12-16,3.3413
1997-12-17,3.2212
1997-12-18,3.2012
1997-12-19,3.1612
1997-12-22,3.2412
1997-12-23,3.2012
1997-12-24,3.1612
1997-12-26,3.2412
1997-12-29,3.3813
1997-12-30,3.3813
1997-12-31,3.5814
1998-01-02,3.7014
1998-01-05,3.6014
1998-01-06,3.4713
1998-01-07,3.5614
1998-01-08,3.6814
1998-01-09,3.5214
1998-01-12,3.4213
1998-01-13,3.4813
1998-01-14,3.4313
1998-01-15,3.4413
1998-01-16,3.5614
1998-01-20,3.7014
1998-01-21,3.6814
1998-01-22,3.6214
1998-01-23,3.7214
1998-01-26,3.6614
1998-01-27,3.6014
1998-01-28,3.6214
1998-01-29,3.6614
1998-01-30,3.6614
1998-02-02,3.8415
1998-02-03,3.8415
1998-02-04,3.7815
1998-02-05,3.7614
1998-02-06,3.8015
1998-02-09,3.8815
1998-02-10,4.0015
1998-02-11,3.6814
1998-02-12,3.7815
1998-02-13,3.8015
1998-02-17,3.7815
1998-02-18,3.7815
1998-02-19,3.7414
1998-02-20,3.7014
1998-02-23,3.6614
1998-02-24,3.5214
1998-02-25,3.5814
1998-02-26,3.5013
1998-02-27,3.6414
1998-03-02,3.4613
1998-03-03,3.4413
1998-03-04,3.4613
1998-03-05,3.4613
1998-03-06,3.4813
1998-03-09,3.4813
1998-03-10,3.4508
1998-03-11,3.5411
1998-03-12,3.5512
1998-03-13,3.6515
1998-03-16,3.7919
1998-03-17,3.6916
1998-03-18,3.7117
1998-03-19,3.7718
1998-03-20,3.7718
1998-03-23,3.7317
1998-03-24,3.8521
1998-03-25,3.7718
1998-03-26,3.7718
1998-03-27,3.822
1998-03-30,3.8521
1998-03-31,4.1731
1998-04-01,3.9725
1998-04-02,4.2935
1998-04-03,4.0327
1998-04-06,4.0628
1998-04-07,3.9725
1998-04-08,3.9324
1998-04-09,3.8521
1998-04-13,3.7317
1998-04-14,3.7117
1998-04-15,3.6916
1998-04-16,3.7418
1998-04-17,3.7418
1998-04-20,3.7317
1998-04-21,3.6916
1998-04-22,3.7317
1998-04-23,3.7117
1998-04-24,3.6916
1998-04-27,3.6113
1998-04-28,3.5913
1998-04-29,3.6113
1998-04-30,3.6715
1998-05-01,3.6816
1998-05-04,3.6515
1998-05-05,3.6515
1998-05-06,3.6715
1998-05-07,3.6515
1998-05-08,3.6515
1998-05-11,3.6264
1998-05-12,3.6214
1998-05-13,3.5913
1998-05-14,3.5512
1998-05-15,3.5913
1998-05-18,3.491
1998-05-19,3.5512
1998-05-20,3.6113
1998-05-21,3.6314
1998-05-22,3.6515
1998-05-26,3.6515
1998-05-27,3.6615
1998-05-28,3.6715
1998-05-29,3.7117
1998-06-01,3.7819
1998-06-02,3.832
1998-06-03,3.832
1998-06-04,3.7819
1998-06-05,3.7317
1998-06-08,3.8218
1998-06-09,3.8118
1998-06-10,3.681
1998-06-11,3.5805
1998-06-12,3.5603
1998-06-15,3.5402
1998-06-16,3.7816
1998-06-17,3.681
1998-06-18,3.7112
1998-06-19,3.842
1998-06-22,3.8621
1998-06-23,3.852
1998-06-24,3.842
1998-06-25,3.842
1998-06-26,3.9325
1998-06-29,3.9727
1998-06-30,4.0029
1998-07-01,4.0129
1998-07-02,4.0431
1998-07-06,4.0833
1998-07-07,4.1537
1998-07-08,3.9626
1998-07-09,4.023
1998-07-10,3.9224
1998-07-13,3.9425
1998-07-14,3.9828
1998-07-15,4.033
1998-07-16,4.0431
1998-07-17,4.0632
1998-07-20,4.0833
1998-07-21,4.0632
1998-07-22,4.0632
1998-07-23,4.0632
