Date,Settle
1990-01-02,3.9364
1990-01-03,3.9119
1990-01-04,3.9119
1990-01-05,3.8874
1990-01-08,3.8548
1990-01-09,3.8139
1990-01-10,3.7568
1990-01-11,3.6914
1990-01-12,3.6343
1990-01-15,3.5608
1990-01-16,3.5281
1990-01-17,3.4382
1990-01-18,3.4873
1990-01-19,3.5199
1990-01-22,3.3811
1990-01-23,3.3321
1990-01-24,3.283
1990-01-25,3.2341
1990-01-26,3.2422
1990-01-29,3.2259
1990-01-30,3.2177
1990-01-31,3.2259
1990-02-01,3.2259
1990-02-02,3.2014
1990-02-05,3.1769
1990-02-06,3.1933
1990-02-07,3.1769
1990-02-08,3.1034
1990-02-09,3.0625
1990-02-12,2.9972
1990-02-13,3.0707
1990-02-14,3.0707
1990-02-15,3.1034
1990-02-16,3.1606
1990-02-20,3.1524
1990-02-21,3.2668
1990-02-22,3.2504
1990-02-23,3.2341
1990-02-26,3.2994
1990-02-27,3.283
1990-02-28,3.3239
1990-03-01,3.3566
1990-03-02,3.4138
1990-03-05,3.3647
1990-03-06,3.4056
1990-03-07,3.3814
1990-03-08,3.4228
1990-03-09,3.4062
1990-03-12,3.4477
1990-03-13,3.4062
1990-03-14,3.3399
1990-03-15,3.3648
1990-03-16,3.4145
1990-03-19,3.3814
1990-03-20,3.3979
1990-03-21,3.3731
1990-03-22,3.2985
1990-03-23,3.2985
1990-03-26,3.2902
1990-03-27,3.3068
1990-03-28,3.3731
1990-03-29,3.3731
1990-03-30,3.3565
1990-04-02,3.3399
1990-04-03,3.3731
1990-04-04,3.3897
1990-04-05,3.3814
1990-04-06,3.3233
1990-04-09,3.3648
1990-04-10,3.3482
1990-04-11,3.2902
1990-04-12,3.3482
1990-04-16,3.3482
1990-04-17,3.3233
1990-04-18,3.2985
1990-04-19,3.2487
1990-04-20,3.2073
1990-04-23,3.1244
1990-04-24,3.0996
1990-04-25,3.0996
1990-04-26,3.0664
1990-04-27,3.0499
1990-04-30,3.0499
1990-05-01,3.0333
1990-05-02,3.025
1990-05-03,3.0581
1990-05-04,3.0581
1990-05-07,3.0664
1990-05-08,3.1161
1990-05-09,3.1741
1990-05-10,3.1907
1990-05-11,3.2487
1990-05-14,3.3814
1990-05-15,3.3565
1990-05-16,3.3814
1990-05-17,3.3979
1990-05-18,3.3565
1990-05-21,3.3979
1990-05-22,3.4228
1990-05-23,3.4394
1990-05-24,3.4643
1990-05-25,3.4311
1990-05-29,3.4477
1990-05-30,3.4394
1990-05-31,3.4477
1990-06-01,3.4974
1990-06-04,3.5637
1990-06-05,3.6632
1990-06-06,3.6974
1990-06-07,3.6722
1990-06-08,3.5462
1990-06-11,3.6386
1990-06-12,3.605
1990-06-13,3.5966
1990-06-14,3.5462
1990-06-15,3.5209
1990-06-18,3.4789
1990-06-19,3.437
1990-06-20,3.4285
1990-06-21,3.4621
1990-06-22,3.4117
1990-06-25,3.3697
1990-06-26,3.3697
1990-06-27,3.3865
1990-06-28,3.3697
1990-06-29,3.3697
1990-07-02,3.3781
1990-07-03,3.3697
1990-07-05,3.3277
1990-07-06,3.3361
1990-07-09,3.3697
1990-07-10,3.3277
1990-07-11,3.3445
1990-07-12,3.3445
1990-07-13,3.3529
1990-07-16,3.3361
1990-07-17,3.3529
1990-07-18,3.3445
1990-07-19,3.3445
1990-07-20,3.2605
1990-07-23,3.2017
1990-07-24,3.168
1990-07-25,3.1932
1990-07-26,3.1932
1990-07-27,3.168
1990-07-30,3.168
1990-07-31,3.1596
1990-08-01,3.1764
1990-08-02,3.1764
1990-08-03,3.1092
1990-08-06,3.0336
1990-08-07,3.0672
1990-08-08,3.0588
1990-08-09,3.0504
1990-08-10,3.042
1990-08-13,3.0252
1990-08-14,3.0336
1990-08-15,3.0588
1990-08-16,2.9664
1990-08-17,2.9327
1990-08-20,2.9411
1990-08-21,2.8823
1990-08-22,2.8991
1990-08-23,2.8487
1990-08-24,2.8235
1990-08-27,2.8319
1990-08-28,2.8235
1990-08-29,2.8235
1990-08-30,2.7983
1990-08-31,2.8403
1990-09-04,2.8487
1990-09-05,2.8571
1990-09-06,2.8664
1990-09-07,2.9005
1990-09-10,2.9005
1990-09-11,2.892
1990-09-12,2.9005
1990-09-13,2.8664
1990-09-14,2.7551
1990-09-17,2.8407
1990-09-18,2.8578
1990-09-19,2.8749
1990-09-20,2.8321
1990-09-21,2.7808
1990-09-24,2.6952
1990-09-25,2.6695
1990-09-26,2.6096
1990-09-27,2.5241
1990-09-28,2.584
1990-10-01,2.7038
1990-10-02,2.7038
1990-10-03,2.6525
1990-10-04,2.661
1990-10-05,2.4728
1990-10-08,2.4129
1990-10-09,2.3359
1990-10-10,2.3016
1990-10-11,2.3444
1990-10-12,2.4385
1990-10-15,2.4642
1990-10-16,2.4642
1990-10-17,2.4813
1990-10-18,2.5155
1990-10-19,2.584
1990-10-22,2.6182
1990-10-23,2.6096
1990-10-24,2.5669
1990-10-25,2.5241
1990-10-26,2.4385
1990-10-29,2.3444
1990-10-30,2.3444
1990-10-31,2.3188
1990-11-01,2.3615
1990-11-02,2.5326
1990-11-05,2.5755
1990-11-06,2.5241
1990-11-07,2.4471
1990-11-08,2.4642
1990-11-09,2.5326
1990-11-12,2.6439
1990-11-13,2.6011
1990-11-14,2.6011
1990-11-15,2.6096
1990-11-16,2.6011
1990-11-19,2.6011
1990-11-20,2.584
1990-11-21,2.5583
1990-11-23,2.5412
1990-11-26,2.6011
1990-11-27,2.6867
1990-11-28,2.7123
1990-11-29,2.6695
1990-11-30,2.7209
1990-12-03,2.7209
1990-12-04,2.6867
1990-12-05,2.7123
1990-12-06,2.7894
1990-12-07,2.7726
1990-12-10,2.7726
1990-12-11,2.7377
1990-12-12,2.8075
1990-12-13,2.7813
1990-12-14,2.7813
1990-12-17,2.7464
1990-12-18,2.8947
1990-12-19,2.8772
1990-12-20,2.8598
1990-12-21,2.8859
1990-12-24,2.8685
1990-12-26,2.9034
1990-12-27,2.8336
1990-12-28,2.8336
1990-12-31,2.8511
1991-01-02,2.79
1991-01-03,2.7377
1991-01-04,2.668
1991-01-07,2.5982
1991-01-08,2.5895
1991-01-09,2.5633
1991-01-10,2.5808
1991-01-11,2.5895
1991-01-14,2.5808
1991-01-15,2.6244
1991-01-16,2.6767
1991-01-17,2.729
1991-01-18,2.7464
1991-01-21,2.7726
1991-01-22,2.8598
1991-01-23,2.9296
1991-01-24,2.9557
1991-01-25,3.0254
1991-01-28,3.0516
1991-01-29,3.0341
1991-01-30,3.0516
1991-01-31,3.0865
1991-02-01,3.1039
1991-02-04,3.1824
1991-02-05,3.2347
1991-02-06,3.3306
1991-02-07,3.287
1991-02-08,3.287
1991-02-11,3.3655
1991-02-12,3.4091
1991-02-13,3.505
1991-02-14,3.4614
1991-02-15,3.4614
1991-02-19,3.4091
1991-02-20,3.3132
1991-02-21,3.3132
1991-02-22,3.3132
1991-02-25,3.2783
1991-02-26,3.2434
1991-02-27,3.2957
1991-02-28,3.4004
1991-03-01,3.3916
1991-03-04,3.4178
1991-03-05,3.5311
1991-03-06,3.5573
1991-03-07,3.4783
1991-03-08,3.443
1991-03-11,3.4075
1991-03-12,3.381
1991-03-13,3.3898
1991-03-14,3.319
1991-03-15,3.2571
1991-03-18,3.2571
1991-03-19,3.2393
1991-03-20,3.3014
1991-03-21,3.2925
1991-03-22,3.319
1991-03-25,3.3987
1991-03-26,3.5315
1991-03-27,3.6376
1991-03-28,3.7704
1991-04-01,3.6731
1991-04-02,3.7261
1991-04-03,3.7704
1991-04-04,3.7704
1991-04-05,3.6553
1991-04-08,3.7173
1991-04-09,3.7173
1991-04-10,3.7173
1991-04-11,3.7881
1991-04-12,3.7969
1991-04-15,3.8324
1991-04-16,3.9474
1991-04-17,3.974
1991-04-18,4.0094
1991-04-19,3.9651
1991-04-22,3.912
1991-04-23,3.8058
1991-04-24,3.7704
1991-04-25,3.7084
1991-04-26,3.6288
1991-04-29,3.4872
1991-04-30,3.4872
1991-05-01,3.5403
1991-05-02,3.6288
1991-05-03,3.5403
1991-05-06,3.5668
1991-05-07,3.5137
1991-05-08,3.4872
1991-05-09,3.5315
1991-05-10,3.4518
1991-05-13,3.4341
1991-05-14,3.3633
1991-05-15,3.3279
1991-05-16,3.3279
1991-05-17,3.319
1991-05-20,3.3101
1991-05-21,3.381
1991-05-22,3.4252
1991-05-23,3.3987
1991-05-24,3.4695
1991-05-28,3.4695
1991-05-29,3.4607
1991-05-30,3.5403
1991-05-31,3.6819
1991-06-03,3.5757
1991-06-04,3.5757
1991-06-05,3.558
1991-06-06,3.5227
1991-06-07,3.4958
1991-06-10,3.5138
1991-06-11,3.4329
1991-06-12,3.397
1991-06-13,3.4329
1991-06-14,3.4059
1991-06-17,3.352
1991-06-18,3.3161
1991-06-19,3.2981
1991-06-20,3.361
1991-06-21,3.361
1991-06-24,3.3431
1991-06-25,3.3431
1991-06-26,3.379
1991-06-27,3.379
1991-06-28,3.352
1991-07-01,3.379
1991-07-02,3.37
1991-07-03,3.3161
1991-07-05,3.2801
1991-07-08,3.2532
1991-07-09,3.2532
1991-07-10,3.2352
1991-07-11,3.2262
1991-07-12,3.2262
1991-07-15,3.2352
1991-07-16,3.2442
1991-07-17,3.1723
1991-07-18,3.1992
1991-07-19,3.2262
1991-07-22,3.0824
1991-07-23,3.1453
1991-07-24,3.0285
1991-07-25,3.0554
1991-07-26,3.0644
1991-07-29,3.0824
1991-07-30,3.1363
1991-07-31,3.2352
1991-08-01,3.3071
1991-08-02,3.2981
1991-08-05,3.2801
1991-08-06,3.2712
1991-08-07,3.2712
1991-08-08,3.2442
1991-08-09,3.1813
1991-08-12,3.1633
1991-08-13,3.1543
1991-08-14,3.1633
1991-08-15,3.1723
1991-08-16,3.0914
1991-08-19,3.0285
1991-08-20,3.0824
1991-08-21,3.1273
1991-08-22,3.0824
1991-08-23,3.1004
1991-08-26,3.1004
1991-08-27,3.0105
1991-08-28,3.0015
1991-08-29,3.0465
1991-08-30,3.0554
1991-09-03,3.0375
1991-09-04,3.0554
1991-09-05,3.0644
1991-09-06,3.1109
1991-09-09,3.1109
1991-09-10,3.1201
1991-09-11,3.1109
1991-09-12,3.2024
1991-09-13,3.2573
1991-09-16,3.2664
1991-09-17,3.2848
1991-09-18,3.2482
1991-09-19,3.2939
1991-09-20,3.3396
1991-09-23,3.3031
1991-09-24,3.2848
1991-09-25,3.2207
1991-09-26,3.239
1991-09-27,3.2756
1991-09-30,3.3122
1991-10-01,3.239
1991-10-02,3.2756
1991-10-03,3.2756
1991-10-04,3.2573
1991-10-07,3.2756
1991-10-08,3.3305
1991-10-09,3.2573
1991-10-10,3.4403
1991-10-11,3.4037
1991-10-14,3.3854
1991-10-15,3.3671
1991-10-16,3.3671
1991-10-17,3.3854
1991-10-18,3.541
1991-10-21,3.4769
1991-10-22,3.5043
1991-10-23,3.5776
1991-10-24,3.5684
1991-10-25,3.5043
1991-10-28,3.5135
1991-10-29,3.5776
1991-10-30,3.7514
1991-10-31,3.8063
1991-11-01,3.9252
1991-11-04,3.8155
1991-11-05,3.7514
1991-11-06,3.8337
1991-11-07,3.971
1991-11-08,3.9161
1991-11-11,3.9984
1991-11-12,4.1174
1991-11-13,4.1266
1991-11-14,4.3004
1991-11-15,4.0808
1991-11-18,3.9252
1991-11-19,3.7972
1991-11-20,3.8155
1991-11-21,3.788
1991-11-22,3.7514
1991-11-25,3.7697
1991-11-26,3.8337
1991-11-27,3.8246
1991-11-29,3.8155
1991-12-02,3.9802
1991-12-03,3.9344
1991-12-04,3.8795
1991-12-05,3.8337
1991-12-06,3.8887
1991-12-09,3.9729
1991-12-10,4.0008
1991-12-11,3.9637
1991-12-12,3.9729
1991-12-13,3.8987
1991-12-16,3.8709
1991-12-17,3.8987
1991-12-18,3.8987
1991-12-19,3.8616
1991-12-20,4.0565
1991-12-23,4.14
1991-12-24,4.3628
1991-12-26,4.3814
1991-12-27,4.3999
1991-12-30,4.5206
1991-12-31,4.5392
1992-01-02,4.4092
1992-01-03,4.4557
1992-01-06,4.4278
1992-01-07,4.4557
1992-01-08,4.4278
1992-01-09,4.3814
1992-01-10,4.4371
1992-01-13,4.4278
1992-01-14,4.5113
1992-01-15,4.4557
1992-01-16,4.4464
1992-01-17,4.4371
1992-01-20,4.3442
1992-01-21,4.3071
1992-01-22,4.3071
1992-01-23,4.2979
1992-01-24,4.2421
1992-01-27,4.1679
1992-01-28,4.2514
1992-01-29,4.1864
1992-01-30,4.0936
1992-01-31,4.0101
1992-02-03,4.1029
1992-02-04,4.0936
1992-02-05,4.1122
1992-02-06,4.0286
1992-02-07,4.0379
1992-02-10,4.0286
1992-02-11,3.9265
1992-02-12,4.1029
1992-02-13,4.0194
1992-02-14,4.0472
1992-02-18,4.1029
1992-02-19,4.0936
1992-02-20,4.1122
1992-02-21,4.1586
1992-02-24,4.1029
1992-02-25,3.9915
1992-02-26,4.0657
1992-02-27,4.0379
1992-02-28,4.075
1992-03-02,4.0843
1992-03-03,4.1308
1992-03-04,4.1772
1992-03-05,4.1772
1992-03-06,4.1679
1992-03-09,4.1781
1992-03-10,4.1968
1992-03-11,4.1121
1992-03-12,4.1781
1992-03-13,4.2157
1992-03-16,4.2157
1992-03-17,4.2345
1992-03-18,4.2345
1992-03-19,4.2722
1992-03-20,4.1968
1992-03-23,4.131
1992-03-24,4.0839
1992-03-25,4.0087
1992-03-26,4.0087
1992-03-27,3.9804
1992-03-30,3.9146
1992-03-31,3.8299
1992-04-01,3.8205
1992-04-02,3.8205
1992-04-03,3.7828
1992-04-06,3.7922
1992-04-07,3.6887
1992-04-08,3.5758
1992-04-09,3.7452
1992-04-10,3.8581
1992-04-13,3.8675
1992-04-14,3.9334
1992-04-15,3.9804
1992-04-16,4.0181
1992-04-20,3.9616
1992-04-21,3.8393
1992-04-22,3.8205
1992-04-23,3.8487
1992-04-24,3.8581
