Date,Settle
1990-01-02,2.6558
1990-01-03,2.6809
1990-01-04,2.6976
1990-01-05,2.6976
1990-01-08,2.6976
1990-01-09,2.6976
1990-01-10,2.6892
1990-01-11,2.685
1990-01-12,2.6391
1990-01-15,2.6391
1990-01-16,2.6057
1990-01-17,2.6224
1990-01-18,2.6391
1990-01-19,2.6308
1990-01-22,2.6224
1990-01-23,2.6224
1990-01-24,2.5639
1990-01-25,2.5639
1990-01-26,2.5639
1990-01-29,2.5305
1990-01-30,2.4804
1990-01-31,2.5055
1990-02-01,2.4971
1990-02-02,2.4888
1990-02-05,2.5222
1990-02-06,2.5055
1990-02-07,2.5013
1990-02-08,2.4721
1990-02-09,2.4721
1990-02-12,2.4721
1990-02-13,2.447
1990-02-14,2.4428
1990-02-15,2.4888
1990-02-16,2.5138
1990-02-20,2.4888
1990-02-21,2.4888
1990-02-22,2.4888
1990-02-23,2.5138
1990-02-26,2.4929
1990-02-27,2.5389
1990-02-28,2.5639
1990-03-01,2.6349
1990-03-02,2.6224
1990-03-05,2.5973
1990-03-06,2.5723
1990-03-07,2.5639
1990-03-08,2.5639
1990-03-09,2.5556
1990-03-12,2.5222
1990-03-13,2.4804
1990-03-14,2.4846
1990-03-15,2.5055
1990-03-16,2.5096
1990-03-19,2.5176
1990-03-20,2.5092
1990-03-21,2.5344
1990-03-22,2.5176
1990-03-23,2.5007
1990-03-26,2.5007
1990-03-27,2.4839
1990-03-28,2.4839
1990-03-29,2.5428
1990-03-30,2.5765
1990-04-02,2.5513
1990-04-03,2.6102
1990-04-04,2.5934
1990-04-05,2.5934
1990-04-06,2.526
1990-04-09,2.526
1990-04-10,2.526
1990-04-11,2.5176
1990-04-12,2.5092
1990-04-16,2.5092
1990-04-17,2.5176
1990-04-18,2.526
1990-04-19,2.526
1990-04-20,2.5176
1990-04-23,2.4923
1990-04-24,2.467
1990-04-25,2.4502
1990-04-26,2.4165
1990-04-27,2.4165
1990-04-30,2.3997
1990-05-01,2.3997
1990-05-02,2.4292
1990-05-03,2.4418
1990-05-04,2.4586
1990-05-07,2.4923
1990-05-08,2.5176
1990-05-09,2.4839
1990-05-10,2.4755
1990-05-11,2.4712
1990-05-14,2.5176
1990-05-15,2.5007
1990-05-16,2.5176
1990-05-17,2.5597
1990-05-18,2.5597
1990-05-21,2.5681
1990-05-22,2.6102
1990-05-23,2.6186
1990-05-24,2.6017
1990-05-25,2.627
1990-05-29,2.627
1990-05-30,2.6607
1990-05-31,2.7281
1990-06-01,2.7281
1990-06-04,2.7617
1990-06-05,2.7617
1990-06-06,2.7196
1990-06-07,2.7364
1990-06-08,2.7281
1990-06-11,2.7449
1990-06-12,2.8291
1990-06-13,2.8543
1990-06-14,2.8796
1990-06-15,2.8881
1990-06-18,2.8494
1990-06-19,2.8409
1990-06-20,2.8409
1990-06-21,2.8409
1990-06-22,2.8409
1990-06-25,2.8154
1990-06-26,2.807
1990-06-27,2.79
1990-06-28,2.7731
1990-06-29,2.7646
1990-07-02,2.7603
1990-07-03,2.756
1990-07-05,2.7307
1990-07-06,2.7052
1990-07-09,2.7307
1990-07-10,2.7307
1990-07-11,2.7222
1990-07-12,2.7646
1990-07-13,2.807
1990-07-16,2.8578
1990-07-17,2.8918
1990-07-18,2.8833
1990-07-19,2.8833
1990-07-20,2.8833
1990-07-23,2.8748
1990-07-24,2.9087
1990-07-25,3.0105
1990-07-26,3.019
1990-07-27,2.9681
1990-07-30,2.9087
1990-07-31,2.9342
1990-08-01,2.9172
1990-08-02,2.9342
1990-08-03,2.9342
1990-08-06,2.896
1990-08-07,2.8748
1990-08-08,2.8663
1990-08-09,2.9214
1990-08-10,2.9342
1990-08-13,2.9172
1990-08-14,2.9172
1990-08-15,2.9427
1990-08-16,2.9257
1990-08-17,2.9257
1990-08-20,2.9087
1990-08-21,2.8494
1990-08-22,2.8324
1990-08-23,2.7603
1990-08-24,2.7646
1990-08-27,2.7815
1990-08-28,2.7985
1990-08-29,2.7985
1990-08-30,2.7985
1990-08-31,2.8239
1990-09-04,2.8409
1990-09-05,2.9002
1990-09-06,2.8918
1990-09-07,2.9342
1990-09-10,2.985
1990-09-11,3.0317
1990-09-12,2.985
1990-09-13,2.9172
1990-09-14,2.9002
1990-09-17,2.9467
1990-09-18,2.9638
1990-09-19,2.9723
1990-09-20,2.9851
1990-09-21,2.8528
1990-09-24,2.7503
1990-09-25,2.6691
1990-09-26,2.5026
1990-09-27,2.494
1990-09-28,2.4641
1990-10-01,2.494
1990-10-02,2.3916
1990-10-03,2.3916
1990-10-04,2.3744
1990-10-05,2.2378
1990-10-08,2.2805
1990-10-09,2.2976
1990-10-10,2.2976
1990-10-11,2.2207
1990-10-12,2.2549
1990-10-15,2.4342
1990-10-16,2.5709
1990-10-17,2.5026
1990-10-18,2.4769
1990-10-19,2.4428
1990-10-22,2.4342
1990-10-23,2.4855
1990-10-24,2.494
1990-10-25,2.4385
1990-10-26,2.3574
1990-10-29,2.3403
1990-10-30,2.2976
1990-10-31,2.3744
1990-11-01,2.383
1990-11-02,2.4513
1990-11-05,2.494
1990-11-06,2.4855
1990-11-07,2.4598
1990-11-08,2.4769
1990-11-09,2.5624
1990-11-12,2.6051
1990-11-13,2.6307
1990-11-14,2.6563
1990-11-15,2.6307
1990-11-16,2.6136
1990-11-19,2.6819
1990-11-20,2.7417
1990-11-21,2.7161
1990-11-23,2.7161
1990-11-26,2.7161
1990-11-27,2.7844
1990-11-28,2.7844
1990-11-29,2.7246
1990-11-30,2.7246
1990-12-03,2.746
1990-12-04,2.7674
1990-12-05,2.8528
1990-12-06,2.8869
1990-12-07,2.8784
1990-12-10,2.857
1990-12-11,2.8442
1990-12-12,2.8954
1990-12-13,2.9723
1990-12-14,2.9382
1990-12-17,2.9161
1990-12-18,2.9506
1990-12-19,2.9205
1990-12-20,2.9076
1990-12-21,2.8817
1990-12-24,2.8817
1990-12-26,2.8817
1990-12-27,2.8817
1990-12-28,2.9334
1990-12-31,2.8903
1991-01-02,2.8301
1991-01-03,2.7527
1991-01-04,2.7441
1991-01-07,2.7269
1991-01-08,2.7183
1991-01-09,2.6839
1991-01-10,2.7183
1991-01-11,2.6925
1991-01-14,2.6753
1991-01-15,2.6753
1991-01-16,2.7183
1991-01-17,2.7871
1991-01-18,2.7871
1991-01-21,2.8387
1991-01-22,2.8817
1991-01-23,2.8903
1991-01-24,2.942
1991-01-25,2.9248
1991-01-28,2.9076
1991-01-29,2.9506
1991-01-30,2.9334
1991-01-31,2.9764
1991-02-01,3.028
1991-02-04,3.1312
1991-02-05,3.2344
1991-02-06,3.2258
1991-02-07,3.0796
1991-02-08,3.0968
1991-02-11,3.0796
1991-02-12,3.1054
1991-02-13,3.1656
1991-02-14,3.1828
1991-02-15,3.2344
1991-02-19,3.2
1991-02-20,3.1871
1991-02-21,3.2086
1991-02-22,3.2
1991-02-25,3.2688
1991-02-26,3.2344
1991-02-27,3.286
1991-02-28,3.3032
1991-03-01,3.2688
1991-03-04,3.286
1991-03-05,3.3376
1991-03-06,3.3549
1991-03-07,3.3376
1991-03-08,3.4237
1991-03-11,3.3634
1991-03-12,3.3119
1991-03-13,3.3291
1991-03-14,3.2688
1991-03-15,3.2559
1991-03-18,3.2795
1991-03-19,3.1799
1991-03-20,3.2275
1991-03-21,3.2578
1991-03-22,3.2752
1991-03-25,3.2752
1991-03-26,3.2752
1991-03-27,3.4138
1991-03-28,3.3965
1991-04-01,3.4181
1991-04-02,3.5611
1991-04-03,3.5178
1991-04-04,3.587
1991-04-05,3.4658
1991-04-08,3.4658
1991-04-09,3.4138
1991-04-10,3.3792
1991-04-11,3.4138
1991-04-12,3.4484
1991-04-15,3.5005
1991-04-16,3.5005
1991-04-17,3.4788
1991-04-18,3.4831
1991-04-19,3.5264
1991-04-22,3.5005
1991-04-23,3.5351
1991-04-24,3.6564
1991-04-25,3.6564
1991-04-26,3.6391
1991-04-29,3.6217
1991-04-30,3.6651
1991-05-01,3.691
1991-05-02,3.6997
1991-05-03,3.6824
1991-05-06,3.6824
1991-05-07,3.7084
1991-05-08,3.743
1991-05-09,3.873
1991-05-10,3.938
1991-05-13,3.8644
1991-05-14,3.8904
1991-05-15,3.8904
1991-05-16,3.873
1991-05-17,3.886
1991-05-20,3.899
1991-05-21,3.899
1991-05-22,3.9077
1991-05-23,3.899
1991-05-24,3.8644
1991-05-28,3.873
1991-05-29,3.9163
1991-05-30,3.873
1991-05-31,3.8817
1991-06-03,3.8297
1991-06-04,3.847
1991-06-05,3.847
1991-06-06,3.8513
1991-06-07,3.8123
1991-06-10,3.808
1991-06-11,3.7864
1991-06-12,3.7777
1991-06-13,3.8123
1991-06-14,3.7994
1991-06-17,3.871
1991-06-18,3.871
1991-06-19,3.8274
1991-06-20,3.8361
1991-06-21,3.8361
1991-06-24,3.8449
1991-06-25,3.9059
1991-06-26,3.9103
1991-06-27,3.9408
1991-06-28,3.9582
1991-07-01,3.932
1991-07-02,3.9582
1991-07-03,3.9887
1991-07-05,3.9756
1991-07-08,3.9408
1991-07-09,3.9756
1991-07-10,4.028
1991-07-11,3.9931
1991-07-12,3.9408
1991-07-15,3.9495
1991-07-16,4.0018
1991-07-17,4.0018
1991-07-18,3.9931
1991-07-19,3.9669
1991-07-22,4.0454
1991-07-23,4.0018
1991-07-24,3.9931
1991-07-25,3.9408
1991-07-26,3.8536
1991-07-29,3.871
1991-07-30,3.9059
1991-07-31,3.9582
1991-08-01,3.9582
1991-08-02,3.9582
1991-08-05,3.9408
1991-08-06,3.9931
1991-08-07,4.028
1991-08-08,3.9931
1991-08-09,4.0454
1991-08-12,3.9931
1991-08-13,4.0367
1991-08-14,4.0628
1991-08-15,4.1152
1991-08-16,4.1674
1991-08-19,4.1064
1991-08-20,4.1152
1991-08-21,4.2459
1991-08-22,4.2633
1991-08-23,4.2633
1991-08-26,4.2808
1991-08-27,4.2808
1991-08-28,4.2241
1991-08-29,4.1239
1991-08-30,4.0628
1991-09-03,4.0628
1991-09-04,4.028
1991-09-05,4.0803
1991-09-06,4.0367
1991-09-09,4.0716
1991-09-10,4.0367
1991-09-11,4.0628
1991-09-12,4.0367
1991-09-13,4.0541
1991-09-16,4.0253
1991-09-17,4.0517
1991-09-18,4.0517
1991-09-19,4.0341
1991-09-20,4.021
1991-09-23,4.0341
1991-09-24,4.0341
1991-09-25,4.0297
1991-09-26,4.0297
1991-09-27,4.0341
1991-09-30,4.0341
1991-10-01,4.0517
1991-10-02,4.1043
1991-10-03,4.1394
1991-10-04,4.1218
1991-10-07,4.0867
1991-10-08,4.1131
1991-10-09,4.0692
1991-10-10,4.1043
1991-10-11,4.0604
1991-10-14,4.0517
1991-10-15,4.0692
1991-10-16,4.0604
1991-10-17,4.0604
1991-10-18,4.0955
1991-10-21,4.0955
1991-10-22,4.0429
1991-10-23,3.8938
1991-10-24,3.885
1991-10-25,3.9114
1991-10-28,3.885
1991-10-29,3.9114
1991-10-30,3.8412
1991-10-31,3.8675
1991-11-01,3.8587
1991-11-04,3.8587
1991-11-05,3.8236
1991-11-06,3.8236
1991-11-07,3.7798
1991-11-08,3.8587
1991-11-11,3.9552
1991-11-12,3.9201
1991-11-13,3.9289
1991-11-14,3.9289
1991-11-15,3.9377
1991-11-18,3.9464
1991-11-19,3.885
1991-11-20,3.8938
1991-11-21,3.9114
1991-11-22,3.9114
1991-11-25,3.885
1991-11-26,3.9464
1991-11-27,3.885
1991-11-29,3.8763
1991-12-02,3.8763
1991-12-03,3.9026
1991-12-04,3.8587
1991-12-05,3.8938
1991-12-06,3.885
1991-12-09,3.9114
1991-12-10,3.8675
1991-12-11,3.907
1991-12-12,3.9114
1991-12-13,3.8938
1991-12-16,3.9178
1991-12-17,3.9002
1991-12-18,3.8472
1991-12-19,3.8825
1991-12-20,3.8737
1991-12-23,3.9002
1991-12-24,3.8472
1991-12-26,3.9002
1991-12-27,3.8384
1991-12-30,3.7766
1991-12-31,3.7943
1992-01-02,3.7855
1992-01-03,3.8472
1992-01-06,3.9002
1992-01-07,4.059
1992-01-08,4.1825
1992-01-09,4.2178
1992-01-10,4.2531
1992-01-13,4.2531
1992-01-14,4.2796
1992-01-15,4.209
1992-01-16,4.2002
1992-01-17,4.2002
1992-01-20,4.2002
1992-01-21,4.1649
1992-01-22,4.2002
1992-01-23,4.1825
1992-01-24,4.2354
1992-01-27,4.2178
1992-01-28,4.2002
1992-01-29,4.1649
1992-01-30,4.2354
1992-01-31,4.2531
1992-02-03,4.2884
1992-02-04,4.2884
1992-02-05,4.2708
1992-02-06,4.2884
1992-02-07,4.3237
1992-02-10,4.2531
1992-02-11,4.1649
1992-02-12,4.1472
1992-02-13,4.1913
1992-02-14,4.1296
1992-02-18,3.9531
1992-02-19,4.006
1992-02-20,4.0413
1992-02-21,4.0501
1992-02-24,4.0501
1992-02-25,4.1119
1992-02-26,4.2178
1992-02-27,4.231
1992-02-28,4.1737
1992-03-02,4.2354
1992-03-03,4.1825
1992-03-04,4.1649
1992-03-05,4.1031
1992-03-06,4.0766
1992-03-09,3.9884
1992-03-10,4.059
1992-03-11,4.006
1992-03-12,4.0104
1992-03-13,4.006
1992-03-16,4.1041
1992-03-17,4.033
1992-03-18,4.033
1992-03-19,4.1041
1992-03-20,4.1308
1992-03-23,4.1041
1992-03-24,4.1574
1992-03-25,4.2107
1992-03-26,4.2818
1992-03-27,4.2818
1992-03-30,4.2818
1992-03-31,4.2729
1992-04-01,4.2818
1992-04-02,4.3173
1992-04-03,4.2818
1992-04-06,4.415
1992-04-07,4.4417
1992-04-08,4.3884
1992-04-09,4.4061
1992-04-10,4.4417
1992-04-13,4.4861
1992-04-14,4.6193
1992-04-15,4.7348
1992-04-16,4.6637
1992-04-20,4.6282
1992-04-21,4.5838
1992-04-22,4.6193
1992-04-23,4.6193
1992-04-24,4.5971
1992-04-27,4.646
1992-04-28,4.6193
1992-04-29,4.6016
1992-04-30,4.4328
1992-05-01,4.3884
1992-05-04,4.5127
1992-05-05,4.5127
1992-05-06,4.5527
1992-05-07,4.5572
1992-05-08,4.5838
1992-05-11,4.6016
1992-05-12,4.6105
1992-05-13,4.5838
1992-05-14,4.5838
1992-05-15,4.5127
1992-05-18,4.6504
1992-05-19,4.6904
1992-05-20,4.7171
1992-05-21,4.6904
1992-05-22,4.6637
1992-05-26,4.6904
1992-05-27,4.6371
1992-05-28,4.6904
1992-05-29,4.7437
1992-06-01,4.7437
1992-06-02,4.7703
1992-06-03,4.7437
