Date,Settle
1990-01-02,1.9052
1990-01-03,1.8977
1990-01-04,1.879
1990-01-05,1.8155
1990-01-08,1.8193
1990-01-09,1.8417
1990-01-10,1.8342
1990-01-11,1.8603
1990-01-12,1.8342
1990-01-15,1.8529
1990-01-16,1.8267
1990-01-17,1.8193
1990-01-18,1.8193
1990-01-19,1.8328
1990-01-22,1.7763
1990-01-23,1.75
1990-01-24,1.7199
1990-01-25,1.6634
1990-01-26,1.6409
1990-01-29,1.6296
1990-01-30,1.5995
1990-01-31,1.6371
1990-02-01,1.6559
1990-02-02,1.6973
1990-02-05,1.7124
1990-02-06,1.7124
1990-02-07,1.735
1990-02-08,1.7651
1990-02-09,1.7763
1990-02-12,1.7274
1990-02-13,1.7124
1990-02-14,1.6973
1990-02-15,1.7161
1990-02-16,1.6935
1990-02-20,1.671
1990-02-21,1.686
1990-02-22,1.6748
1990-02-23,1.6634
1990-02-26,1.6672
1990-02-27,1.6973
1990-02-28,1.7086
1990-03-01,1.6785
1990-03-02,1.671
1990-03-05,1.6522
1990-03-06,1.671
1990-03-07,1.7274
1990-03-08,1.7726
1990-03-09,1.7462
1990-03-12,1.7726
1990-03-13,1.7575
1990-03-14,1.7651
1990-03-15,1.8065
1990-03-16,1.8177
1990-03-19,1.8253
1990-03-20,1.7989
1990-03-21,1.8102
1990-03-22,1.7613
1990-03-23,1.7726
1990-03-26,1.7613
1990-03-27,1.7688
1990-03-28,1.7839
1990-03-29,1.7876
1990-03-30,1.7914
1990-04-02,1.7763
1990-04-03,1.7876
1990-04-04,1.7575
1990-04-05,1.7613
1990-04-06,1.7236
1990-04-09,1.7274
1990-04-10,1.735
1990-04-11,1.7161
1990-04-12,1.75
1990-04-16,1.7575
1990-04-17,1.7425
1990-04-18,1.7124
1990-04-19,1.7185
1990-04-20,1.7336
1990-04-23,1.7033
1990-04-24,1.7108
1990-04-25,1.7185
1990-04-26,1.7336
1990-04-27,1.726
1990-04-30,1.7108
1990-05-01,1.7033
1990-05-02,1.7108
1990-05-03,1.7412
1990-05-04,1.764
1990-05-07,1.7981
1990-05-08,1.7905
1990-05-09,1.7981
1990-05-10,1.8284
1990-05-11,1.8626
1990-05-14,1.874
1990-05-15,1.855
1990-05-16,1.8626
1990-05-17,1.8702
1990-05-18,1.874
1990-05-21,1.9119
1990-05-22,1.9233
1990-05-23,1.9385
1990-05-24,1.9271
1990-05-25,1.9119
1990-05-29,1.9157
1990-05-30,1.9385
1990-05-31,1.9612
1990-06-01,1.9764
1990-06-04,1.9916
1990-06-05,1.9726
1990-06-06,1.9575
1990-06-07,1.9347
1990-06-08,1.9005
1990-06-11,1.9195
1990-06-12,1.9575
1990-06-13,2.0105
1990-06-14,2.0067
1990-06-15,2.0029
1990-06-18,1.984
1990-06-19,2.0067
1990-06-20,2.0105
1990-06-21,2.0371
1990-06-22,2.0105
1990-06-25,2.0219
1990-06-26,2.0333
1990-06-27,2.0599
1990-06-28,2.0902
1990-06-29,2.075
1990-07-02,2.0788
1990-07-03,2.1168
1990-07-05,2.0826
1990-07-06,2.0864
1990-07-09,2.1092
1990-07-10,2.0978
1990-07-11,2.1623
1990-07-12,2.2306
1990-07-13,2.2154
1990-07-16,2.2344
1990-07-17,2.2419
1990-07-18,2.223
1990-07-19,2.1947
1990-07-20,2.1909
1990-07-23,2.1146
1990-07-24,2.1528
1990-07-25,2.1566
1990-07-26,2.1337
1990-07-27,2.1298
1990-07-30,2.1184
1990-07-31,2.1375
1990-08-01,2.1604
1990-08-02,2.0878
1990-08-03,2.0268
1990-08-06,1.9848
1990-08-07,1.9886
1990-08-08,2.0573
1990-08-09,2.0878
1990-08-10,2.0229
1990-08-13,2.0612
1990-08-14,2.1031
1990-08-15,2.1146
1990-08-16,2.0688
1990-08-17,2.0115
1990-08-20,2.0115
1990-08-21,1.9734
1990-08-22,1.9199
1990-08-23,1.8207
1990-08-24,1.9008
1990-08-27,1.9695
1990-08-28,1.981
1990-08-29,2.0077
1990-08-30,1.9924
1990-08-31,2.0001
1990-09-04,1.9962
1990-09-05,1.9848
1990-09-06,1.9543
1990-09-07,1.9657
1990-09-10,1.9734
1990-09-11,1.9657
1990-09-12,1.9619
1990-09-13,1.9543
1990-09-14,1.9313
1990-09-17,1.9352
1990-09-18,1.9161
1990-09-19,1.9123
1990-09-20,1.8321
1990-09-21,1.8092
1990-09-24,1.7558
1990-09-25,1.7901
1990-09-26,1.794
1990-09-27,1.7749
1990-09-28,1.8169
1990-10-01,1.9161
1990-10-02,1.9466
1990-10-03,1.9428
1990-10-04,1.9313
1990-10-05,1.939
1990-10-08,1.9161
1990-10-09,1.8703
1990-10-10,1.8321
1990-10-11,1.7863
1990-10-12,1.8245
1990-10-15,1.8894
1990-10-16,1.8818
1990-10-17,1.8741
1990-10-18,1.9772
1990-10-19,2.0371
1990-10-22,2.0602
1990-10-23,2.0294
1990-10-24,2.0563
1990-10-25,2.0602
1990-10-26,2.0294
1990-10-29,2.0179
1990-10-30,2.0409
1990-10-31,2.0563
1990-11-01,2.0525
1990-11-02,2.0679
1990-11-05,2.0871
1990-11-06,2.1063
1990-11-07,2.0794
1990-11-08,2.0871
1990-11-09,2.1371
1990-11-12,2.187
1990-11-13,2.1563
1990-11-14,2.1293
1990-11-15,2.0563
1990-11-16,2.0448
1990-11-19,2.0756
1990-11-20,2.0948
1990-11-21,2.1293
1990-11-23,2.1293
1990-11-26,2.1293
1990-11-27,2.1447
1990-11-28,2.1409
1990-11-29,2.1486
1990-11-30,2.1717
1990-12-03,2.1986
1990-12-04,2.2216
1990-12-05,2.2601
1990-12-06,2.2101
1990-12-07,2.2062
1990-12-10,2.2408
1990-12-11,2.2485
1990-12-12,2.2562
