Date,Settle
1990-01-02,4.2425
1990-01-03,4.2425
1990-01-04,4.2301
1990-01-05,4.1561
1990-01-08,4.1561
1990-01-09,4.0451
1990-01-10,3.9712
1990-01-11,4.0082
1990-01-12,3.9465
1990-01-15,3.9342
1990-01-16,3.9342
1990-01-17,3.9465
1990-01-18,3.9712
1990-01-19,3.9342
1990-01-22,3.8407
1990-01-23,3.8158
1990-01-24,3.7785
1990-01-25,3.7661
1990-01-26,3.704
1990-01-29,3.7661
1990-01-30,3.6418
1990-01-31,3.8531
1990-02-01,3.9153
1990-02-02,3.878
1990-02-05,3.8531
1990-02-06,3.8531
1990-02-07,3.8531
1990-02-08,3.8283
1990-02-09,3.8407
1990-02-12,3.7661
1990-02-13,3.7785
1990-02-14,3.8158
1990-02-15,3.9153
1990-02-16,3.8904
1990-02-20,3.878
1990-02-21,3.8407
1990-02-22,3.8034
1990-02-23,3.7661
1990-02-26,3.8531
1990-02-27,3.8158
1990-02-28,3.8158
1990-03-01,3.8407
1990-03-02,3.7785
1990-03-05,3.704
1990-03-06,3.7164
1990-03-07,3.7661
1990-03-08,3.7661
1990-03-09,3.7537
1990-03-12,3.7537
1990-03-13,3.7537
1990-03-14,3.7661
1990-03-15,3.7537
1990-03-16,3.7661
1990-03-19,3.8283
1990-03-20,3.9028
1990-03-21,3.9028
1990-03-22,3.8034
1990-03-23,3.8283
1990-03-26,3.8407
1990-03-27,3.878
1990-03-28,3.8655
1990-03-29,3.9028
1990-03-30,3.9525
1990-04-02,3.9277
1990-04-03,3.9401
1990-04-04,3.9401
1990-04-05,4.0271
1990-04-06,4.0023
1990-04-09,4.0147
1990-04-10,4.0768
1990-04-11,4.0644
1990-04-12,4.0893
1990-04-16,4.0147
1990-04-17,4.0768
1990-04-18,4.0396
1990-04-19,3.9774
1990-04-20,3.9525
1990-04-23,3.926
1990-04-24,3.9009
1990-04-25,3.8632
1990-04-26,3.8758
1990-04-27,3.8382
1990-04-30,3.8256
1990-05-01,3.8005
1990-05-02,3.8131
1990-05-03,3.926
1990-05-04,3.9385
1990-05-07,3.9761
1990-05-08,3.9887
1990-05-09,4.0138
1990-05-10,4.0639
1990-05-11,4.1266
1990-05-14,4.1392
1990-05-15,4.1894
1990-05-16,4.1768
1990-05-17,4.1016
1990-05-18,4.1517
1990-05-21,4.1517
1990-05-22,4.1768
1990-05-23,4.1643
1990-05-24,4.1768
1990-05-25,4.2144
1990-05-29,4.3148
1990-05-30,4.2897
1990-05-31,4.2646
1990-06-01,4.2521
1990-06-04,4.3273
1990-06-05,4.365
1990-06-06,4.2772
1990-06-07,4.3022
1990-06-08,4.2395
1990-06-11,4.3148
1990-06-12,4.4026
1990-06-13,4.4151
1990-06-14,4.4151
1990-06-15,4.4151
1990-06-18,4.39
1990-06-19,4.365
1990-06-20,4.4026
1990-06-21,4.227
1990-06-22,4.1517
1990-06-25,4.1141
1990-06-26,4.1141
1990-06-27,4.1141
1990-06-28,4.1517
1990-06-29,4.227
1990-07-02,4.2019
1990-07-03,4.2395
1990-07-05,4.1894
1990-07-06,4.2019
1990-07-09,4.227
1990-07-10,4.1266
1990-07-11,4.1392
1990-07-12,4.2019
1990-07-13,4.2897
1990-07-16,4.3022
1990-07-17,4.3524
1990-07-18,4.3273
1990-07-19,4.4151
1990-07-20,4.5029
1990-07-23,4.4129
1990-07-24,4.3876
1990-07-25,4.3876
1990-07-26,4.3118
1990-07-27,4.3497
1990-07-30,4.375
1990-07-31,4.4382
1990-08-01,4.4888
1990-08-02,4.3497
1990-08-03,4.2612
1990-08-06,4.1221
1990-08-07,4.0589
1990-08-08,4.0715
1990-08-09,4.1221
1990-08-10,4.0715
1990-08-13,4.0336
1990-08-14,4.0209
1990-08-15,4.0715
1990-08-16,4.0462
1990-08-17,3.9704
1990-08-20,3.9324
1990-08-21,3.8566
1990-08-22,3.7048
1990-08-23,3.5657
1990-08-24,3.6163
1990-08-27,3.8313
1990-08-28,3.8818
1990-08-29,3.8313
1990-08-30,3.6922
1990-08-31,3.7933
1990-09-04,3.7554
1990-09-05,3.6416
1990-09-06,3.5657
1990-09-07,3.5531
