Date,Settle
1990-01-02,1.3062
1990-01-03,1.3156
1990-01-04,1.2874
1990-01-05,1.2592
1990-01-08,1.2686
1990-01-09,1.2123
1990-01-10,1.1747
1990-01-11,1.1653
1990-01-12,1.0995
1990-01-15,1.0619
1990-01-16,1.1089
1990-01-17,1.1089
1990-01-18,1.0713
1990-01-19,1.1183
1990-01-22,1.0807
1990-01-23,1.0995
1990-01-24,1.0713
1990-01-25,1.0713
1990-01-26,1.0713
1990-01-29,1.0807
1990-01-30,1.0525
1990-01-31,1.1089
1990-02-01,1.0807
1990-02-02,1.0619
1990-02-05,1.0619
1990-02-06,1.0431
1990-02-07,1.0431
1990-02-08,1.0807
1990-02-09,1.0995
1990-02-12,1.1089
1990-02-13,1.1371
1990-02-14,1.1371
1990-02-15,1.1183
1990-02-16,1.1465
1990-02-20,1.1089
1990-02-21,1.0901
1990-02-22,1.0431
1990-02-23,0.9867
1990-02-26,0.9585
1990-02-27,0.9867
1990-02-28,1.0243
1990-03-01,1.0337
1990-03-02,1.0549
1990-03-05,1.036
1990-03-06,1.0737
1990-03-07,1.0831
1990-03-08,1.149
1990-03-09,1.1302
1990-03-12,1.102
1990-03-13,1.0737
1990-03-14,1.0737
1990-03-15,1.1114
1990-03-16,1.102
1990-03-19,1.0643
1990-03-20,1.036
1990-03-21,1.0549
1990-03-22,1.0454
1990-03-23,1.0737
1990-03-26,1.0831
1990-03-27,1.0831
1990-03-28,1.0549
1990-03-29,0.9983
1990-03-30,1.0078
1990-04-02,0.9889
1990-04-03,0.9983
1990-04-04,0.9607
1990-04-05,0.9701
1990-04-06,0.9418
1990-04-09,0.9701
1990-04-10,0.9889
1990-04-11,0.9889
1990-04-12,1.0172
1990-04-16,1.0172
1990-04-17,1.0266
1990-04-18,1.0172
1990-04-19,0.9795
1990-04-20,0.9324
1990-04-23,0.8759
1990-04-24,0.8947
1990-04-25,0.8947
1990-04-26,0.9042
1990-04-27,0.8759
1990-04-30,0.8853
1990-05-01,0.9513
1990-05-02,0.9513
1990-05-03,0.923
1990-05-04,0.9136
1990-05-07,0.9042
1990-05-08,0.8947
1990-05-09,0.8759
1990-05-10,0.8759
1990-05-11,0.8947
1990-05-14,0.8853
1990-05-15,0.8759
1990-05-16,0.8853
1990-05-17,0.9042
1990-05-18,1.0078
1990-05-21,1.102
1990-05-22,1.0925
1990-05-23,1.0925
1990-05-24,1.0925
1990-05-25,1.0172
1990-05-29,1.0737
1990-05-30,1.0737
1990-05-31,1.0737
1990-06-01,1.076
1990-06-04,1.0571
1990-06-05,1.0855
1990-06-06,1.1232
1990-06-07,1.1798
1990-06-08,1.1232
1990-06-11,1.1232
1990-06-12,1.1515
1990-06-13,1.1138
1990-06-14,1.1043
1990-06-15,1.1232
1990-06-18,1.0949
1990-06-19,1.0949
1990-06-20,1.0949
1990-06-21,1.0949
1990-06-22,1.0855
1990-06-25,1.076
1990-06-26,1.076
1990-06-27,1.0194
1990-06-28,1.0288
1990-06-29,1.0194
1990-07-02,1.0288
1990-07-03,1.0194
1990-07-05,1.0005
1990-07-06,1.0194
1990-07-09,1.0194
1990-07-10,0.9722
1990-07-11,0.9911
1990-07-12,1.0477
1990-07-13,1.0666
1990-07-16,1.076
1990-07-17,1.0666
1990-07-18,1.0571
1990-07-19,1.0666
1990-07-20,1.0288
1990-07-23,1.0005
1990-07-24,1.0005
1990-07-25,1.0005
1990-07-26,1.0477
1990-07-27,1.0005
1990-07-30,0.9628
1990-07-31,0.9533
1990-08-01,0.9911
1990-08-02,0.9628
1990-08-03,0.9344
1990-08-06,0.8778
1990-08-07,0.8778
1990-08-08,0.8872
1990-08-09,0.8872
1990-08-10,0.8684
1990-08-13,0.8495
1990-08-14,0.8495
1990-08-15,0.8495
1990-08-16,0.8023
1990-08-17,0.774
1990-08-20,0.7929
1990-08-21,0.7834
1990-08-22,0.7645
1990-08-23,0.7457
1990-08-24,0.7645
1990-08-27,0.8212
1990-08-28,0.8306
1990-08-29,0.8212
1990-08-30,0.8046
1990-08-31,0.814
1990-09-04,0.814
1990-09-05,0.8235
1990-09-06,0.8235
1990-09-07,0.833
1990-09-10,0.8519
1990-09-11,0.8519
1990-09-12,0.8519
1990-09-13,0.8519
1990-09-14,0.8614
1990-09-17,0.8614
1990-09-18,0.8614
1990-09-19,0.8614
1990-09-20,0.8046
1990-09-21,0.8235
1990-09-24,0.7856
1990-09-25,0.7951
1990-09-26,0.7762
1990-09-27,0.7383
1990-09-28,0.7099
1990-10-01,0.7667
1990-10-02,0.7478
1990-10-03,0.7383
1990-10-04,0.7004
1990-10-05,0.7194
1990-10-08,0.7288
1990-10-09,0.691
1990-10-10,0.6437
1990-10-11,0.6153
1990-10-12,0.6342
1990-10-15,0.6437
1990-10-16,0.6247
1990-10-17,0.6247
1990-10-18,0.6531
1990-10-19,0.691
1990-10-22,0.7478
1990-10-23,0.7478
1990-10-24,0.7667
1990-10-25,0.7383
1990-10-26,0.7194
1990-10-29,0.7194
1990-10-30,0.7194
1990-10-31,0.7478
1990-11-01,0.7383
1990-11-02,0.7478
1990-11-05,0.7762
1990-11-06,0.7667
1990-11-07,0.7383
1990-11-08,0.7099
1990-11-09,0.7478
1990-11-12,0.7951
1990-11-13,0.814
1990-11-14,0.8235
1990-11-15,0.7951
1990-11-16,0.7951
1990-11-19,0.8046
1990-11-20,0.7572
1990-11-21,0.7572
1990-11-23,0.7383
1990-11-26,0.7951
1990-11-27,0.7951
1990-11-28,0.8235
1990-11-29,0.8046
1990-11-30,0.8449
1990-12-03,0.8449
1990-12-04,0.8544
1990-12-05,0.8734
