Date,Settle
2002-12-06,4.6365
2002-12-09,4.5414
2002-12-10,4.6203
2002-12-11,4.87
2002-12-12,4.7457
2002-12-13,4.7176
2002-12-16,4.6582
2002-12-17,4.6765
2002-12-18,4.6117
2002-12-19,4.5717
2002-12-20,4.8041
2002-12-23,4.6906
2002-12-24,4.6528
2002-12-26,4.6041
2002-12-27,4.5393
2002-12-30,4.5739
2002-12-31,4.7187
2003-01-02,4.7252
2003-01-03,4.95
2003-01-06,5.1985
2003-01-07,5.1899
2003-01-08,5.1888
2003-01-09,5.3012
2003-01-10,5.2947
2003-01-13,5.3628
2003-01-14,5.3066
2003-01-15,5.0851
2003-01-16,4.9046
2003-01-17,4.8657
2003-01-21,4.8041
2003-01-22,4.7716
2003-01-23,4.91
2003-01-24,5.0786
2003-01-27,4.9986
2003-01-28,4.9727
2003-01-29,5.0256
2003-01-30,4.777
2003-01-31,4.5933
2003-02-03,4.5771
2003-02-04,4.5393
2003-02-05,4.5112
2003-02-06,4.4852
2003-02-07,4.5512
2003-02-10,4.6473
2003-02-11,4.6376
2003-02-12,4.6376
2003-02-13,4.7014
2003-02-14,4.8095
2003-02-18,4.8116
2003-02-19,4.8386
2003-02-20,4.8667
2003-02-21,4.9024
2003-02-24,4.9219
2003-02-25,4.9413
2003-02-26,4.9003
2003-02-27,4.6798
2003-02-28,4.6528
2003-03-03,4.6614
2003-03-04,4.6279
2003-03-05,4.5663
2003-03-06,4.5858
2003-03-07,4.5848
2003-03-10,4.588
2003-03-11,4.5783
2003-03-12,4.5902
2003-03-13,4.6053
2003-03-14,4.679
2003-03-17,4.9768
2003-03-18,4.9877
2003-03-19,5.0851
2003-03-20,4.9335
2003-03-21,5.1014
2003-03-24,5.1989
2003-03-25,5.2454
2003-03-26,5.253
2003-03-27,5.2964
2003-03-28,5.2693
2003-03-31,5.2151
2003-04-01,5.1956
2003-04-02,5.2162
2003-04-03,5.2292
2003-04-04,5.2422
2003-04-07,5.0581
2003-04-08,5.0321
2003-04-09,5.0635
2003-04-10,5.1036
2003-04-11,5.0657
2003-04-14,5.1458
2003-04-15,5.1447
2003-04-16,5.1566
2003-04-17,5.3115
2003-04-21,5.2769
2003-04-22,5.3927
2003-04-23,5.4696
2003-04-24,5.5888
2003-04-25,5.6809
2003-04-28,6.0004
2003-04-29,6.0274
2003-04-30,6.1238
2003-05-01,6.0415
2003-05-02,6.1737
2003-05-05,6.152
2003-05-06,6.1195
2003-05-07,6.022
2003-05-08,5.9982
2003-05-09,6.035
2003-05-12,6.1412
2003-05-13,6.347
2003-05-14,6.335
2003-05-15,6.3491
2003-05-16,6.4986
2003-05-19,6.3415
2003-05-20,6.3405
2003-05-21,6.4087
2003-05-22,6.4661
2003-05-23,6.5181
2003-05-27,6.4477
2003-05-28,6.5473
2003-05-29,6.5246
2003-05-30,6.6589
