Date,Settle
1990-01-02,3.0159
1990-01-03,2.9866
1990-01-04,3.0159
1990-01-05,2.994
1990-01-08,3.0013
1990-01-09,2.9647
1990-01-10,2.9427
1990-01-11,2.9647
1990-01-12,2.9134
1990-01-15,2.8549
1990-01-16,2.8988
1990-01-17,2.8768
1990-01-18,2.8695
1990-01-19,2.8695
1990-01-22,2.811
1990-01-23,2.7597
1990-01-24,2.7744
1990-01-25,2.7744
1990-01-26,2.8036
1990-01-29,2.7744
1990-01-30,2.7817
1990-01-31,2.8402
1990-02-01,2.8549
1990-02-02,2.9061
1990-02-05,2.9061
1990-02-06,2.8695
1990-02-07,2.811
1990-02-08,2.8036
1990-02-09,2.767
1990-02-12,2.7304
1990-02-13,2.6865
1990-02-14,2.6792
1990-02-15,2.7158
1990-02-16,2.6792
1990-02-20,2.6572
1990-02-21,2.6865
1990-02-22,2.7012
1990-02-23,2.6893
1990-02-26,2.6745
1990-02-27,2.7412
1990-02-28,2.793
1990-03-01,2.8301
1990-03-02,2.8375
1990-03-05,2.8152
1990-03-06,2.8449
1990-03-07,2.8078
1990-03-08,2.793
1990-03-09,2.7486
1990-03-12,2.7486
1990-03-13,2.7263
1990-03-14,2.6967
1990-03-15,2.7634
1990-03-16,2.7634
1990-03-19,2.8004
1990-03-20,2.7634
1990-03-21,2.756
1990-03-22,2.7412
1990-03-23,2.756
1990-03-26,2.7412
1990-03-27,2.7338
1990-03-28,2.7115
1990-03-29,2.7338
1990-03-30,2.7634
1990-04-02,2.7263
1990-04-03,2.793
1990-04-04,2.8597
1990-04-05,2.8671
1990-04-06,2.8301
1990-04-09,2.8449
1990-04-10,2.9338
1990-04-11,3.0227
1990-04-12,3.0227
1990-04-16,2.9634
1990-04-17,2.9782
1990-04-18,2.9412
1990-04-19,2.9338
1990-04-20,2.919
1990-04-23,2.8967
1990-04-24,2.8745
1990-04-25,2.8671
1990-04-26,2.8004
1990-04-27,2.7486
1990-04-30,2.756
1990-05-01,2.7412
1990-05-02,2.7412
1990-05-03,2.793
1990-05-04,2.7856
1990-05-07,2.8152
1990-05-08,2.8004
1990-05-09,2.793
1990-05-10,2.756
1990-05-11,2.793
1990-05-14,2.8967
1990-05-15,2.8967
1990-05-16,2.9041
1990-05-17,2.9041
1990-05-18,2.9041
1990-05-21,2.9338
1990-05-22,2.9041
1990-05-23,2.9338
1990-05-24,2.9634
1990-05-25,2.9065
1990-05-29,3.0114
1990-05-30,3.0638
1990-05-31,3.0188
1990-06-01,3.0413
1990-06-04,3.0338
1990-06-05,3.1762
1990-06-06,3.2511
1990-06-07,3.1986
1990-06-08,3.1911
1990-06-11,3.1986
1990-06-12,3.2586
1990-06-13,3.326
1990-06-14,3.296
1990-06-15,3.2735
1990-06-18,3.2286
1990-06-19,3.1986
1990-06-20,3.1986
1990-06-21,3.2061
1990-06-22,3.1762
1990-06-25,3.1312
1990-06-26,3.0863
1990-06-27,3.0863
1990-06-28,3.1162
1990-06-29,3.1387
1990-07-02,3.1162
1990-07-03,3.0413
1990-07-05,3.0188
1990-07-06,3.0188
1990-07-09,2.9889
1990-07-10,2.9215
1990-07-11,2.9664
1990-07-12,3.0413
1990-07-13,3.0713
1990-07-16,3.2586
1990-07-17,3.2136
1990-07-18,3.2061
1990-07-19,3.1312
1990-07-20,3.0638
1990-07-23,3.0039
1990-07-24,2.9514
1990-07-25,2.9439
1990-07-26,2.9889
1990-07-27,2.9889
1990-07-30,2.9664
1990-07-31,2.9814
1990-08-01,2.9964
1990-08-02,2.9889
1990-08-03,2.929
1990-08-06,2.8316
1990-08-07,2.7567
1990-08-08,2.7042
1990-08-09,2.7042
1990-08-10,2.6892
1990-08-13,2.6818
1990-08-14,2.6892
1990-08-15,2.6743
1990-08-16,2.6818
1990-08-17,2.6293
1990-08-20,2.6143
1990-08-21,2.5469
1990-08-22,2.502
1990-08-23,2.4945
1990-08-24,2.4795
1990-08-27,2.5129
1990-08-28,2.4598
1990-08-29,2.4522
1990-08-30,2.3687
1990-08-31,2.3383
1990-09-04,2.3383
1990-09-05,2.3383
1990-09-06,2.3231
1990-09-07,2.3231
1990-09-10,2.3079
1990-09-11,2.3155
1990-09-12,2.3231
1990-09-13,2.3079
1990-09-14,2.3079
1990-09-17,2.3079
1990-09-18,2.2851
1990-09-19,2.2548
1990-09-20,2.2244
1990-09-21,2.2016
1990-09-24,2.1257
1990-09-25,2.2016
1990-09-26,2.2244
1990-09-27,2.2016
1990-09-28,2.232
1990-10-01,2.2472
1990-10-02,2.232
1990-10-03,2.2244
1990-10-04,2.2472
1990-10-05,2.232
1990-10-08,2.232
1990-10-09,2.232
1990-10-10,2.2168
1990-10-11,2.2016
1990-10-12,2.2396
1990-10-15,2.2472
1990-10-16,2.2396
1990-10-17,2.232
1990-10-18,2.2776
1990-10-19,2.3231
1990-10-22,2.3231
1990-10-23,2.3763
1990-10-24,2.3535
1990-10-25,2.3231
1990-10-26,2.2548
1990-10-29,2.1333
1990-10-30,2.0574
1990-10-31,2.0346
1990-11-01,2.0118
1990-11-02,1.9739
1990-11-05,1.898
1990-11-06,1.9283
1990-11-07,1.9283
1990-11-08,1.9891
1990-11-09,2.1409
1990-11-12,2.1105
1990-11-13,2.1257
1990-11-14,2.1181
1990-11-15,2.1561
1990-11-16,2.1713
1990-11-19,2.1637
1990-11-20,2.1333
1990-11-21,2.1181
1990-11-23,2.1181
1990-11-26,2.0672
1990-11-27,2.0826
1990-11-28,2.0749
1990-11-29,2.0904
1990-11-30,2.0981
1990-12-03,2.0904
1990-12-04,2.0826
1990-12-05,2.1906
1990-12-06,2.1675
1990-12-07,2.1521
1990-12-10,2.2369
1990-12-11,2.2061
1990-12-12,2.1829
1990-12-13,2.2138
1990-12-14,2.3141
1990-12-17,2.2601
1990-12-18,2.3603
1990-12-19,2.4066
1990-12-20,2.3295
1990-12-21,2.3295
1990-12-24,2.2832
1990-12-26,2.2909
1990-12-27,2.2986
1990-12-28,2.3063
1990-12-31,2.2986
1991-01-02,2.2601
1991-01-03,2.2369
1991-01-04,2.1983
1991-01-07,2.1598
1991-01-08,2.0904
1991-01-09,2.0132
1991-01-10,2.1135
1991-01-11,2.0981
1991-01-14,2.1058
1991-01-15,2.0749
1991-01-16,2.1289
1991-01-17,2.2061
1991-01-18,2.1906
1991-01-21,2.2369
1991-01-22,2.1906
1991-01-23,2.2446
1991-01-24,2.3218
1991-01-25,2.3449
1991-01-28,2.3372
1991-01-29,2.368
1991-01-30,2.422
1991-01-31,2.4066
1991-02-01,2.476
1991-02-04,2.6534
1991-02-05,2.5686
1991-02-06,2.4992
1991-02-07,2.4143
1991-02-08,2.5917
1991-02-11,2.7152
1991-02-12,2.7229
