Date,Settle
1990-01-02,13.4679
1990-01-03,13.7812
1990-01-04,13.6022
1990-01-05,13.4232
1990-01-08,13.5127
1990-01-09,13.0205
1990-01-10,13.2442
1990-01-11,13.1547
1990-01-12,12.9758
1990-01-15,12.6626
1990-01-16,12.8415
1990-01-17,12.8415
1990-01-18,12.8415
1990-01-19,13.0205
1990-01-22,12.6178
1990-01-23,12.4836
1990-01-24,12.2599
1990-01-25,11.8124
1990-01-26,11.9914
1990-01-29,11.9466
1990-01-30,11.7133
1990-01-31,12.1172
1990-02-01,12.3416
1990-02-02,12.3865
1990-02-05,12.4313
1990-02-06,12.2967
1990-02-07,12.4313
1990-02-08,12.5211
1990-02-09,12.5211
1990-02-12,12.566
1990-02-13,12.4762
1990-02-14,12.3416
1990-02-15,12.4762
1990-02-16,12.3416
1990-02-20,12.3416
1990-02-21,12.2069
1990-02-22,12.1172
1990-02-23,11.7133
1990-02-26,11.7133
1990-02-27,11.7133
1990-02-28,11.8928
1990-03-01,12.0723
1990-03-02,12.1621
1990-03-05,12.1172
1990-03-06,12.2518
1990-03-07,12.4313
1990-03-08,12.566
1990-03-09,12.566
1990-03-12,12.4313
1990-03-13,12.4762
1990-03-14,12.2518
1990-03-15,12.1172
1990-03-16,11.9826
1990-03-19,11.8928
1990-03-20,11.6684
1990-03-21,11.7582
1990-03-22,11.7133
1990-03-23,11.803
1990-03-26,11.8479
1990-03-27,11.9377
1990-03-28,11.5786
1990-03-29,11.6235
1990-03-30,11.6235
1990-04-02,11.5338
1990-04-03,11.6684
1990-04-04,11.6684
1990-04-05,11.5786
1990-04-06,11.3094
1990-04-09,11.085
1990-04-10,10.8606
1990-04-11,10.5913
1990-04-12,10.5913
1990-04-16,10.4118
1990-04-17,10.5016
1990-04-18,10.7708
1990-04-19,10.5913
1990-04-20,10.5913
1990-04-23,10.4567
1990-04-24,10.4118
1990-04-25,10.6362
1990-04-26,10.5913
1990-04-27,10.6362
1990-04-30,10.5464
1990-05-01,10.4924
1990-05-02,10.6275
1990-05-03,10.8076
1990-05-04,10.8076
1990-05-07,10.7626
1990-05-08,10.7626
1990-05-09,10.8527
1990-05-10,10.7176
1990-05-11,10.8977
1990-05-14,10.9878
1990-05-15,11.303
1990-05-16,11.2579
1990-05-17,11.2129
1990-05-18,10.8977
1990-05-21,11.1228
1990-05-22,11.1679
1990-05-23,10.3123
1990-05-24,10.4924
1990-05-25,10.5825
1990-05-29,10.4474
1990-05-30,10.5374
1990-05-31,10.5374
1990-06-01,10.5825
1990-06-04,10.7626
1990-06-05,11.0778
1990-06-06,11.1228
1990-06-07,10.9878
1990-06-08,11.0778
1990-06-11,10.9878
1990-06-12,11.0778
1990-06-13,11.1679
1990-06-14,11.1679
1990-06-15,11.2129
1990-06-18,11.1228
1990-06-19,11.1679
1990-06-20,11.348
1990-06-21,11.393
1990-06-22,11.2129
1990-06-25,11.2129
1990-06-26,11.348
1990-06-27,11.303
1990-06-28,11.348
1990-06-29,11.4831
1990-07-02,11.303
1990-07-03,11.4381
1990-07-05,11.393
1990-07-06,11.7983
1990-07-09,11.6632
1990-07-10,11.5732
1990-07-11,11.5732
1990-07-12,11.4831
1990-07-13,11.5281
1990-07-16,11.4381
1990-07-17,11.4831
1990-07-18,11.4381
1990-07-19,11.4831
1990-07-20,11.348
1990-07-23,11.1679
1990-07-24,11.1679
1990-07-25,11.1228
1990-07-26,11.2129
1990-07-27,11.2579
1990-07-30,11.2579
1990-07-31,11.3844
1990-08-01,11.4748
1990-08-02,11.4296
1990-08-03,11.2489
1990-08-06,10.8875
1990-08-07,11.2489
1990-08-08,11.2941
1990-08-09,11.3393
1990-08-10,11.3393
1990-08-13,11.0682
1990-08-14,11.2037
1990-08-15,11.2941
1990-08-16,11.3844
1990-08-17,11.023
1990-08-20,10.9778
1990-08-21,10.8423
1990-08-22,10.7068
1990-08-23,10.0743
1990-08-24,10.255
1990-08-27,10.5713
1990-08-28,10.6616
1990-08-29,10.6616
1990-08-30,10.6164
1990-08-31,10.5713
1990-09-04,10.3906
1990-09-05,10.3906
1990-09-06,10.4809
1990-09-07,10.6616
1990-09-10,10.6164
1990-09-11,10.6164
1990-09-12,10.6164
1990-09-13,10.4357
1990-09-14,10.2099
1990-09-17,10.2099
1990-09-18,10.1195
1990-09-19,10.0291
1990-09-20,9.984
1990-09-21,9.6226
1990-09-24,9.2611
1990-09-25,9.3063
1990-09-26,9.4419
1990-09-27,9.9388
1990-09-28,10.3002
1990-10-01,9.8936
1990-10-02,10.0743
1990-10-03,9.5774
1990-10-04,9.5774
1990-10-05,9.4419
1990-10-08,9.6677
1990-10-09,9.7129
1990-10-10,9.6677
1990-10-11,9.6226
1990-10-12,9.5322
1990-10-15,9.3515
1990-10-16,9.3063
1990-10-17,9.3515
1990-10-18,9.3967
1990-10-19,9.4419
1990-10-22,9.4419
1990-10-23,9.3515
1990-10-24,9.4419
1990-10-25,9.6226
1990-10-26,9.487
1990-10-29,9.3967
1990-10-30,9.3041
1990-10-31,9.531
1990-11-01,9.4856
1990-11-02,9.4856
1990-11-05,9.531
1990-11-06,9.3495
1990-11-07,9.2587
1990-11-08,9.3041
1990-11-09,9.2133
1990-11-12,9.531
1990-11-13,9.5764
1990-11-14,9.6672
1990-11-15,9.7579
1990-11-16,9.7579
1990-11-19,9.8033
1990-11-20,9.4402
1990-11-21,9.1679
1990-11-23,9.3041
1990-11-26,9.3949
1990-11-27,9.4856
1990-11-28,9.6218
1990-11-29,9.6218
1990-11-30,9.7579
1990-12-03,9.6672
1990-12-04,9.3495
1990-12-05,9.3041
1990-12-06,9.3495
1990-12-07,9.3495
1990-12-10,9.1679
1990-12-11,9.1679
1990-12-12,9.1679
1990-12-13,9.2133
1990-12-14,9.1679
1990-12-17,9.3041
1990-12-18,9.3041
1990-12-19,9.1679
1990-12-20,9.8033
1990-12-21,9.7579
1990-12-24,9.8941
1990-12-26,10.3026
1990-12-27,10.1664
1990-12-28,10.1664
1990-12-31,10.121
1991-01-02,9.9849
1991-01-03,10.0756
1991-01-04,10.0303
1991-01-07,9.9849
1991-01-08,9.8487
1991-01-09,9.8941
1991-01-10,9.9849
1991-01-11,9.8941
1991-01-14,9.6672
1991-01-15,9.7126
1991-01-16,9.9849
1991-01-17,9.9849
1991-01-18,9.8941
1991-01-21,10.0303
1991-01-22,10.7564
1991-01-23,10.7564
1991-01-24,10.6657
1991-01-25,10.8018
1991-01-28,10.8018
1991-01-29,10.7564
1991-01-30,10.8018
1991-01-31,10.6633
1991-02-01,10.4354
1991-02-04,10.8456
1991-02-05,10.9367
1991-02-06,10.9367
1991-02-07,11.1646
1991-02-08,11.0734
1991-02-11,11.2101
1991-02-12,11.2101
1991-02-13,11.2101
1991-02-14,11.0278
1991-02-15,11.6203
1991-02-19,11.4835
1991-02-20,11.5291
1991-02-21,11.6658
1991-02-22,11.8937
1991-02-25,11.8937
1991-02-26,11.6658
1991-02-27,11.4835
1991-02-28,11.3013
1991-03-01,11.3013
1991-03-04,11.438
1991-03-05,11.9392
1991-03-06,11.757
1991-03-07,11.757
1991-03-08,11.6658
1991-03-11,11.5291
1991-03-12,11.2557
1991-03-13,11.1646
1991-03-14,11.1646
1991-03-15,11.0278
1991-03-18,10.9823
1991-03-19,10.9367
1991-03-20,11.0734
1991-03-21,11.2101
1991-03-22,11.0278
1991-03-25,11.119
1991-03-26,11.0734
1991-03-27,10.9823
1991-03-28,10.9367
1991-04-01,10.9823
1991-04-02,11.0734
1991-04-03,11.119
1991-04-04,11.119
1991-04-05,10.9367
1991-04-08,10.9367
1991-04-09,10.9367
1991-04-10,10.9823
1991-04-11,11.0734
1991-04-12,10.9367
1991-04-15,10.9823
1991-04-16,10.8911
1991-04-17,10.8
1991-04-18,10.5722
1991-04-19,10.4354
1991-04-22,10.3443
1991-04-23,10.2987
1991-04-24,10.3899
1991-04-25,10.4354
1991-04-26,10.3443
1991-04-29,10.2987
1991-04-30,10.1596
1991-05-01,10.4342
1991-05-02,10.5257
1991-05-03,10.5715
1991-05-06,10.48
1991-05-07,9.2901
1991-05-08,9.0155
1991-05-09,9.1528
1991-05-10,9.0155
1991-05-13,8.924
1991-05-14,8.8782
1991-05-15,8.6952
1991-05-16,9.4732
1991-05-17,9.702
1991-05-20,9.5647
1991-05-21,9.6562
1991-05-22,9.6562
1991-05-23,9.6104
1991-05-24,9.6104
1991-05-28,9.6104
1991-05-29,9.6104
1991-05-30,9.6104
1991-05-31,9.702
1991-06-03,9.702
1991-06-04,9.9308
1991-06-05,9.885
1991-06-06,9.7935
1991-06-07,9.7477
1991-06-10,9.8393
1991-06-11,9.8393
1991-06-12,9.8393
1991-06-13,9.7935
1991-06-14,9.7477
1991-06-17,9.8393
1991-06-18,9.8393
1991-06-19,9.8393
1991-06-20,9.702
1991-06-21,9.6104
1991-06-24,9.4274
1991-06-25,9.4274
1991-06-26,9.3359
1991-06-27,9.2901
1991-06-28,9.2901
1991-07-01,9.4274
1991-07-02,9.0613
1991-07-03,8.7409
1991-07-05,8.8325
1991-07-08,8.6952
1991-07-09,8.6494
1991-07-10,8.2375
1991-07-11,8.1002
1991-07-12,8.0545
1991-07-15,8.0087
1991-07-16,7.8714
1991-07-17,7.7799
1991-07-18,7.8256
1991-07-19,7.9172
1991-07-22,8.0545
1991-07-23,7.8714
1991-07-24,7.7341
1991-07-25,7.7341
1991-07-26,7.7341
1991-07-29,7.7341
1991-07-30,8.0545
1991-07-31,8.0084
1991-08-01,7.8243
1991-08-02,7.8704
1991-08-05,7.8243
1991-08-06,7.8704
1991-08-07,7.7323
1991-08-08,7.7323
1991-08-09,7.7783
1991-08-12,7.7783
1991-08-13,7.8243
1991-08-14,8.0084
1991-08-15,7.9624
1991-08-16,7.9164
1991-08-19,7.6863
1991-08-20,7.7323
1991-08-21,7.8243
1991-08-22,7.6863
1991-08-23,7.7323
1991-08-26,7.7783
1991-08-27,7.8243
1991-08-28,7.7783
1991-08-29,7.6402
1991-08-30,7.6863
1991-09-03,7.5021
1991-09-04,7.4101
1991-09-05,7.18
1991-09-06,7.0419
1991-09-09,6.9038
1991-09-10,6.8118
1991-09-11,6.8578
1991-09-12,7.0419
1991-09-13,6.8578
1991-09-16,6.8118
1991-09-17,6.7197
1991-09-18,6.7197
1991-09-19,6.9038
1991-09-20,6.9038
1991-09-23,6.9038
1991-09-24,6.9498
1991-09-25,6.9959
1991-09-26,6.9498
1991-09-27,6.9959
1991-09-30,6.9959
1991-10-01,7.0879
1991-10-02,7.1339
1991-10-03,7.18
1991-10-04,7.1339
1991-10-07,7.18
1991-10-08,7.226
1991-10-09,7.0879
1991-10-10,6.9498
1991-10-11,6.9498
1991-10-14,6.9038
1991-10-15,6.9038
1991-10-16,6.8578
1991-10-17,6.8118
1991-10-18,6.5816
1991-10-21,6.3515
1991-10-22,6.2595
1991-10-23,6.3055
1991-10-24,6.3975
1991-10-25,6.3515
1991-10-28,6.4896
1991-10-29,6.4877
1991-10-30,6.4877
1991-10-31,6.5341
1991-11-01,6.5804
1991-11-04,6.3951
1991-11-05,6.3024
1991-11-06,6.256
1991-11-07,6.3024
1991-11-08,6.8121
1991-11-11,6.6731
1991-11-12,6.7658
1991-11-13,6.8121
1991-11-14,6.9048
1991-11-15,6.7658
1991-11-18,6.7658
1991-11-19,6.6268
1991-11-20,6.5341
1991-11-21,6.5804
1991-11-22,6.5804
1991-11-25,6.7194
1991-11-26,6.7658
1991-11-27,6.6731
1991-11-29,6.6731
1991-12-02,6.5804
1991-12-03,6.5804
1991-12-04,6.6268
1991-12-05,6.6268
1991-12-06,6.6268
1991-12-09,6.4877
1991-12-10,6.3487
1991-12-11,6.3487
1991-12-12,6.5341
1991-12-13,6.6268
1991-12-16,6.6731
1991-12-17,6.7194
1991-12-18,6.6731
1991-12-19,6.3024
1991-12-20,6.4414
1991-12-23,6.3951
1991-12-24,6.4414
1991-12-26,6.5341
1991-12-27,6.7194
1991-12-30,6.7658
1991-12-31,6.8121
1992-01-02,6.8585
1992-01-03,6.9511
1992-01-06,7.1365
1992-01-07,7.0438
1992-01-08,7.0438
1992-01-09,6.9975
1992-01-10,6.8585
1992-01-13,6.8585
1992-01-14,6.8121
1992-01-15,6.8121
1992-01-16,6.7194
1992-01-17,6.9048
1992-01-20,7.0438
1992-01-21,7.0438
1992-01-22,6.9511
1992-01-23,6.9048
1992-01-24,6.9511
1992-01-27,7.0438
1992-01-28,6.9953
1992-01-29,6.9487
1992-01-30,6.9953
1992-01-31,7.2751
1992-02-03,7.4617
1992-02-04,7.3684
1992-02-05,7.3218
1992-02-06,7.2285
1992-02-07,7.2285
1992-02-10,7.0886
1992-02-11,7.0886
1992-02-12,7.0886
1992-02-13,6.9953
1992-02-14,7.0886
1992-02-18,7.1819
1992-02-19,7.042
1992-02-20,7.0886
1992-02-21,7.042
1992-02-24,6.9953
1992-02-25,6.9487
1992-02-26,6.9953
1992-02-27,7.0886
1992-02-28,7.0886
1992-03-02,7.0886
1992-03-03,7.928
1992-03-04,8.2545
1992-03-05,8.2079
1992-03-06,8.2545
1992-03-09,8.3011
1992-03-10,8.3944
1992-03-11,8.3478
1992-03-12,8.1146
1992-03-13,8.1612
1992-03-16,8.2079
1992-03-17,8.3011
1992-03-18,8.3478
1992-03-19,8.3944
1992-03-20,8.3011
1992-03-23,8.2545
1992-03-24,8.1612
1992-03-25,8.2079
1992-03-26,8.0213
1992-03-27,7.928
1992-03-30,7.8348
1992-03-31,7.8814
1992-04-01,8.1146
1992-04-02,5.8761
1992-04-03,5.8294
1992-04-06,5.9693
1992-04-07,5.8294
1992-04-08,5.8761
1992-04-09,5.7828
1992-04-10,5.7362
1992-04-13,5.6895
1992-04-14,5.6429
1992-04-15,5.7362
1992-04-16,5.7362
1992-04-20,5.6429
1992-04-21,5.6429
1992-04-22,5.6895
1992-04-23,5.5963
1992-04-24,5.8294
1992-04-27,5.6429
1992-04-28,5.688
1992-04-29,5.641
1992-04-30,5.641
1992-05-01,5.782
1992-05-04,5.688
1992-05-05,5.8291
1992-05-06,5.8761
1992-05-07,5.8291
1992-05-08,5.9231
1992-05-11,5.9701
1992-05-12,5.9701
1992-05-13,5.9231
1992-05-14,5.9231
1992-05-15,5.8761
1992-05-18,5.8761
1992-05-19,5.9231
1992-05-20,5.9231
1992-05-21,5.9231
1992-05-22,5.8761
1992-05-26,5.8291
1992-05-27,5.8291
1992-05-28,5.9231
1992-05-29,5.9701
1992-06-01,6.0641
1992-06-02,6.0171
1992-06-03,6.0171
1992-06-04,6.0171
1992-06-05,6.0641
1992-06-08,6.0641
1992-06-09,6.0171
1992-06-10,5.9231
1992-06-11,5.9231
1992-06-12,6.0171
1992-06-15,5.9701
1992-06-16,6.0171
1992-06-17,6.0171
1992-06-18,5.9231
1992-06-19,5.8761
1992-06-22,5.8761
1992-06-23,5.8761
1992-06-24,5.8761
1992-06-25,6.0171
