Date,Settle
2001-12-13,1.4333
2001-12-14,1.3917
2001-12-17,1.415
2001-12-18,1.4383
2001-12-19,1.7258
2001-12-20,1.6542
2001-12-21,1.6583
2001-12-24,1.6625
2001-12-26,1.6933
2001-12-27,1.7333
2001-12-28,1.7917
2001-12-31,1.8292
2002-01-02,1.8333
2002-01-03,1.8333
2002-01-04,1.8125
2002-01-07,1.7142
2002-01-08,1.7667
2002-01-09,1.7267
2002-01-10,1.7133
2002-01-11,1.7667
2002-01-14,1.7467
2002-01-15,1.75
2002-01-16,1.6708
2002-01-17,1.6292
2002-01-18,1.625
2002-01-22,1.6833
2002-01-23,1.8092
2002-01-24,1.7958
2002-01-25,1.8042
2002-01-28,1.6933
2002-01-29,1.7083
2002-01-30,1.6767
2002-01-31,1.5417
2002-02-01,1.6167
2002-02-04,1.5667
2002-02-05,1.5917
2002-02-06,1.675
2002-02-07,1.6008
2002-02-08,1.6008
2002-02-11,1.6042
2002-02-12,1.6058
2002-02-13,1.565
2002-02-14,1.6058
2002-02-15,1.5833
2002-02-19,1.5633
2002-02-20,1.5717
2002-02-21,1.5792
2002-02-22,1.5667
2002-02-25,1.575
2002-02-26,1.5758
2002-02-27,1.5692
2002-02-28,1.5625
2002-03-01,1.565
2002-03-04,1.57
2002-03-05,1.5742
2002-03-06,1.575
2002-03-07,1.575
2002-03-08,1.5917
2002-03-11,1.5725
2002-03-12,1.625
2002-03-13,1.7283
2002-03-14,1.8333
2002-03-15,1.8833
2002-03-18,1.9083
2002-03-19,1.925
2002-03-20,1.9167
2002-03-21,1.9208
2002-03-22,1.9233
2002-03-25,1.9125
2002-03-26,1.9167
2002-03-27,1.9125
2002-03-28,1.9083
2002-04-01,1.9125
2002-04-02,1.9083
2002-04-03,1.9142
2002-04-04,1.9083
2002-04-05,1.9083
2002-04-08,1.9125
2002-04-09,2.0917
2002-04-10,2.2125
2002-04-11,2.3658
2002-04-12,2.4125
2002-04-15,2.3833
2002-04-16,2.415
2002-04-17,2.3233
2002-04-18,2.4167
2002-04-19,2.4383
2002-04-22,2.435
2002-04-23,2.4992
2002-04-24,2.4692
2002-04-25,2.3892
2002-04-26,2.2917
2002-04-29,2.2508
2002-04-30,2.1492
2002-05-01,1.9942
2002-05-02,2.0283
2002-05-03,2.0999
2002-05-06,2.0325
2002-05-07,2.0149
2002-05-08,1.9933
2002-05-09,2.165
2002-05-10,2.1583
2002-05-13,2.0958
2002-05-14,2.0825
2002-05-15,2.0833
2002-05-16,2.1333
2002-05-17,2.0633
2002-05-20,1.9833
2002-05-21,1.9375
2002-05-22,2.0067
2002-05-23,2.0625
2002-05-24,2.0
2002-05-28,2.05
2002-05-29,2.0908
2002-05-30,2.2392
2002-05-31,2.18
2002-06-03,2.0793
2002-06-04,2.0417
2002-06-05,2.0
2002-06-06,1.9925
2002-06-07,2.0575
2002-06-10,2.03
2002-06-11,2.0475
2002-06-12,2.0583
2002-06-13,2.2742
2002-06-14,2.375
2002-06-17,2.3675
2002-06-18,2.4175
2002-06-19,2.3917
2002-06-20,2.3375
2002-06-21,2.3542
2002-06-24,2.335
2002-06-25,2.3867
2002-06-26,2.3125
2002-06-27,2.4875
2002-06-28,2.5817
2002-07-01,2.375
2002-07-02,2.2225
2002-07-03,2.25
2002-07-05,2.2583
2002-07-08,2.2384
2002-07-09,2.2542
2002-07-10,2.2833
2002-07-11,2.2483
2002-07-12,2.2458
2002-07-15,2.225
2002-07-16,2.1792
2002-07-17,2.24
2002-07-18,2.1925
2002-07-19,2.145
2002-07-22,1.92
2002-07-23,1.8925
2002-07-24,2.0025
2002-07-25,2.1025
2002-07-26,2.06
2002-07-29,2.0833
2002-07-30,1.95
2002-07-31,1.9792
2002-08-01,2.1408
2002-08-02,2.0667
2002-08-05,1.9567
2002-08-06,2.125
2002-08-07,2.1108
2002-08-08,2.3667
2002-08-09,2.2917
2002-08-12,2.2267
2002-08-13,2.155
2002-08-14,2.1667
2002-08-15,2.25
2002-08-16,2.2792
2002-08-19,2.3133
2002-08-20,2.2825
2002-08-21,2.2717
2002-08-22,2.2742
2002-08-23,2.2492
2002-08-26,2.2842
2002-08-27,2.1433
2002-08-28,2.1983
2002-08-29,2.32
2002-08-30,2.2167
2002-09-03,2.1192
2002-09-04,2.0125
2002-09-05,2.015
2002-09-06,2.0083
2002-09-09,2.0083
2002-09-10,2.0025
2002-09-11,1.9833
2002-09-12,1.975
2002-09-13,1.9583
2002-09-16,1.875
2002-09-17,1.8883
2002-09-18,2.0167
2002-09-19,2.0358
2002-09-20,2.0425
2002-09-23,2.1333
2002-09-24,2.14
2002-09-25,2.2198
2002-09-26,2.2167
2002-09-27,2.2458
2002-09-30,2.2242
2002-10-01,2.3325
2002-10-02,2.2517
2002-10-03,2.2617
2002-10-04,2.2924
2002-10-07,2.1982
2002-10-08,2.25
2002-10-09,2.13
2002-10-10,2.175
2002-10-11,2.209
2002-10-14,2.2283
2002-10-15,2.5008
2002-10-16,2.4575
2002-10-17,2.4233
2002-10-18,2.3833
2002-10-21,2.3875
2002-10-22,2.3658
2002-10-23,2.4792
2002-10-24,2.495
2002-10-25,2.4875
2002-10-28,2.45
2002-10-29,2.4408
2002-10-30,2.6425
2002-10-31,2.5358
2002-11-01,2.475
2002-11-04,2.4833
2002-11-05,2.52
2002-11-06,2.5083
2002-11-07,2.485
2002-11-08,2.4808
2002-11-11,2.4168
2002-11-12,2.4167
2002-11-13,2.4808
2002-11-14,2.5767
2002-11-15,2.72
2002-11-18,2.7792
2002-11-19,2.7175
2002-11-20,2.8226
2002-11-21,2.7083
2002-11-22,2.7075
2002-11-25,2.5042
2002-11-26,2.4167
2002-11-27,2.5216
2002-11-29,2.3292
2002-12-02,2.4758
2002-12-03,2.5316
2002-12-04,2.5601
2002-12-05,2.5
2002-12-06,2.5167
2002-12-09,2.5475
2002-12-10,2.6233
2002-12-11,2.6883
2002-12-12,2.7217
2002-12-13,2.7117
2002-12-16,2.7933
2002-12-17,2.7533
2002-12-18,2.7783
2002-12-19,2.6708
2002-12-20,2.6758
2002-12-23,2.7758
2002-12-24,2.8833
2002-12-26,2.845
2002-12-27,2.8783
2002-12-30,2.8842
2002-12-31,2.7992
2003-01-02,2.875
2003-01-03,2.8608
2003-01-06,2.7225
2003-01-07,2.7275
2003-01-08,2.7008
2003-01-09,2.6799
2003-01-10,2.5608
2003-01-13,2.4642
2003-01-14,2.3467
2003-01-15,2.1808
2003-01-16,2.2458
2003-01-17,2.3333
2003-01-21,2.3167
2003-01-22,2.3083
2003-01-23,2.3342
2003-01-24,2.2192
2003-01-27,2.1742
2003-01-28,2.24
2003-01-29,2.2417
2003-01-30,2.32
2003-01-31,2.35
2003-02-03,2.1558
2003-02-04,2.0192
2003-02-05,2.0708
2003-02-06,2.12
2003-02-07,2.025
2003-02-10,2.0975
2003-02-11,2.1675
2003-02-12,2.0799
2003-02-13,2.0567
2003-02-14,2.0458
2003-02-18,2.0733
2003-02-19,1.9833
2003-02-20,1.97
2003-02-21,1.985
2003-02-24,1.985
2003-02-25,2.0617
2003-02-26,2.0408
2003-02-27,2.0258
2003-02-28,2.125
2003-03-03,2.1074
2003-03-04,2.0925
2003-03-05,2.105
2003-03-06,2.1683
2003-03-07,2.1417
2003-03-10,2.1667
2003-03-11,2.1667
2003-03-12,2.1649
2003-03-13,2.1533
2003-03-14,2.0975
2003-03-17,2.175
2003-03-18,2.2175
2003-03-19,2.2083
2003-03-20,2.1783
2003-03-21,2.2483
2003-03-24,2.3075
2003-03-25,2.3833
2003-03-26,2.3775
2003-03-27,2.4167
2003-03-28,2.4667
2003-03-31,2.4342
2003-04-01,2.5
2003-04-02,2.4783
2003-04-03,2.49
2003-04-04,2.4492
2003-04-07,2.4668
2003-04-08,2.4793
2003-04-09,2.46
2003-04-10,2.45
2003-04-11,2.425
2003-04-14,2.4258
2003-04-15,2.4883
2003-04-16,2.3667
2003-04-17,2.4142
2003-04-21,2.3475
