Date,Settle
1990-01-02,2.4742
1990-01-03,2.4742
1990-01-04,2.4478
1990-01-05,2.4128
1990-01-08,2.4303
1990-01-09,2.4215
1990-01-10,2.4303
1990-01-11,2.4391
1990-01-12,2.4128
1990-01-15,2.4303
1990-01-16,2.4391
1990-01-17,2.4215
1990-01-18,2.4215
1990-01-19,2.4128
1990-01-22,2.3689
1990-01-23,2.3689
1990-01-24,2.3689
1990-01-25,2.325
1990-01-26,2.325
1990-01-29,2.3513
1990-01-30,2.3513
1990-01-31,2.3777
1990-02-01,2.3777
1990-02-02,2.3777
1990-02-05,2.3864
1990-02-06,2.3864
1990-02-07,2.3952
1990-02-08,2.3864
1990-02-09,2.4128
1990-02-12,2.3762
1990-02-13,2.3941
1990-02-14,2.412
1990-02-15,2.4569
1990-02-16,2.4389
1990-02-20,2.412
1990-02-21,2.3851
1990-02-22,2.3672
1990-02-23,2.3403
1990-02-26,2.3672
1990-02-27,2.3762
1990-02-28,2.3762
1990-03-01,2.3851
1990-03-02,2.412
1990-03-05,2.3941
1990-03-06,2.4479
1990-03-07,2.421
1990-03-08,2.43
1990-03-09,2.43
1990-03-12,2.421
1990-03-13,2.4031
1990-03-14,2.412
1990-03-15,2.412
1990-03-16,2.421
1990-03-19,2.3941
1990-03-20,2.3851
1990-03-21,2.3851
1990-03-22,2.3493
1990-03-23,2.3493
1990-03-26,2.3672
1990-03-27,2.3851
1990-03-28,2.3851
1990-03-29,2.3672
1990-03-30,2.3941
1990-04-02,2.3672
1990-04-03,2.3851
1990-04-04,2.3941
1990-04-05,2.3134
1990-04-06,2.3044
1990-04-09,2.3044
1990-04-10,2.3224
1990-04-11,2.3403
1990-04-12,2.3313
1990-04-16,2.3403
1990-04-17,2.3044
1990-04-18,2.2596
1990-04-19,2.2865
1990-04-20,2.2686
1990-04-23,2.3134
1990-04-24,2.3224
1990-04-25,2.3134
1990-04-26,2.3224
1990-04-27,2.3134
1990-04-30,2.3134
1990-05-01,2.3313
1990-05-02,2.3313
1990-05-03,2.3403
1990-05-04,2.4031
1990-05-07,2.43
1990-05-08,2.3582
1990-05-09,2.3941
1990-05-10,2.3934
1990-05-11,2.4484
1990-05-14,2.4576
1990-05-15,2.4759
1990-05-16,2.4759
1990-05-17,2.4667
1990-05-18,2.4117
1990-05-21,2.3475
1990-05-22,2.3475
1990-05-23,2.375
1990-05-24,2.375
1990-05-25,2.3567
1990-05-29,2.3567
1990-05-30,2.3475
1990-05-31,2.3383
1990-06-01,2.3659
1990-06-04,2.4392
1990-06-05,2.4301
1990-06-06,2.4667
1990-06-07,2.4576
1990-06-08,2.4301
1990-06-11,2.4301
1990-06-12,2.4392
1990-06-13,2.4484
1990-06-14,2.4392
1990-06-15,2.4392
1990-06-18,2.3842
1990-06-19,2.4209
1990-06-20,2.4117
1990-06-21,2.3842
1990-06-22,2.375
1990-06-25,2.3567
1990-06-26,2.3659
1990-06-27,2.4117
1990-06-28,2.4301
1990-06-29,2.4667
1990-07-02,2.4484
1990-07-03,2.4576
1990-07-05,2.4392
1990-07-06,2.4576
1990-07-09,2.4392
1990-07-10,2.4209
1990-07-11,2.4209
1990-07-12,2.4209
1990-07-13,2.4301
1990-07-16,2.4392
1990-07-17,2.4392
1990-07-18,2.4025
1990-07-19,2.3842
1990-07-20,2.3934
1990-07-23,2.375
1990-07-24,2.3842
1990-07-25,2.4117
1990-07-26,2.4301
1990-07-27,2.3934
1990-07-30,2.4392
1990-07-31,2.4759
1990-08-01,2.5309
1990-08-02,2.4851
1990-08-03,2.4301
1990-08-06,2.3659
1990-08-07,2.4392
1990-08-08,2.4851
1990-08-09,2.4851
1990-08-10,2.4656
1990-08-13,2.4749
1990-08-14,2.4843
1990-08-15,2.5031
1990-08-16,2.4749
1990-08-17,2.4562
1990-08-20,2.4749
1990-08-21,2.4374
1990-08-22,2.4374
1990-08-23,2.3906
1990-08-24,2.3625
1990-08-27,2.3531
1990-08-28,2.3437
1990-08-29,2.3531
1990-08-30,2.3343
1990-08-31,2.3812
1990-09-04,2.3812
1990-09-05,2.3812
1990-09-06,2.3625
1990-09-07,2.3812
1990-09-10,2.3906
1990-09-11,2.3812
1990-09-12,2.4093
1990-09-13,2.3812
1990-09-14,2.3718
