Date,Settle
1990-02-08,1.1382
1990-02-09,1.1299
1990-02-12,1.1217
1990-02-13,1.1134
1990-02-14,1.1052
1990-02-15,1.0805
1990-02-16,1.0805
1990-02-20,1.0557
1990-02-21,1.0557
1990-02-22,1.0722
1990-02-23,1.0227
1990-02-26,1.0145
1990-02-27,1.0227
1990-02-28,1.064
1990-03-01,1.0805
1990-03-02,1.0887
1990-03-05,1.0805
1990-03-06,1.097
1990-03-07,1.0887
1990-03-08,1.0887
1990-03-09,1.064
1990-03-12,1.031
1990-03-13,1.0557
1990-03-14,1.0475
1990-03-15,1.0475
1990-03-16,1.0722
1990-03-19,1.0722
1990-03-20,1.0475
1990-03-21,1.0227
1990-03-22,1.0227
1990-03-26,1.0392
1990-03-27,1.0475
1990-03-28,1.0475
1990-03-29,1.0392
1990-04-02,1.0145
1990-04-03,1.031
1990-04-04,1.0475
1990-04-05,1.031
1990-04-06,1.0392
1990-04-09,1.0557
1990-04-10,1.0557
1990-04-11,1.0392
1990-04-12,1.0227
1990-04-16,1.0145
1990-04-18,0.9897
1990-04-19,0.9815
1990-04-20,0.9732
1990-04-23,0.9485
1990-04-24,0.9237
1990-04-25,0.9402
1990-04-26,0.9567
1990-04-27,0.9402
1990-04-30,0.9402
1990-05-01,0.9402
1990-05-02,0.9402
1990-05-03,0.9485
1990-05-04,0.9402
1990-05-07,0.9567
1990-05-08,0.9485
1990-05-09,0.9567
1990-05-10,0.9567
1990-05-11,0.965
1990-05-14,0.9897
1990-05-15,0.9815
1990-05-16,1.0145
1990-05-17,1.0392
1990-05-21,1.0557
1990-05-22,1.0557
1990-05-23,1.0557
1990-05-24,1.0557
1990-05-25,1.0418
1990-05-29,1.0501
1990-05-30,1.0583
1990-05-31,1.0583
1990-06-01,1.0583
1990-06-04,1.0749
1990-06-05,1.0831
1990-06-06,1.0831
1990-06-07,1.0749
1990-06-08,1.0831
1990-06-11,1.0914
1990-06-12,1.1079
1990-06-13,1.0997
1990-06-14,1.0997
1990-06-15,1.0997
1990-06-18,1.1079
1990-06-19,1.1079
1990-06-20,1.0914
1990-06-21,1.0997
1990-06-22,1.1079
1990-06-25,1.1079
1990-06-26,1.0831
