Date,Settle
1990-01-02,3.2042
1990-01-03,3.1417
1990-01-04,3.0791
1990-01-05,3.0479
1990-01-08,3.1104
1990-01-09,3.0479
1990-01-10,3.001
1990-01-11,3.0322
1990-01-12,2.9385
1990-01-15,2.9854
1990-01-16,2.9854
1990-01-17,2.9541
1990-01-18,2.9541
1990-01-19,3.001
1990-01-22,2.9385
1990-01-23,2.8916
1990-01-24,2.9072
1990-01-25,2.9704
1990-01-26,2.923
1990-01-29,3.002
1990-01-30,3.0652
1990-01-31,3.1442
1990-02-01,3.239
1990-02-02,3.239
1990-02-05,3.239
1990-02-06,3.2706
1990-02-07,3.3022
1990-02-08,3.3496
1990-02-09,3.3654
1990-02-12,3.3654
1990-02-13,3.3812
1990-02-14,3.3338
1990-02-15,3.3654
1990-02-16,3.3496
1990-02-20,3.3022
1990-02-21,3.2706
1990-02-22,3.2864
1990-02-23,3.2232
1990-02-26,3.239
1990-02-27,3.2232
1990-02-28,3.2232
1990-03-01,3.2232
1990-03-02,3.2864
1990-03-05,3.2706
1990-03-06,3.318
1990-03-07,3.3338
1990-03-08,3.3338
1990-03-09,3.239
1990-03-12,3.2548
1990-03-13,3.2232
1990-03-14,3.2548
1990-03-15,3.2548
1990-03-16,3.239
1990-03-19,3.1916
1990-03-20,3.2074
1990-03-21,3.2232
1990-03-22,3.1284
1990-03-23,3.1916
1990-03-26,3.2074
1990-03-27,3.2548
1990-03-28,3.2548
1990-03-29,3.2548
1990-03-30,3.2864
1990-04-02,3.3338
1990-04-03,3.3654
1990-04-04,3.2706
1990-04-05,3.2706
1990-04-06,3.2548
1990-04-09,3.2706
1990-04-10,3.2706
1990-04-11,3.2074
1990-04-12,3.2548
1990-04-16,3.2074
1990-04-17,3.2074
1990-04-18,3.1916
1990-04-19,3.1284
1990-04-20,3.1126
1990-04-23,3.081
1990-04-24,3.1126
1990-04-25,3.1284
1990-04-26,3.16
1990-04-27,3.1442
1990-04-30,3.1761
1990-05-01,3.224
1990-05-02,3.24
1990-05-03,3.24
1990-05-04,3.2719
1990-05-07,3.3038
1990-05-08,3.3357
1990-05-09,3.3357
1990-05-10,3.3996
1990-05-11,3.4634
1990-05-14,3.4794
1990-05-15,3.5273
1990-05-16,3.4794
1990-05-17,3.4634
1990-05-18,3.4634
1990-05-21,3.4475
1990-05-22,3.4634
1990-05-23,3.4315
1990-05-24,3.3836
1990-05-25,3.3677
1990-05-29,3.4475
1990-05-30,3.3677
1990-05-31,3.4315
1990-06-01,3.3836
1990-06-04,3.4155
1990-06-05,3.4155
1990-06-06,3.3517
1990-06-07,3.4155
1990-06-08,3.3357
1990-06-11,3.3996
1990-06-12,3.3836
1990-06-13,3.3836
1990-06-14,3.3677
1990-06-15,3.3038
1990-06-18,3.2719
1990-06-19,3.2559
1990-06-20,3.3038
1990-06-21,3.24
1990-06-22,3.1921
1990-06-25,3.1761
1990-06-26,3.2559
1990-06-27,3.3517
1990-06-28,3.3357
1990-06-29,3.2878
1990-07-02,3.3198
1990-07-03,3.3677
1990-07-05,3.3198
1990-07-06,3.3357
1990-07-09,3.2878
1990-07-10,3.3198
1990-07-11,3.4634
1990-07-12,3.5592
1990-07-13,3.5911
1990-07-16,3.639
1990-07-17,3.607
1990-07-18,3.5113
1990-07-19,3.6709
1990-07-20,3.623
1990-07-23,3.5911
1990-07-24,3.6709
1990-07-25,3.639
1990-07-26,3.5751
1990-07-27,3.5592
1990-07-30,3.6397
1990-07-31,3.7202
1990-08-01,3.7041
1990-08-02,3.8168
1990-08-03,3.7524
1990-08-06,3.994
1990-08-07,3.9296
1990-08-08,3.7524
1990-08-09,3.688
1990-08-10,3.8008
1990-08-13,3.7202
1990-08-14,3.7202
1990-08-15,3.6719
1990-08-16,3.7524
1990-08-17,3.7846
1990-08-20,3.8168
1990-08-21,3.6719
1990-08-22,3.7041
1990-08-23,3.5431
1990-08-24,3.5431
1990-08-27,3.527
1990-08-28,3.5914
1990-08-29,3.5753
1990-08-30,3.5753
1990-08-31,3.6558
1990-09-04,3.6236
1990-09-05,3.7041
1990-09-06,3.7363
1990-09-07,3.7202
1990-09-10,3.6558
1990-09-11,3.5753
1990-09-12,3.6397
1990-09-13,3.6719
1990-09-14,3.7041
1990-09-17,3.7685
1990-09-18,3.7846
1990-09-19,3.7685
1990-09-20,3.7202
1990-09-21,3.7202
1990-09-24,3.7202
1990-09-25,3.6075
1990-09-26,3.5109
1990-09-27,3.3498
1990-09-28,3.3176
1990-10-01,3.3337
1990-10-02,3.382
1990-10-03,3.4464
1990-10-04,3.4947
1990-10-05,3.4142
1990-10-08,3.4142
1990-10-09,3.4464
1990-10-10,3.3659
1990-10-11,3.2371
1990-10-12,3.1888
1990-10-15,3.2532
1990-10-16,3.2371
1990-10-17,3.2854
1990-10-18,3.2049
1990-10-19,3.3498
1990-10-22,3.2854
1990-10-23,3.3176
1990-10-24,3.3337
1990-10-25,3.3498
1990-10-26,3.3337
1990-10-29,3.3376
1990-10-30,3.3051
1990-10-31,3.3051
1990-11-01,3.3539
1990-11-02,3.4516
1990-11-05,3.4678
1990-11-06,3.3864
1990-11-07,3.3213
1990-11-08,3.3864
1990-11-09,3.4516
1990-11-12,3.4027
1990-11-13,3.3702
1990-11-14,3.3864
1990-11-15,3.3539
1990-11-16,3.4027
1990-11-19,3.419
1990-11-20,3.419
1990-11-21,3.4516
1990-11-23,3.4027
1990-11-26,3.4516
1990-11-27,3.4516
1990-11-28,3.4353
1990-11-29,3.419
1990-11-30,3.5655
1990-12-03,3.4678
1990-12-04,3.4516
1990-12-05,3.4678
1990-12-06,3.3864
1990-12-07,3.3376
1990-12-10,3.3051
1990-12-11,3.2725
1990-12-12,3.2237
1990-12-13,3.3539
1990-12-14,3.2888
1990-12-17,3.3051
1990-12-18,3.4027
1990-12-19,3.4027
1990-12-20,3.4027
1990-12-21,3.4353
1990-12-24,3.419
1990-12-26,3.5004
1990-12-27,3.4516
1990-12-28,3.4027
1990-12-31,3.4027
1991-01-02,3.3376
1991-01-03,3.2562
1991-01-04,3.2399
1991-01-07,3.2399
1991-01-08,3.3051
1991-01-09,3.2562
1991-01-10,3.2562
1991-01-11,3.1911
1991-01-14,3.2888
1991-01-15,3.2888
1991-01-16,3.2399
1991-01-17,3.2237
1991-01-18,3.2399
1991-01-21,3.1911
1991-01-22,3.2725
1991-01-23,3.3864
1991-01-24,3.3864
1991-01-25,3.419
1991-01-28,3.3539
1991-01-29,3.3539
1991-01-30,3.3213
1991-01-31,3.3213
1991-02-01,3.3864
1991-02-04,3.3739
1991-02-05,3.4069
1991-02-06,3.5879
1991-02-07,3.5385
1991-02-08,3.6044
1991-02-11,3.6702
1991-02-12,3.736
1991-02-13,3.7525
1991-02-14,3.7196
1991-02-15,3.6537
1991-02-19,3.5879
1991-02-20,3.6044
1991-02-21,3.5221
1991-02-22,3.4233
1991-02-25,3.3739
1991-02-26,3.4892
1991-02-27,3.6044
1991-02-28,3.6044
1991-03-01,3.6866
1991-03-04,3.6373
1991-03-05,3.7525
1991-03-06,3.8018
1991-03-07,3.736
1991-03-08,3.7196
1991-03-11,3.6044
1991-03-12,3.6208
1991-03-13,3.6702
1991-03-14,3.6866
1991-03-15,3.7031
1991-03-18,3.6702
1991-03-19,3.7525
1991-03-20,3.8018
1991-03-21,3.736
1991-03-22,3.7854
1991-03-25,3.8183
1991-03-26,3.7854
1991-03-27,3.7196
1991-03-28,3.7031
1991-04-01,3.6537
1991-04-02,3.736
1991-04-03,3.6044
1991-04-04,3.5714
1991-04-05,3.555
1991-04-08,3.6208
1991-04-09,3.5714
1991-04-10,3.5714
1991-04-11,3.7196
1991-04-12,3.7031
1991-04-15,3.6866
1991-04-16,3.736
1991-04-17,3.8018
1991-04-18,3.8183
1991-04-19,3.8183
1991-04-22,3.7854
1991-04-23,3.769
1991-04-24,3.736
1991-04-25,3.7031
1991-04-26,3.7196
1991-04-29,3.7069
1991-04-30,3.6404
1991-05-01,3.6571
1991-05-02,3.6238
1991-05-03,3.6404
1991-05-06,3.6238
1991-05-07,3.6404
1991-05-08,3.6238
1991-05-09,3.6737
1991-05-10,3.5573
1991-05-13,3.5573
1991-05-14,3.4576
1991-05-15,3.3246
1991-05-16,3.4243
1991-05-17,3.3745
1991-05-20,3.3911
1991-05-21,3.3745
1991-05-22,3.3412
1991-05-23,3.3412
1991-05-24,3.4077
1991-05-28,3.3911
1991-05-29,3.3745
1991-05-30,3.4908
1991-05-31,3.6571
1991-06-03,3.6238
1991-06-04,3.5407
1991-06-05,3.5739
1991-06-06,3.6571
1991-06-07,3.5739
1991-06-10,3.4908
1991-06-11,3.5241
1991-06-12,3.4908
1991-06-13,3.5075
1991-06-14,3.4908
1991-06-17,3.441
1991-06-18,3.4742
1991-06-19,3.3745
1991-06-20,3.308
1991-06-21,3.3412
1991-06-24,3.3911
1991-06-25,3.3578
1991-06-26,3.3578
1991-06-27,3.4077
1991-06-28,3.3911
1991-07-01,3.4576
1991-07-02,3.441
1991-07-03,3.3911
1991-07-05,3.4077
1991-07-08,3.4243
1991-07-09,3.3246
1991-07-10,3.2914
1991-07-11,3.2249
1991-07-12,3.2914
1991-07-15,3.308
1991-07-16,3.4243
1991-07-17,3.5407
1991-07-18,3.5407
1991-07-19,3.5573
1991-07-22,3.5739
1991-07-23,3.4742
1991-07-24,3.4908
1991-07-25,3.5075
1991-07-26,3.5241
1991-07-29,3.5407
1991-07-30,3.5906
1991-07-31,3.5739
1991-08-01,3.5573
1991-08-02,3.5573
1991-08-05,3.5446
1991-08-06,3.5446
1991-08-07,3.511
1991-08-08,3.427
1991-08-09,3.4102
1991-08-12,3.4102
1991-08-13,3.4102
