Date,Settle
1990-01-02,4.1021
1990-01-03,4.1453
1990-01-04,4.0302
1990-01-05,3.9438
1990-01-08,3.987
1990-01-09,4.0014
1990-01-10,4.0302
1990-01-11,3.9438
1990-01-12,3.7855
1990-01-15,3.7855
1990-01-16,3.915
1990-01-17,3.8862
1990-01-18,3.843
1990-01-19,3.7855
1990-01-22,3.6415
1990-01-23,3.7135
1990-01-24,3.7279
1990-01-25,3.7999
1990-01-26,3.7423
1990-01-29,3.6127
1990-01-30,3.512
1990-01-31,3.5552
1990-02-01,3.6415
1990-02-02,3.7423
1990-02-05,3.6991
1990-02-06,3.7423
1990-02-07,3.9006
1990-02-08,3.987
1990-02-09,3.9006
1990-02-12,3.9006
1990-02-13,3.8143
1990-02-14,3.7711
1990-02-15,3.7999
1990-02-16,3.8862
1990-02-20,3.8143
1990-02-21,3.7423
1990-02-22,3.6847
1990-02-23,3.6127
1990-02-26,3.584
1990-02-27,3.5408
1990-02-28,3.5984
1990-03-01,3.5696
1990-03-02,3.5696
1990-03-05,3.6415
1990-03-06,3.7279
1990-03-07,3.8574
1990-03-08,3.9006
1990-03-09,3.8574
1990-03-12,3.9006
1990-03-13,3.8286
1990-03-14,3.7423
1990-03-15,3.7711
1990-03-16,3.9294
1990-03-19,4.0445
1990-03-20,4.2029
1990-03-21,4.1597
1990-03-22,4.1165
1990-03-23,4.1453
1990-03-26,4.1885
1990-03-27,4.2605
1990-03-28,4.2892
1990-03-29,4.3036
1990-03-30,4.3036
1990-04-02,4.2173
1990-04-03,4.2748
1990-04-04,4.2317
1990-04-05,4.2173
1990-04-06,4.3036
1990-04-09,4.3036
1990-04-10,4.2748
1990-04-11,4.2461
1990-04-12,4.2892
1990-04-16,4.3756
1990-04-17,4.4332
1990-04-18,4.4044
1990-04-19,4.3612
1990-04-20,4.2461
1990-04-23,4.1885
1990-04-24,4.2173
1990-04-25,4.2029
1990-04-26,4.1741
1990-04-27,4.1021
1990-04-30,4.1885
1990-05-01,4.1741
1990-05-02,4.1885
1990-05-03,4.39
1990-05-04,4.5483
1990-05-07,4.4907
1990-05-08,4.4907
1990-05-09,4.4907
1990-05-10,4.4764
1990-05-11,4.4764
1990-05-14,4.4476
1990-05-15,4.4332
1990-05-16,4.5195
1990-05-17,4.6923
1990-05-18,4.793
1990-05-21,4.7642
1990-05-22,4.9945
1990-05-23,4.9657
1990-05-24,4.8218
1990-05-25,4.6059
1990-05-29,4.5627
1990-05-30,4.721
1990-05-31,4.7066
1990-06-01,4.6923
1990-06-04,4.6635
1990-06-05,4.7354
1990-06-06,4.6059
1990-06-07,4.6203
1990-06-08,4.5339
1990-06-11,4.462
1990-06-12,4.6347
1990-06-13,4.793
1990-06-14,4.7786
1990-06-15,4.6635
1990-06-18,4.4476
1990-06-19,4.5195
1990-06-20,4.5915
1990-06-21,4.7786
1990-06-22,4.9513
1990-06-25,5.0377
1990-06-26,4.9225
1990-06-27,4.8938
1990-06-28,4.8794
1990-06-29,4.9082
1990-07-02,5.0089
1990-07-03,4.9513
1990-07-05,4.9801
1990-07-06,5.0665
1990-07-09,5.2104
1990-07-10,5.2104
1990-07-11,5.3112
1990-07-12,5.4695
1990-07-13,5.4695
1990-07-16,5.5271
1990-07-17,5.2968
1990-07-18,5.2968
1990-07-19,5.1384
1990-07-20,5.1241
1990-07-23,4.8938
1990-07-24,4.9801
1990-07-25,5.0233
1990-07-26,5.0665
1990-07-27,4.9801
1990-07-30,4.865
1990-07-31,4.9801
1990-08-01,5.0377
1990-08-02,4.8938
1990-08-03,4.5771
1990-08-06,4.2461
1990-08-07,4.3756
1990-08-08,4.462
1990-08-09,4.6923
1990-08-10,4.5483
1990-08-13,4.4907
1990-08-14,4.4907
1990-08-15,4.5051
1990-08-16,4.4044
1990-08-17,4.3324
1990-08-20,4.1885
1990-08-21,3.8862
1990-08-22,3.7423
1990-08-23,3.5408
1990-08-24,3.843
1990-08-27,4.0589
1990-08-28,4.1165
1990-08-29,4.2029
1990-08-30,3.9726
1990-08-31,4.0877
1990-09-04,4.1021
1990-09-05,4.0445
1990-09-06,3.9726
1990-09-07,4.0877
1990-09-10,4.0158
1990-09-11,3.915
1990-09-12,4.0302
1990-09-13,4.0158
1990-09-14,4.0877
1990-09-17,4.2173
1990-09-18,4.0877
1990-09-19,4.1453
1990-09-20,3.9726
1990-09-21,3.9726
1990-09-24,3.8574
1990-09-25,3.7423
1990-09-26,3.7135
1990-09-27,3.512
1990-09-28,3.7711
1990-10-01,4.1165
1990-10-02,4.1165
1990-10-03,3.9726
1990-10-04,4.1165
1990-10-05,4.1165
1990-10-08,4.0877
1990-10-09,3.8286
1990-10-10,3.584
1990-10-11,3.5552
1990-10-12,3.7135
1990-10-15,3.8574
1990-10-16,3.8286
1990-10-17,4.0589
1990-10-18,4.1165
1990-10-19,4.1165
1990-10-22,4.1741
1990-10-23,4.2173
1990-10-24,4.2605
1990-10-25,4.4044
1990-10-26,4.1453
1990-10-29,4.0733
1990-10-30,4.0445
1990-10-31,4.1741
1990-11-01,4.1885
1990-11-02,4.2892
1990-11-05,4.3756
1990-11-06,4.4764
1990-11-07,4.4332
1990-11-08,4.3756
1990-11-09,4.5051
1990-11-12,4.865
1990-11-13,4.9369
1990-11-14,5.0377
1990-11-15,4.9513
1990-11-16,4.7786
1990-11-19,4.8362
1990-11-20,4.8938
1990-11-21,4.9513
1990-11-23,4.9801
1990-11-26,5.0089
1990-11-27,5.1528
1990-11-28,5.0809
1990-11-29,5.2248
1990-11-30,5.4695
1990-12-03,5.5415
1990-12-04,5.4695
1990-12-05,5.4119
1990-12-06,5.3831
1990-12-07,5.1528
1990-12-10,5.2104
1990-12-11,5.2536
1990-12-12,5.3975
1990-12-13,5.3831
1990-12-14,5.2104
1990-12-17,5.1528
1990-12-18,5.4119
1990-12-19,5.5271
1990-12-20,5.5271
1990-12-21,5.4119
1990-12-24,5.4119
1990-12-26,5.4119
1990-12-27,5.4695
1990-12-28,5.3543
1990-12-31,5.5559
1991-01-02,5.6134
1991-01-03,5.6134
1991-01-04,5.5559
1991-01-07,5.268
1991-01-08,5.3831
1991-01-09,5.4695
1991-01-10,5.6422
1991-01-11,5.5846
1991-01-14,5.5271
1991-01-15,5.4983
1991-01-16,5.7718
1991-01-17,6.1316
1991-01-18,6.1604
1991-01-21,6.0452
1991-01-22,6.0164
1991-01-23,6.2467
1991-01-24,6.3619
1991-01-25,6.4626
1991-01-28,6.218
1991-01-29,6.1604
1991-01-30,6.3619
1991-01-31,6.5346
1991-02-01,6.621
1991-02-04,6.6785
1991-02-05,6.8513
1991-02-06,6.8801
1991-02-07,6.5058
1991-02-08,6.477
1991-02-11,6.7361
1991-02-12,6.7073
1991-02-13,6.8081
1991-02-14,6.7073
1991-02-15,6.8513
1991-02-19,7.1103
1991-02-20,6.9952
1991-02-21,7.1103
1991-02-22,7.1967
1991-02-25,7.2543
1991-02-26,6.9664
1991-02-27,6.8513
1991-02-28,6.8513
1991-03-01,7.2543
1991-03-04,7.427
1991-03-05,7.7437
1991-03-06,7.8588
1991-03-07,7.8588
1991-03-08,7.902
1991-03-11,7.8012
1991-03-12,7.5134
1991-03-13,7.5421
1991-03-14,7.6861
1991-03-15,7.6573
1991-03-18,7.6285
1991-03-19,7.5421
1991-03-20,7.7724
1991-03-21,7.83
1991-03-22,7.9164
1991-03-25,8.1467
1991-03-26,8.0891
1991-03-27,8.0891
1991-03-28,8.3914
1991-04-01,8.4633
1991-04-02,8.9527
1991-04-03,9.0391
1991-04-04,9.0679
1991-04-05,8.9239
1991-04-08,8.636
1991-04-09,8.6073
1991-04-10,8.7512
1991-04-11,8.78
1991-04-12,8.78
1991-04-15,8.8663
1991-04-16,9.0966
1991-04-17,9.2694
1991-04-18,8.9527
1991-04-19,8.6648
1991-04-22,8.5497
1991-04-23,8.7512
1991-04-24,9.2118
1991-04-25,8.8376
1991-04-26,8.8663
1991-04-29,8.78
1991-04-30,8.6073
1991-05-01,8.8088
1991-05-02,8.6936
1991-05-03,8.9815
1991-05-06,8.8088
1991-05-07,8.7512
1991-05-08,8.8088
1991-05-09,8.9239
1991-05-10,8.78
1991-05-13,8.6648
1991-05-14,8.4921
1991-05-15,8.2042
1991-05-16,8.5209
1991-05-17,8.3482
1991-05-20,8.377
1991-05-21,8.3482
1991-05-22,8.9239
1991-05-23,9.0966
1991-05-24,9.9027
1991-05-28,10.3633
1991-05-29,10.0754
1991-05-30,10.1905
1991-05-31,10.2481
1991-06-03,10.3057
1991-06-04,10.3057
1991-06-05,9.8451
1991-06-06,9.8451
1991-06-07,9.3269
1991-06-10,9.2406
1991-06-11,9.2694
1991-06-12,9.0391
1991-06-13,8.9815
1991-06-14,9.4997
1991-06-17,9.6724
1991-06-18,9.6148
1991-06-19,9.4421
1991-06-20,9.6724
1991-06-21,9.3269
1991-06-24,8.8663
1991-06-25,8.7512
1991-06-26,9.0966
1991-06-27,9.4421
1991-06-28,9.4421
1991-07-01,9.9027
1991-07-02,9.5572
1991-07-03,9.4997
1991-07-05,9.6724
1991-07-08,9.9027
1991-07-09,9.8451
1991-07-10,10.0178
1991-07-11,9.7299
1991-07-12,10.0178
1991-07-15,10.133
1991-07-16,9.9602
1991-07-17,9.9027
1991-07-18,10.0178
1991-07-19,9.9602
1991-07-22,9.6148
1991-07-23,9.2694
1991-07-24,9.2694
1991-07-25,9.8451
1991-07-26,10.0178
1991-07-29,10.0178
1991-07-30,10.3633
1991-07-31,10.1905
1991-08-01,10.1042
1991-08-02,10.7087
1991-08-05,10.4784
1991-08-06,10.7087
1991-08-07,10.3633
1991-08-08,10.8238
1991-08-09,11.0541
1991-08-12,10.7951
1991-08-13,11.1117
1991-08-14,11.3132
1991-08-15,10.9966
1991-08-16,10.8814
1991-08-19,10.536
1991-08-20,10.7087
1991-08-21,11.2844
1991-08-22,11.1117
1991-08-23,11.1405
1991-08-26,10.8814
1991-08-27,10.9102
1991-08-28,11.2844
1991-08-29,11.0541
1991-08-30,11.1693
1991-09-03,10.8238
1991-09-04,10.536
1991-09-05,10.6511
1991-09-06,10.3633
1991-09-09,10.4208
1991-09-10,9.8451
1991-09-11,10.0178
1991-09-12,10.4784
1991-09-13,10.4208
1991-09-16,10.4784
1991-09-17,10.1905
1991-09-18,10.1905
1991-09-19,10.0754
1991-09-20,10.4208
1991-09-23,10.4784
1991-09-24,10.536
1991-09-25,10.8238
1991-09-26,10.5936
1991-09-27,10.6511
1991-09-30,10.9966
1991-10-01,10.7663
1991-10-02,10.5936
1991-10-03,10.4208
1991-10-04,10.2481
1991-10-07,10.1905
1991-10-08,10.4208
1991-10-09,9.9027
1991-10-10,9.6724
1991-10-11,9.8451
1991-10-14,9.9602
1991-10-15,10.3633
