Date,Settle
1990-01-02,5.1682
1990-01-03,5.0987
1990-01-04,5.0048
1990-01-05,4.852
1990-01-08,4.7698
1990-01-09,4.758
1990-01-10,4.7111
1990-01-11,4.6876
1990-01-12,4.6288
1990-01-15,4.7228
1990-01-16,4.6758
1990-01-17,4.6171
1990-01-18,4.6171
1990-01-19,4.6171
1990-01-22,4.4173
1990-01-23,4.5583
1990-01-24,4.7463
1990-01-25,4.4878
1990-01-26,4.4878
1990-01-29,4.4056
1990-01-30,4.3586
1990-01-31,4.4761
1990-02-01,4.4173
1990-02-02,4.5348
1990-02-05,4.5701
1990-02-06,4.4878
1990-02-07,4.6053
1990-02-08,4.5466
1990-02-09,4.4526
1990-02-12,4.4173
1990-02-13,4.4643
1990-02-14,4.4408
1990-02-15,4.4526
1990-02-16,4.4056
1990-02-20,4.3469
1990-02-21,4.2999
1990-02-22,4.3351
1990-02-23,4.3821
1990-02-26,4.3821
1990-02-27,4.4643
1990-02-28,4.4526
1990-03-01,4.5348
1990-03-02,4.5701
1990-03-05,4.5583
1990-03-06,4.6288
1990-03-07,4.5818
1990-03-08,4.5701
1990-03-09,4.5936
1990-03-12,4.6288
1990-03-13,4.5818
1990-03-14,4.5818
1990-03-15,4.5583
1990-03-16,4.6406
1990-03-19,4.7345
1990-03-20,4.7933
1990-03-21,4.805
1990-03-22,4.6993
1990-03-23,4.7815
1990-03-26,4.7228
1990-03-27,4.7815
1990-03-28,4.8285
1990-03-29,4.8168
1990-03-30,4.8285
1990-04-02,4.899
1990-04-03,5.0063
1990-04-04,4.9237
1990-04-05,4.9355
1990-04-06,5.0418
1990-04-09,5.1008
1990-04-10,5.0181
1990-04-11,4.9709
1990-04-12,5.0654
1990-04-16,4.9827
1990-04-17,4.9945
1990-04-18,4.841
1990-04-19,4.8056
1990-04-20,4.7348
1990-04-23,4.8056
1990-04-24,4.8528
1990-04-25,4.8883
1990-04-26,4.8528
1990-04-27,4.7466
1990-04-30,4.7938
1990-05-01,4.7938
1990-05-02,4.7938
1990-05-03,4.782
1990-05-04,4.8056
1990-05-07,4.7938
1990-05-08,4.7938
1990-05-09,4.9001
1990-05-10,4.841
1990-05-11,4.8883
1990-05-14,4.9237
1990-05-15,4.9355
1990-05-16,4.9119
1990-05-17,4.9473
1990-05-18,5.0536
1990-05-21,5.0772
1990-05-22,5.0063
1990-05-23,4.9945
1990-05-24,5.0654
1990-05-25,5.0418
1990-05-29,5.03
1990-05-30,5.0181
1990-05-31,5.089
1990-06-01,5.3133
1990-06-04,5.3488
1990-06-05,5.6676
1990-06-06,5.3724
1990-06-07,5.5259
1990-06-08,5.5967
1990-06-11,5.7856
1990-06-12,5.6912
1990-06-13,5.5377
1990-06-14,5.5967
1990-06-15,5.7266
1990-06-18,5.6676
1990-06-19,5.7384
1990-06-20,5.762
1990-06-21,5.6321
1990-06-22,5.4078
1990-06-25,5.3133
1990-06-26,5.3251
1990-06-27,5.4786
1990-06-28,5.3369
1990-06-29,5.4078
1990-07-02,5.5022
1990-07-03,5.4559
1990-07-05,5.3966
1990-07-06,5.4203
1990-07-09,5.444
1990-07-10,5.3966
1990-07-11,5.4084
1990-07-12,5.4677
1990-07-13,5.3135
1990-07-16,5.3017
1990-07-17,5.3135
1990-07-18,5.2898
1990-07-19,5.1949
1990-07-20,5.0289
1990-07-23,4.9103
1990-07-24,4.9933
1990-07-25,5.1475
1990-07-26,5.1119
1990-07-27,5.0645
1990-07-30,5.1119
1990-07-31,5.0645
1990-08-01,4.9696
1990-08-02,4.934
1990-08-03,4.8865
1990-08-06,4.8272
1990-08-07,4.9103
1990-08-08,4.9696
1990-08-09,4.9933
1990-08-10,4.934
1990-08-13,4.9696
