Date,Settle
2006-12-04,16.8956
2006-12-13,65.6328
2006-12-14,65.6328
2006-12-18,65.6328
2006-12-21,72.1311
2006-12-22,71.4813
2006-12-26,81.2287
2006-12-27,129.966
2006-12-29,87.727
2007-01-03,87.727
2007-01-04,129.966
2007-01-05,81.2287
2007-01-08,97.4745
2007-01-09,65.6328
2007-01-10,64.983
2007-01-11,65.6328
2007-01-12,65.6328
2007-01-16,65.6328
2007-01-17,45.4881
2007-01-19,58.4847
2007-01-22,51.9864
2007-01-24,51.9864
2007-01-25,51.9864
2007-01-26,51.9864
2007-01-30,58.4847
2007-02-02,65.6328
2007-02-06,65.6328
2007-02-08,65.6328
2007-02-12,63.0335
2007-02-14,55.2355
2007-02-15,65.6328
2007-02-16,57.185
2007-02-20,57.185
2007-02-21,55.2355
2007-02-28,55.2355
2007-03-02,48.7372
2007-03-09,48.7372
2007-03-12,55.2355
2007-03-13,55.2355
2007-03-20,48.7372
2007-03-21,48.7372
2007-03-23,48.7372
2007-03-27,42.2389
2007-03-28,36.3905
2007-03-30,35.7406
2007-04-02,33.1413
2007-04-03,29.2423
2007-04-05,29.2423
2007-04-11,20.1447
2007-04-13,20.1447
2007-04-20,12.9966
2007-04-23,14.2963
2007-04-26,12.9966
2007-04-27,10.3973
2007-04-30,8.4478
2007-05-03,9.0976
2007-05-07,9.0976
2007-05-17,5.8485
2007-05-21,5.8485
2007-05-25,5.8485
2007-06-01,6.4983
2007-06-06,4.5488
2007-06-08,4.5488
2007-06-11,4.5488
2007-06-18,5.8485
2007-06-22,5.1986
2007-06-25,5.8485
2007-06-27,6.4983
2007-06-29,9.7474
2007-07-06,6.4983
2007-07-12,6.8232
2007-07-13,8.4478
2007-07-16,9.7474
2007-07-17,11.6969
2007-07-24,11.6969
2007-07-25,16.2457
2007-07-27,12.3468
2007-08-02,13.6464
2007-08-06,13.6464
2007-08-08,12.3468
2007-08-10,12.9966
2007-08-14,12.9966
2007-08-16,13.6464
2007-08-20,13.6464
2007-08-21,12.9966
2007-08-24,12.9966
2007-08-27,12.9966
2007-08-28,12.3468
2007-08-30,12.3468
2007-08-31,12.9966
2007-09-10,12.9966
2007-09-11,12.9966
2007-09-18,12.9966
2007-09-20,12.9966
2007-09-26,12.3468
2007-10-02,12.3468
2007-10-03,12.3468
2007-10-19,12.3468
2007-10-23,12.3468
2007-11-05,12.3468
2007-11-16,12.3468
2007-11-20,7.798
2007-12-03,9.7474
2007-12-06,12.9966
2008-01-07,15.5959
2008-01-08,19.4949
2008-01-22,7.798
2008-01-30,6.4983
2008-02-04,8.4478
2008-02-05,8.4478
2008-02-08,8.4478
2008-02-11,8.4478
2008-02-19,8.4478
2008-02-21,10.3973
2008-03-10,6.4983
2008-03-17,6.4983
2008-03-19,6.4983
2008-03-31,7.1481
2008-04-01,6.4983
2008-04-03,7.798
2008-04-18,6.4983
2008-05-02,9.0976
2008-05-06,9.0976
2008-05-07,10.3973
2008-05-09,9.7474
2008-05-28,9.7474
2008-06-10,4.5488
2008-06-11,6.4983
2008-06-12,6.4983
2008-06-13,3.899
2008-06-17,6.4983
2008-06-19,6.4983
2008-06-20,4.5488
2008-06-23,4.5488
2008-06-24,4.5488
2008-06-30,3.2491
2008-07-03,5.1986
2008-07-07,3.2491
2008-07-11,4.5488
2008-07-14,4.5488
2008-07-18,3.899
2008-08-06,3.2491
2008-08-07,4.5488
2008-08-08,3.899
2008-08-12,4.5488
2008-08-27,4.5488
2008-09-04,5.1986
2008-09-12,5.1986
2008-09-17,6.4983
2008-09-18,4.5488
2008-10-09,4.5488
2008-10-17,4.5488
2008-11-03,4.5488
2008-11-05,3.899
2008-11-07,3.2491
2008-12-17,4.5488
2008-12-18,4.5488
2008-12-19,6.4983
2008-12-22,6.4983
2009-01-05,3.899
2009-01-12,9.7474
2009-01-14,5.1986
2009-01-15,5.8485
2009-01-16,9.7474
2009-01-20,9.7474
2009-01-21,9.0976
2009-01-23,8.4478
2009-01-29,7.1481
2009-01-30,7.1481
