Date,Settle
1990-02-16,0.0532
1990-02-20,0.055
1990-02-21,0.0538
1990-02-22,0.0544
1990-02-23,0.0541
1990-02-26,0.0526
1990-02-27,0.0538
1990-02-28,0.0556
1990-03-01,0.055
1990-03-02,0.0556
1990-03-05,0.055
1990-03-06,0.055
1990-03-07,0.0538
1990-03-08,0.0532
1990-03-09,0.0532
1990-03-12,0.0544
1990-03-13,0.0562
1990-03-14,0.0622
1990-03-15,0.0592
1990-03-16,0.0604
1990-03-19,0.0622
1990-03-20,0.0568
1990-03-21,0.0574
1990-03-22,0.0538
1990-03-23,0.0556
1990-03-26,0.058
1990-03-27,0.0592
1990-03-28,0.0586
1990-03-29,0.0586
1990-03-30,0.0562
1990-04-02,0.055
1990-04-03,0.0556
1990-04-04,0.0556
1990-04-05,0.0553
1990-04-06,0.0544
1990-04-09,0.0538
1990-04-10,0.0526
1990-04-11,0.0526
1990-04-12,0.0532
1990-04-16,0.0532
1990-04-17,0.0538
1990-04-18,0.0544
1990-04-19,0.055
1990-04-20,0.0532
1990-04-23,0.0538
1990-04-24,0.0547
1990-04-25,0.055
1990-04-26,0.055
1990-04-27,0.0544
1990-04-30,0.0568
1990-05-01,0.0577
1990-05-02,0.0568
1990-05-03,0.0586
1990-05-04,0.0592
1990-05-07,0.0598
1990-05-08,0.0604
1990-05-09,0.0592
1990-05-10,0.0586
1990-05-11,0.0592
1990-05-14,0.0592
1990-05-15,0.0595
1990-05-16,0.0592
1990-05-17,0.0598
1990-05-18,0.0586
1990-05-21,0.0586
1990-05-22,0.0586
1990-05-23,0.058
1990-05-24,0.0592
1990-05-25,0.0574
1990-05-29,0.0568
1990-05-30,0.0562
1990-05-31,0.0592
1990-06-01,0.0598
1990-06-04,0.0616
1990-06-05,0.064
1990-06-06,0.0634
1990-06-07,0.0616
1990-06-08,0.0598
1990-06-11,0.0601
1990-06-12,0.0658
1990-06-13,0.0664
1990-06-14,0.067
1990-06-15,0.0658
1990-06-18,0.0646
1990-06-19,0.064
1990-06-20,0.0646
1990-06-21,0.0652
1990-06-22,0.0652
1990-06-25,0.0643
1990-06-26,0.0634
1990-06-27,0.0634
1990-06-28,0.0628
1990-06-29,0.0634
1990-07-02,0.064
1990-07-03,0.064
1990-07-05,0.0631
1990-07-06,0.0631
1990-07-09,0.0628
1990-07-10,0.0646
1990-07-11,0.0658
1990-07-12,0.0688
1990-07-13,0.0724
1990-07-16,0.0706
1990-07-17,0.067
1990-07-18,0.0682
1990-07-19,0.067
1990-07-20,0.067
1990-07-23,0.0628
1990-07-24,0.0592
1990-07-25,0.061
1990-07-26,0.0622
1990-07-27,0.0616
1990-07-30,0.0622
1990-07-31,0.061
1990-08-01,0.061
1990-08-02,0.0598
1990-08-03,0.058
1990-08-06,0.0574
1990-08-07,0.0583
1990-08-08,0.0574
1990-08-09,0.0604
1990-08-10,0.0574
1990-08-13,0.0565
1990-08-14,0.0556
1990-08-15,0.0568
1990-08-16,0.0556
1990-08-17,0.0592
1990-08-20,0.0592
1990-08-21,0.0562
1990-08-22,0.058
1990-08-23,0.0538
1990-08-24,0.0556
1990-08-27,0.0604
1990-08-28,0.0598
1990-08-29,0.0592
1990-08-30,0.0592
1990-08-31,0.0592
1990-09-04,0.0592
1990-09-05,0.0598
1990-09-06,0.058
1990-09-07,0.0598
1990-09-10,0.0592
1990-09-11,0.0592
1990-09-12,0.0598
1990-09-13,0.0592
1990-09-14,0.0592
1990-09-17,0.0622
1990-09-18,0.064
1990-09-19,0.061
1990-09-20,0.061
1990-09-21,0.0592
1990-09-24,0.058
1990-09-25,0.0586
1990-09-26,0.0568
1990-09-27,0.0541
1990-09-28,0.0538
1990-10-01,0.058
1990-10-02,0.0574
1990-10-03,0.0556
1990-10-04,0.0574
1990-10-05,0.0562
1990-10-08,0.0571
1990-10-09,0.0532
1990-10-10,0.049
1990-10-11,0.049
1990-10-12,0.052
1990-10-15,0.0517
1990-10-16,0.055
1990-10-17,0.058
1990-10-18,0.0634
1990-10-19,0.0688
1990-10-22,0.0712
1990-10-23,0.0727
1990-10-24,0.0748
1990-10-25,0.0748
1990-10-26,0.0694
1990-10-29,0.067
1990-10-30,0.0682
1990-10-31,0.0706
1990-11-01,0.0706
1990-11-02,0.0724
1990-11-05,0.0748
1990-11-06,0.076
1990-11-07,0.0718
1990-11-08,0.081
1990-11-09,0.0843
1990-11-12,0.0837
1990-11-13,0.0849
1990-11-14,0.0858
1990-11-15,0.087
1990-11-16,0.0873
1990-11-19,0.0891
1990-11-20,0.0879
1990-11-21,0.0873
1990-11-23,0.0879
1990-11-26,0.0876
1990-11-27,0.0945
1990-11-28,0.0939
1990-11-29,0.0915
1990-11-30,0.0945
1990-12-03,0.0975
1990-12-04,0.099
1990-12-05,0.0993
1990-12-06,0.0999
1990-12-07,0.0987
1990-12-10,0.0981
1990-12-11,0.0966
1990-12-12,0.0993
1990-12-13,0.1035
