Date,Settle
1990-01-02,0.5233
1990-01-03,0.5233
1990-01-04,0.5181
1990-01-05,0.5042
1990-01-08,0.5094
1990-01-09,0.5059
1990-01-10,0.499
1990-01-11,0.4972
1990-01-12,0.4885
1990-01-15,0.485
1990-01-16,0.4885
1990-01-17,0.4798
1990-01-18,0.4816
1990-01-19,0.4781
1990-01-22,0.4677
1990-01-23,0.4746
1990-01-24,0.4659
1990-01-25,0.4572
1990-01-26,0.452
1990-01-29,0.4485
1990-01-30,0.4416
1990-01-31,0.4642
1990-02-01,0.459
1990-02-02,0.459
1990-02-05,0.452
1990-02-06,0.4503
1990-02-07,0.4607
1990-02-08,0.4624
1990-02-09,0.4694
1990-02-12,0.4694
1990-02-13,0.4746
1990-02-14,0.4729
1990-02-15,0.4798
1990-02-16,0.4781
1990-02-20,0.4708
1990-02-21,0.4726
1990-02-22,0.4708
1990-02-23,0.4761
1990-02-26,0.4831
1990-02-27,0.4919
1990-02-28,0.4954
1990-03-01,0.499
1990-03-02,0.499
1990-03-05,0.4937
1990-03-06,0.4919
1990-03-07,0.4831
1990-03-08,0.4796
1990-03-09,0.4796
1990-03-12,0.4744
1990-03-13,0.4708
1990-03-14,0.4796
1990-03-15,0.4761
1990-03-16,0.4867
1990-03-19,0.4867
1990-03-20,0.4884
1990-03-21,0.4831
1990-03-22,0.4708
1990-03-23,0.4867
1990-03-26,0.4761
1990-03-27,0.4849
1990-03-28,0.4814
1990-03-29,0.4708
1990-03-30,0.4761
1990-04-02,0.4744
1990-04-03,0.4744
1990-04-04,0.4726
1990-04-05,0.4761
1990-04-06,0.4744
1990-04-09,0.4761
1990-04-10,0.4621
1990-04-11,0.4673
1990-04-12,0.4708
1990-04-16,0.4796
1990-04-17,0.4708
1990-04-18,0.4673
1990-04-19,0.4568
1990-04-20,0.4462
1990-04-23,0.4445
1990-04-24,0.4498
1990-04-25,0.4498
1990-04-26,0.448
1990-04-27,0.4462
1990-04-30,0.455
1990-05-01,0.4603
1990-05-02,0.4585
1990-05-03,0.4568
1990-05-04,0.4568
1990-05-07,0.4673
1990-05-08,0.4656
1990-05-09,0.4638
1990-05-10,0.4621
1990-05-11,0.4761
1990-05-14,0.4708
1990-05-15,0.4656
1990-05-16,0.4673
1990-05-17,0.4638
1990-05-18,0.4585
1990-05-21,0.4653
1990-05-22,0.4617
1990-05-23,0.4671
1990-05-24,0.4653
1990-05-25,0.4653
1990-05-29,0.4706
1990-05-30,0.4795
1990-05-31,0.4777
1990-06-01,0.4831
1990-06-04,0.4937
1990-06-05,0.4937
1990-06-06,0.4937
1990-06-07,0.4937
1990-06-08,0.4884
1990-06-11,0.4937
1990-06-12,0.5061
1990-06-13,0.5079
1990-06-14,0.5079
1990-06-15,0.4955
1990-06-18,0.4795
1990-06-19,0.4831
1990-06-20,0.4937
1990-06-21,0.4955
1990-06-22,0.4777
1990-06-25,0.4813
1990-06-26,0.4831
1990-06-27,0.4813
1990-06-28,0.4777
1990-06-29,0.4831
1990-07-02,0.4831
1990-07-03,0.4831
1990-07-05,0.4813
1990-07-06,0.4831
1990-07-09,0.4831
1990-07-10,0.4831
1990-07-11,0.4866
1990-07-12,0.4973
1990-07-13,0.5168
1990-07-16,0.5186
1990-07-17,0.515
1990-07-18,0.5115
1990-07-19,0.5115
1990-07-20,0.5044
1990-07-23,0.4902
1990-07-24,0.4937
1990-07-25,0.4973
1990-07-26,0.4937
1990-07-27,0.4919
1990-07-30,0.4902
1990-07-31,0.4884
1990-08-01,0.4884
1990-08-02,0.4884
1990-08-03,0.4706
1990-08-06,0.4706
1990-08-07,0.4688
1990-08-08,0.4706
1990-08-09,0.4688
1990-08-10,0.4529
1990-08-13,0.4546
1990-08-14,0.4688
1990-08-15,0.4671
1990-08-16,0.4475
1990-08-17,0.4351
1990-08-20,0.4365
1990-08-21,0.4311
1990-08-22,0.4276
1990-08-23,0.4096
1990-08-24,0.4096
1990-08-27,0.4168
1990-08-28,0.4132
1990-08-29,0.4204
1990-08-30,0.4168
1990-08-31,0.4311
1990-09-04,0.4222
1990-09-05,0.4204
1990-09-06,0.424
1990-09-07,0.4365
1990-09-10,0.424
1990-09-11,0.4132
1990-09-12,0.4114
1990-09-13,0.4132
1990-09-14,0.4042
1990-09-17,0.3988
1990-09-18,0.4132
1990-09-19,0.4096
1990-09-20,0.4042
1990-09-21,0.4042
1990-09-24,0.3934
1990-09-25,0.3898
1990-09-26,0.3898
1990-09-27,0.3773
1990-09-28,0.3844
1990-10-01,0.406
1990-10-02,0.415
1990-10-03,0.4006
1990-10-04,0.4024
1990-10-05,0.406
1990-10-08,0.4114
1990-10-09,0.4114
1990-10-10,0.4006
1990-10-11,0.3952
1990-10-12,0.3898
1990-10-15,0.388
1990-10-16,0.388
1990-10-17,0.3808
1990-10-18,0.397
1990-10-19,0.4096
1990-10-22,0.4186
1990-10-23,0.4114
1990-10-24,0.4204
1990-10-25,0.4096
1990-10-26,0.406
1990-10-29,0.3844
1990-10-30,0.397
1990-10-31,0.3844
1990-11-01,0.388
1990-11-02,0.4078
1990-11-05,0.4042
1990-11-06,0.3988
1990-11-07,0.3952
1990-11-08,0.3952
1990-11-09,0.4006
1990-11-12,0.4186
1990-11-13,0.4168
1990-11-14,0.4204
1990-11-15,0.4222
1990-11-16,0.4345
1990-11-19,0.4363
1990-11-20,0.4454
1990-11-21,0.4436
1990-11-23,0.4382
1990-11-26,0.4273
1990-11-27,0.4327
1990-11-28,0.42
1990-11-29,0.4127
1990-11-30,0.4327
1990-12-03,0.4309
1990-12-04,0.44
1990-12-05,0.4545
1990-12-06,0.4545
1990-12-07,0.4509
1990-12-10,0.4563
1990-12-11,0.4527
1990-12-12,0.4491
1990-12-13,0.4527
1990-12-14,0.4491
1990-12-17,0.4327
1990-12-18,0.4454
1990-12-19,0.4527
1990-12-20,0.4527
1990-12-21,0.46
1990-12-24,0.4563
1990-12-26,0.46
1990-12-27,0.46
1990-12-28,0.4618
1990-12-31,0.4618
1991-01-02,0.4618
1991-01-03,0.4618
1991-01-04,0.4654
1991-01-07,0.46
1991-01-08,0.4636
1991-01-09,0.4473
1991-01-10,0.4473
1991-01-11,0.4418
1991-01-14,0.4418
1991-01-15,0.4491
1991-01-16,0.4545
1991-01-17,0.4836
1991-01-18,0.4927
1991-01-21,0.4854
1991-01-22,0.4891
1991-01-23,0.4891
1991-01-24,0.4982
1991-01-25,0.5073
1991-01-28,0.5145
1991-01-29,0.52
1991-01-30,0.5218
1991-01-31,0.5182
1991-02-01,0.5163
1991-02-04,0.52
1991-02-05,0.5309
1991-02-06,0.54
1991-02-07,0.5418
1991-02-08,0.5345
1991-02-11,0.5363
1991-02-12,0.5345
1991-02-13,0.5236
1991-02-14,0.5182
1991-02-15,0.5327
1991-02-19,0.5433
1991-02-20,0.536
1991-02-21,0.5286
1991-02-22,0.5286
1991-02-25,0.5231
1991-02-26,0.5194
1991-02-27,0.558
1991-02-28,0.5561
1991-03-01,0.5488
1991-03-04,0.5561
1991-03-05,0.5543
1991-03-06,0.547
1991-03-07,0.536
1991-03-08,0.5341
