Date,Settle
1990-01-02,3.5524
1990-01-03,3.5524
1990-01-04,3.5524
1990-01-05,3.5524
1990-01-08,3.5524
1990-01-09,3.5524
1990-01-10,3.5524
1990-01-11,3.5723
1990-01-12,3.5125
1990-01-15,3.5125
1990-01-16,3.5125
1990-01-17,3.5125
1990-01-18,3.4526
1990-01-19,3.5125
1990-01-22,3.4526
1990-01-23,3.3129
1990-01-24,3.3328
1990-01-25,3.273
1990-01-26,3.3328
1990-01-29,3.3728
1990-01-30,3.3129
1990-01-31,3.3528
1990-02-01,3.3229
1990-02-02,3.3528
1990-02-05,3.3428
1990-02-06,3.3528
1990-02-07,3.3528
1990-02-08,3.3927
1990-02-09,3.3728
1990-02-12,3.3728
1990-02-13,3.4326
1990-02-14,3.4027
1990-02-15,3.4326
1990-02-16,3.4925
1990-02-20,3.4725
1990-02-21,3.4326
1990-02-22,3.4626
1990-02-23,3.4725
1990-02-26,3.4626
1990-02-27,3.5424
1990-02-28,3.5125
1990-03-01,3.5324
1990-03-02,3.4925
1990-03-05,3.5524
1990-03-06,3.5524
1990-03-07,3.5324
1990-03-08,3.5224
1990-03-09,3.5125
1990-03-12,3.4908
1990-03-13,3.4908
1990-03-14,3.4105
1990-03-15,3.4406
1990-03-16,3.5109
1990-03-19,3.4507
1990-03-20,3.4908
1990-03-21,3.5309
1990-03-22,3.4908
1990-03-23,3.4507
1990-03-26,3.4908
1990-03-27,3.4808
1990-03-28,3.4908
1990-03-29,3.4908
1990-03-30,3.4707
1990-04-02,3.4908
1990-04-03,3.4306
1990-04-04,3.2902
1990-04-05,3.3303
1990-04-06,3.3704
1990-04-09,3.3704
1990-04-10,3.3905
1990-04-11,3.4306
1990-04-12,3.4105
1990-04-16,3.4306
1990-04-17,3.4105
1990-04-18,3.4105
1990-04-19,3.4105
1990-04-20,3.4908
1990-04-23,3.4005
1990-04-24,3.4306
1990-04-25,3.3905
1990-04-26,3.4908
1990-04-27,3.4707
1990-04-30,3.3905
1990-05-01,3.4707
1990-05-02,3.4707
1990-05-03,3.4908
1990-05-04,3.4908
1990-05-07,3.4908
1990-05-08,3.4105
1990-05-09,3.4908
1990-05-10,3.4105
1990-05-11,3.5309
1990-05-14,3.5309
1990-05-15,3.5309
1990-05-16,3.4908
1990-05-17,3.571
1990-05-18,3.551
1990-05-21,3.5911
1990-05-22,3.6112
1990-05-23,3.7315
1990-05-24,3.7717
1990-05-25,3.6914
1990-05-29,3.7014
1990-05-30,3.6914
1990-05-31,3.6914
1990-06-01,3.6914
1990-06-04,3.7516
1990-06-05,3.7516
1990-06-06,3.6914
1990-06-07,3.7215
1990-06-08,3.7014
1990-06-11,3.6914
1990-06-12,3.7516
1990-06-13,3.7516
1990-06-14,3.6914
1990-06-15,3.7717
1990-06-18,3.6914
1990-06-19,3.7315
1990-06-20,3.7717
1990-06-21,3.7717
1990-06-22,3.7717
1990-06-25,3.8519
1990-06-26,3.9322
1990-06-27,3.8519
1990-06-28,3.9121
1990-06-29,3.9322
1990-07-02,3.9322
1990-07-03,3.9322
1990-07-05,3.9322
1990-07-06,3.9121
1990-07-09,3.9121
1990-07-10,3.8519
1990-07-11,3.8318
1990-07-12,3.8318
1990-07-13,3.7717
1990-07-16,3.8519
1990-07-17,3.8118
1990-07-18,3.8118
1990-07-19,3.7315
1990-07-20,3.7717
1990-07-23,3.7717
1990-07-24,3.7717
1990-07-25,3.7717
1990-07-26,3.7516
1990-07-27,3.6914
1990-07-30,3.7717
1990-07-31,3.6513
1990-08-01,3.5811
1990-08-02,3.5309
1990-08-03,3.4507
1990-08-06,3.3303
1990-08-07,3.3303
1990-08-08,3.3704
1990-08-09,3.3704
1990-08-10,3.4105
1990-08-13,3.4105
1990-08-14,3.3102
1990-08-15,3.3303
1990-08-16,3.3403
1990-08-17,3.3704
1990-08-20,3.3303
1990-08-21,3.1899
1990-08-22,3.22
1990-08-23,3.1497
1990-08-24,3.1798
1990-08-27,3.3704
1990-08-28,3.3303
1990-08-29,3.2902
1990-08-30,3.3504
1990-08-31,3.2902
1990-09-04,3.23
1990-09-05,3.2902
1990-09-06,3.1899
1990-09-07,3.2902
1990-09-10,3.23
1990-09-11,3.2099
1990-09-12,3.2902
1990-09-13,3.1698
1990-09-14,3.2902
1990-09-17,3.1698
1990-09-18,3.2099
1990-09-19,3.2902
1990-09-20,3.1899
1990-09-21,3.1899
1990-09-24,3.1698
1990-09-25,3.1698
1990-09-26,3.1397
1990-09-27,3.1096
1990-09-28,3.2099
1990-10-01,3.2902
1990-10-02,3.3303
1990-10-03,3.4105
1990-10-04,3.4105
1990-10-05,3.4105
1990-10-08,3.3704
1990-10-09,3.4105
1990-10-10,3.3704
1990-10-11,3.25
1990-10-12,3.25
1990-10-15,3.23
1990-10-16,3.2099
1990-10-17,3.22
1990-10-18,3.1899
1990-10-19,3.1899
1990-10-22,3.2902
1990-10-23,3.25
1990-10-24,3.2099
1990-10-25,3.3102
1990-10-26,3.2099
1990-10-29,3.2099
1990-10-30,3.1899
1990-10-31,3.1698
1990-11-01,3.25
1990-11-02,3.25
1990-11-05,3.1698
1990-11-06,3.2099
1990-11-07,3.2902
1990-11-08,3.2902
1990-11-09,3.2902
1990-11-12,3.2601
1990-11-13,3.4105
1990-11-14,3.4105
1990-11-15,3.4105
1990-11-16,3.4908
1990-11-19,3.4908
1990-11-20,3.5409
1990-11-21,3.571
1990-11-23,3.5309
1990-11-26,3.5309
1990-11-27,3.6914
1990-11-28,3.6513
1990-11-29,3.551
1990-11-30,3.6613
1990-12-03,3.6714
1990-12-04,3.6714
1990-12-05,3.892
1990-12-06,3.872
1990-12-07,3.892
1990-12-10,3.7917
1990-12-11,3.892
1990-12-12,3.872
1990-12-13,3.9021
1990-12-14,3.9322
1990-12-17,3.9322
1990-12-18,4.1328
1990-12-19,3.9823
1990-12-20,4.0124
1990-12-21,4.0124
1990-12-24,4.1328
1990-12-26,4.1328
1990-12-27,4.1127
1990-12-28,4.213
1990-12-31,4.1328
1991-01-02,4.0124
1991-01-03,4.0525
1991-01-04,3.9723
1991-01-07,3.9322
1991-01-08,3.9923
1991-01-09,3.892
1991-01-10,3.892
1991-01-11,3.9121
1991-01-14,3.8118
1991-01-15,3.8018
1991-01-16,3.7917
1991-01-17,3.8118
1991-01-18,3.8118
1991-01-21,3.8519
1991-01-22,3.8118
1991-01-23,3.892
1991-01-24,3.9322
1991-01-25,4.0124
1991-01-28,4.0325
1991-01-29,4.0325
1991-01-30,4.0325
1991-01-31,4.1328
1991-02-01,4.1528
1991-02-04,4.193
1991-02-05,4.193
1991-02-06,4.3535
1991-02-07,4.4337
1991-02-08,4.4136
1991-02-11,4.4738
1991-02-12,4.5741
1991-02-13,4.6544
1991-02-14,4.5741
1991-02-15,4.6544
1991-02-19,4.6544
1991-02-20,4.5541
1991-02-21,4.5541
1991-02-22,4.6143
1991-02-25,4.6544
1991-02-26,4.5541
1991-02-27,4.5541
1991-02-28,4.6544
1991-03-01,4.6544
1991-03-04,4.8349
1991-03-05,4.8951
1991-03-06,4.9353
1991-03-07,4.9353
1991-03-08,4.9353
1991-03-11,4.8373
1991-03-12,4.9784
1991-03-13,4.8575
1991-03-14,4.9784
1991-03-15,4.9986
1991-03-18,4.8877
1991-03-19,4.9179
1991-03-20,4.9582
1991-03-21,4.9482
1991-03-22,4.9482
1991-03-25,4.9482
1991-03-26,5.0389
1991-03-27,5.0792
1991-03-28,5.1799
1991-04-01,5.4017
1991-04-02,5.4823
1991-04-03,5.7141
1991-04-04,5.6234
1991-04-05,5.6385
