Date,Settle
1990-01-02,2.7226
1990-01-03,2.7321
1990-01-04,2.6557
1990-01-05,2.6462
1990-01-08,2.6748
1990-01-09,2.6748
1990-01-10,2.5984
1990-01-11,2.5411
1990-01-12,2.4838
1990-01-15,2.3787
1990-01-16,2.3214
1990-01-17,2.3118
1990-01-18,2.2736
1990-01-19,2.2736
1990-01-22,2.1781
1990-01-23,2.0825
1990-01-24,2.1399
1990-01-25,2.073
1990-01-26,1.9583
1990-01-29,1.987
1990-01-30,2.0061
1990-01-31,2.1112
1990-02-01,2.1016
1990-02-02,2.1972
1990-02-05,2.2258
1990-02-06,2.2067
1990-02-07,2.2067
1990-02-08,2.1972
1990-02-09,2.2067
1990-02-12,2.159
1990-02-13,2.159
1990-02-14,2.1399
1990-02-15,2.1016
1990-02-16,2.0825
1990-02-20,2.0157
1990-02-21,1.9966
1990-02-22,1.9583
1990-02-23,1.901
1990-02-26,1.8437
1990-02-27,1.9392
1990-02-28,1.9775
1990-03-01,2.073
1990-03-02,2.1112
1990-03-05,2.0521
1990-03-06,2.1001
1990-03-07,2.1288
1990-03-08,2.1576
1990-03-09,2.1576
1990-03-12,2.148
1990-03-13,2.1192
1990-03-14,2.1384
1990-03-15,2.1192
1990-03-16,2.0713
1990-03-19,2.0521
1990-03-20,1.9658
1990-03-21,1.9562
1990-03-22,1.9275
1990-03-23,1.9275
1990-03-26,1.9754
1990-03-27,1.9466
1990-03-28,1.9466
1990-03-29,1.9371
1990-03-30,1.985
1990-04-02,1.9946
1990-04-03,2.0138
1990-04-04,1.9562
1990-04-05,1.9946
1990-04-06,1.9658
1990-04-09,1.9371
1990-04-10,1.9083
1990-04-11,1.8987
1990-04-12,1.9275
1990-04-16,1.9371
1990-04-17,1.9179
1990-04-18,1.9179
1990-04-19,1.8987
1990-04-20,1.8603
1990-04-23,1.822
1990-04-24,1.7836
1990-04-25,1.7836
1990-04-26,1.7836
1990-04-27,1.7644
1990-04-30,1.7836
1990-05-01,1.8412
1990-05-02,1.8795
1990-05-03,1.8603
1990-05-04,1.8987
1990-05-07,1.9466
1990-05-08,1.985
1990-05-09,1.985
1990-05-10,1.9562
1990-05-11,2.0329
1990-05-14,2.1097
1990-05-15,2.1001
1990-05-16,2.0809
1990-05-17,2.0617
1990-05-18,2.0329
1990-05-21,2.1672
1990-05-22,2.148
1990-05-23,2.1576
1990-05-24,2.1768
1990-05-25,2.196
1990-05-29,2.1753
1990-05-30,2.1849
1990-05-31,2.1753
1990-06-01,2.1849
1990-06-04,2.1849
1990-06-05,2.2042
1990-06-06,2.2427
1990-06-07,2.233
1990-06-08,2.1945
1990-06-11,2.1849
1990-06-12,2.1657
1990-06-13,2.1849
1990-06-14,2.1272
1990-06-15,2.1464
1990-06-18,2.0694
1990-06-19,2.0694
1990-06-20,2.0598
1990-06-21,2.079
1990-06-22,2.0309
1990-06-25,2.0309
1990-06-26,2.079
1990-06-27,2.0887
1990-06-28,2.1368
1990-06-29,2.1368
1990-07-02,2.1464
1990-07-03,2.1753
1990-07-05,2.1849
1990-07-06,2.1849
1990-07-09,2.1272
1990-07-10,2.1079
1990-07-11,2.0983
1990-07-12,2.31
1990-07-13,2.5122
1990-07-16,2.4255
1990-07-17,2.387
1990-07-18,2.4833
1990-07-19,2.464
1990-07-20,2.3774
1990-07-23,2.31
1990-07-24,2.3197
1990-07-25,2.3197
1990-07-26,2.31
1990-07-27,2.31
1990-07-30,2.2427
1990-07-31,2.1945
1990-08-01,2.1368
1990-08-02,2.1464
1990-08-03,2.079
1990-08-06,2.0117
1990-08-07,1.9828
1990-08-08,2.0117
1990-08-09,2.002
1990-08-10,1.9635
1990-08-13,1.925
1990-08-14,1.9828
1990-08-15,2.0598
1990-08-16,2.0405
1990-08-17,1.9732
1990-08-20,1.925
1990-08-21,1.9058
1990-08-22,1.8673
1990-08-23,1.7036
1990-08-24,1.7614
1990-08-27,1.8952
1990-08-28,1.9049
1990-08-29,1.9146
1990-08-30,1.9146
1990-08-31,1.8952
1990-09-04,1.9146
1990-09-05,1.9146
1990-09-06,1.9146
1990-09-07,1.9146
1990-09-10,1.9339
1990-09-11,1.9146
1990-09-12,1.9146
1990-09-13,1.9049
1990-09-14,1.9242
1990-09-17,1.9726
1990-09-18,1.8952
1990-09-19,1.8565
1990-09-20,1.8469
1990-09-21,1.8275
1990-09-24,1.8179
1990-09-25,1.8179
1990-09-26,1.7985
1990-09-27,1.7985
1990-09-28,1.8275
1990-10-01,1.8952
1990-10-02,1.9242
1990-10-03,1.9629
1990-10-04,1.9436
1990-10-05,1.8952
1990-10-08,1.8759
1990-10-09,1.8856
1990-10-10,1.8565
1990-10-11,1.8179
1990-10-12,1.7792
1990-10-15,1.7502
1990-10-16,1.7985
1990-10-17,1.8082
1990-10-18,1.8565
1990-10-19,1.8856
1990-10-22,1.9726
1990-10-23,1.9629
1990-10-24,1.9532
1990-10-25,1.9629
1990-10-26,1.9339
1990-10-29,1.8952
1990-10-30,1.8565
1990-10-31,1.7985
1990-11-01,1.7889
1990-11-02,1.8082
1990-11-05,1.8372
1990-11-06,1.9339
1990-11-07,1.9339
1990-11-08,1.9919
1990-11-09,2.1176
1990-11-12,2.2046
1990-11-13,2.2337
1990-11-14,2.2337
1990-11-15,2.195
1990-11-16,2.1853
1990-11-19,2.1563
1990-11-20,2.195
1990-11-21,2.2143
1990-11-23,2.2337
1990-11-26,2.2433
1990-11-27,2.34
1990-11-28,2.311
1990-11-29,2.3013
1990-11-30,2.369
1990-12-03,2.3207
1990-12-04,2.398
1990-12-05,2.4561
1990-12-06,2.427
1990-12-07,2.34
1990-12-10,2.3288
1990-12-11,2.2511
1990-12-12,2.3385
1990-12-13,2.4064
1990-12-14,2.3773
1990-12-17,2.387
1990-12-18,2.4355
1990-12-19,2.4743
1990-12-20,2.484
1990-12-21,2.4549
1990-12-24,2.4355
1990-12-26,2.4452
1990-12-27,2.4646
1990-12-28,2.4549
1990-12-31,2.4452
1991-01-02,2.3288
1991-01-03,2.29
1991-01-04,2.29
1991-01-07,2.2026
1991-01-08,2.1735
1991-01-09,2.2317
1991-01-10,2.2705
1991-01-11,2.2317
1991-01-14,2.1929
1991-01-15,2.1735
1991-01-16,2.2511
1991-01-17,2.3094
1991-01-18,2.3676
1991-01-21,2.387
1991-01-22,2.3967
1991-01-23,2.2803
1991-01-24,2.3094
1991-01-25,2.2803
1991-01-28,2.2803
1991-01-29,2.2608
1991-01-30,2.2997
1991-01-31,2.2997
1991-02-01,2.3579
1991-02-04,2.3385
1991-02-05,2.3191
1991-02-06,2.4161
1991-02-07,2.5131
1991-02-08,2.4646
1991-02-11,2.4743
1991-02-12,2.4549
1991-02-13,2.3967
1991-02-14,2.2705
1991-02-15,2.3288
1991-02-19,2.3676
1991-02-20,2.3385
1991-02-21,2.3385
1991-02-22,2.3094
1991-02-25,2.3288
1991-02-26,2.3288
1991-02-27,2.3385
1991-02-28,2.3288
1991-03-01,2.3288
1991-03-04,2.3274
1991-03-05,2.3761
1991-03-06,2.3955
1991-03-07,2.4247
1991-03-08,2.3663
1991-03-11,2.3079
1991-03-12,2.2787
1991-03-13,2.3079
1991-03-14,2.3274
1991-03-15,2.2884
1991-03-18,2.2397
1991-03-19,2.2105
1991-03-20,2.23
1991-03-21,2.2397
1991-03-22,2.2495
1991-03-25,2.3079
1991-03-26,2.3371
1991-03-27,2.3566
1991-03-28,2.4053
1991-04-01,2.3566
1991-04-02,2.3761
1991-04-03,2.4345
1991-04-04,2.4053
1991-04-05,2.3858
1991-04-08,2.415
1991-04-09,2.4247
1991-04-10,2.4053
1991-04-11,2.4734
1991-04-12,2.4637
1991-04-15,2.454
1991-04-16,2.4637
1991-04-17,2.4832
1991-04-18,2.4637
1991-04-19,2.4247
1991-04-22,2.4053
1991-04-23,2.3858
1991-04-24,2.3079
1991-04-25,2.3176
1991-04-26,2.3468
1991-04-29,2.3761
1991-04-30,2.3468
1991-05-01,2.3566
1991-05-02,2.3468
1991-05-03,2.3761
1991-05-06,2.3955
1991-05-07,2.4247
1991-05-08,2.4247
1991-05-09,2.3858
1991-05-10,2.3566
1991-05-13,2.3079
1991-05-14,2.2689
1991-05-15,2.2202
1991-05-16,2.2592
1991-05-17,2.23
1991-05-20,2.1813
1991-05-21,2.2397
1991-05-22,2.23
1991-05-23,2.2008
1991-05-24,2.2008
1991-05-28,2.1994
1991-05-29,2.1505
1991-05-30,2.1407
1991-05-31,2.1114
1991-06-03,2.1114
1991-06-04,2.1114
1991-06-05,2.0821
1991-06-06,2.0723
1991-06-07,2.0137
1991-06-10,1.955
1991-06-11,1.9648
1991-06-12,1.9941
1991-06-13,2.0234
1991-06-14,2.1016
1991-06-17,2.0723
1991-06-18,2.043
1991-06-19,2.0137
1991-06-20,1.9941
1991-06-21,1.9941
1991-06-24,1.9746
1991-06-25,1.9746
1991-06-26,1.9648
1991-06-27,2.0137
1991-06-28,2.0137
1991-07-01,1.955
1991-07-02,1.9648
1991-07-03,1.9941
1991-07-05,2.0137
1991-07-08,2.0039
1991-07-09,1.955
1991-07-10,1.9843
1991-07-11,2.0039
1991-07-12,2.0234
1991-07-15,2.0332
1991-07-16,2.0137
1991-07-17,1.9648
1991-07-18,1.9355
1991-07-19,1.9355
1991-07-22,1.9648
1991-07-23,1.9452
1991-07-24,1.8866
1991-07-25,1.8964
1991-07-26,1.9159
1991-07-29,1.9159
1991-07-30,1.9257
1991-07-31,2.0234
1991-08-01,2.0137
1991-08-02,2.0137
1991-08-05,2.0137
1991-08-06,2.0528
1991-08-07,2.0723
1991-08-08,2.0919
1991-08-09,2.1016
1991-08-12,2.0919
1991-08-13,2.1016
1991-08-14,2.0919
1991-08-15,2.0625
1991-08-16,2.0528
1991-08-19,1.9746
1991-08-20,2.0039
1991-08-21,2.0821
1991-08-22,2.0821
1991-08-23,2.0821
1991-08-26,2.0821
1991-08-27,2.0528
1991-08-28,2.0528
1991-08-29,2.0528
1991-08-30,2.1004
1991-09-03,2.071
1991-09-04,2.0808
1991-09-05,2.0808
1991-09-06,2.0514
1991-09-09,2.0612
1991-09-10,2.0612
1991-09-11,2.0023
1991-09-12,1.9925
