Date,Settle
1998-06-19,0.1915
1998-06-22,0.1915
1998-06-23,0.1915
1998-06-24,0.1963
1998-06-25,0.2154
1998-06-26,0.2322
1998-06-29,0.2382
1998-06-30,0.231
1998-07-01,0.2274
1998-07-02,0.2298
1998-07-06,0.2322
1998-07-07,0.231
1998-07-08,0.2322
1998-07-09,0.2705
1998-07-10,0.2753
1998-07-13,0.2645
1998-07-14,0.2897
1998-07-15,0.3064
1998-07-16,0.2992
1998-07-17,0.3088
1998-07-20,0.3232
1998-07-21,0.3423
1998-07-22,0.3327
1998-07-23,0.3232
1998-07-24,0.3088
1998-07-27,0.3088
1998-07-28,0.2944
1998-07-29,0.3064
1998-07-30,0.3136
1998-07-31,0.3064
1998-08-03,0.304
1998-08-04,0.3052
1998-08-05,0.3172
1998-08-06,0.3076
1998-08-07,0.3256
1998-08-10,0.3268
1998-08-11,0.3232
1998-08-12,0.328
1998-08-13,0.3351
1998-08-14,0.3423
1998-08-17,0.3327
1998-08-18,0.3639
1998-08-19,0.3591
1998-08-20,0.3519
1998-08-21,0.3447
1998-08-24,0.3423
1998-08-25,0.3615
1998-08-26,0.3363
1998-08-27,0.3016
1998-08-28,0.2968
1998-08-31,0.2298
1998-09-01,0.2873
1998-09-02,0.2849
1998-09-03,0.2729
1998-09-04,0.2777
1998-09-08,0.3112
1998-09-09,0.3004
1998-09-10,0.298
1998-09-11,0.298
1998-09-14,0.3016
1998-09-15,0.2921
1998-09-16,0.2873
1998-09-17,0.2813
1998-09-18,0.2849
1998-09-21,0.2968
1998-09-22,0.2897
1998-09-23,0.3064
1998-09-24,0.2944
1998-09-25,0.3016
1998-09-28,0.3016
1998-09-29,0.3076
1998-09-30,0.2968
1998-10-01,0.2944
1998-10-02,0.3088
1998-10-05,0.2968
1998-10-06,0.249
1998-10-07,0.2346
1998-10-08,0.1771
1998-10-09,0.2107
1998-10-12,0.2083
1998-10-13,0.2406
1998-10-14,0.237
1998-10-15,0.249
1998-10-16,0.2561
1998-10-19,0.2801
1998-10-20,0.2968
1998-10-21,0.3172
1998-10-22,0.3351
1998-10-23,0.3495
1998-10-26,0.395
1998-10-27,0.4357
1998-10-28,0.4237
1998-10-29,0.4022
1998-10-30,0.4273
1998-11-02,0.4405
1998-11-03,0.4357
1998-11-04,0.4321
1998-11-05,0.3878
1998-11-06,0.3639
1998-11-09,0.3782
1998-11-10,0.3854
1998-11-11,0.3663
1998-11-12,0.3663
1998-11-13,0.3734
1998-11-16,0.3711
1998-11-17,0.3687
