Date,Settle
1997-12-31,2.5569
1998-01-02,2.5594
1998-01-05,2.5746
1998-01-06,2.6126
1998-01-07,2.5543
1998-01-08,2.4984
1998-01-09,2.4959
1998-01-12,2.4451
1998-01-13,2.4324
1998-01-14,2.4425
1998-01-15,2.4274
1998-01-16,2.4579
1998-01-20,2.5162
1998-01-21,2.4959
1998-01-22,2.4629
1998-01-23,2.4856
1998-01-26,2.4959
1998-01-27,2.4476
1998-01-28,2.4806
1998-01-29,2.529
1998-01-30,2.5492
1998-02-02,2.6101
1998-02-03,2.6761
1998-02-04,2.7142
1998-02-05,2.7091
1998-02-06,2.7472
1998-02-09,2.8056
1998-02-10,2.887
1998-02-11,2.887
1998-02-12,2.8361
1998-02-13,2.7802
1998-02-17,2.7854
1998-02-18,2.7524
1998-02-19,2.7574
1998-02-20,2.7827
1998-02-23,2.8235
1998-02-24,2.8844
1998-02-25,2.9351
1998-02-26,2.953
1998-02-27,2.9682
1998-03-02,6.0225
1998-03-03,6.0022
1998-03-04,6.0935
1998-03-05,5.9514
1998-03-06,6.0733
1998-03-09,6.175
1998-03-10,6.3983
1998-03-11,6.429
1998-03-12,6.175
1998-03-13,6.4492
1998-03-16,6.5
1998-03-17,6.6216
1998-03-18,6.4896
1998-03-19,6.5
1998-03-20,6.4492
1998-03-23,6.368
1998-03-24,6.3576
1998-03-25,6.3172
1998-03-26,6.0935
1998-03-27,6.175
1998-03-30,6.0022
1998-03-31,6.1952
1998-04-01,6.236
1998-04-02,6.3172
1998-04-03,6.3071
1998-04-06,6.2154
1998-04-07,6.0531
1998-04-08,5.9514
1998-04-09,6.1649
1998-04-13,6.0834
1998-04-14,6.1851
1998-04-15,6.175
1998-04-16,6.0531
1998-04-17,6.1242
1998-04-20,6.2865
1998-04-21,6.3475
1998-04-22,6.4694
1998-04-23,6.3781
1998-04-24,6.236
1998-04-27,5.7992
1998-04-28,5.586
1998-04-29,5.6469
1998-04-30,5.6469
1998-05-01,5.6873
1998-05-04,5.7789
1998-05-05,5.6368
1998-05-06,5.6368
1998-05-07,5.586
1998-05-08,5.5452
1998-05-11,5.5654
1998-05-12,5.525
1998-05-13,5.4842
1998-05-14,5.5758
1998-05-15,5.5553
1998-05-18,5.586
1998-05-19,5.6469
1998-05-20,5.586
1998-05-21,5.657
1998-05-22,5.6163
1998-05-26,5.6873
1998-05-27,5.5961
1998-05-28,5.8093
1998-05-29,5.8093
1998-06-01,5.9312
1998-06-02,5.911
1998-06-03,5.85
1998-06-04,5.8399
1998-06-05,5.8601
1998-06-08,5.9009
1998-06-09,5.85
1998-06-10,5.7789
1998-06-11,5.7281
1998-06-12,5.718
1998-06-15,5.6671
1998-06-16,5.8093
1998-06-17,6.043
1998-06-18,5.85
1998-06-19,5.8194
1998-06-22,6.0329
1998-06-23,6.3983
1998-06-24,6.3475
1998-06-25,6.4391
1998-06-26,6.4694
1998-06-29,6.3374
1998-06-30,6.1343
1998-07-01,6.3781
1998-07-02,6.5203
