Date,Settle
2003-09-11,14.9632
2003-10-01,17.0134
2003-10-02,17.0871
2003-10-03,17.6918
2003-10-06,17.8541
2003-10-07,17.8762
2003-10-08,17.9204
2003-10-09,17.7287
2003-10-10,18.09
2003-10-13,19.506
2003-10-14,19.8083
2003-10-15,19.8673
2003-10-16,19.6756
2003-10-17,18.9971
2003-10-20,19.0339
2003-10-21,19.3216
2003-10-22,18.9086
2003-10-23,18.0384
2003-10-24,17.8467
2003-10-27,18.1417
2003-10-28,18.7169
2003-10-29,18.975
2003-10-30,18.6652
2003-10-31,18.562
2003-11-03,19.2478
2003-11-04,19.3363
2003-11-05,19.3363
2003-11-06,19.4543
2003-11-07,19.2331
2003-11-10,18.8496
2003-11-11,18.7021
2003-11-12,19.3732
2003-11-13,19.3437
2003-11-14,18.5841
2003-11-17,18.1859
2003-11-18,17.7213
2003-11-19,17.4558
2003-11-20,16.8069
2003-11-21,16.6519
2003-11-24,17.6845
2003-11-25,17.5369
2003-11-26,17.6918
2003-11-28,17.7434
2003-12-01,17.8393
2003-12-02,17.5074
2003-12-03,17.1019
2003-12-04,16.7995
2003-12-05,16.3054
2003-12-08,16.3275
2003-12-09,15.9735
2003-12-10,15.8408
2003-12-11,16.7184
2003-12-12,16.3128
2003-12-15,15.6638
2003-12-16,15.9956
2003-12-17,16.1874
2003-12-18,16.2243
2003-12-19,15.8186
2003-12-22,15.8924
2003-12-23,16.0104
2003-12-24,15.9367
2003-12-26,15.9514
2003-12-29,16.1432
2003-12-30,15.8924
2003-12-31,15.6048
2004-01-02,15.3836
2004-01-05,16.1874
2004-01-06,16.298
2004-01-07,16.593
2004-01-08,16.0989
2004-01-09,15.6785
2004-01-12,15.9809
2004-01-13,15.1918
2004-01-14,15.1918
2004-01-15,15.8702
2004-01-16,15.7743
2004-01-20,16.6446
2004-01-21,16.5413
2004-01-22,16.7552
2004-01-23,16.1136
2004-01-26,15.5015
2004-01-27,15.6343
2004-01-28,15.1697
2004-01-29,15.1106
2004-01-30,14.9706
2004-02-02,14.7493
2004-02-03,14.5428
2004-02-04,14.2626
2004-02-05,14.4912
2004-02-06,14.4469
2004-02-09,14.3806
2004-02-10,14.3658
2004-02-11,14.8452
2004-02-12,14.4249
2004-02-13,14.3584
2004-02-17,14.4765
2004-02-18,14.4249
2004-02-19,14.2036
2004-02-20,15.0517
2004-02-23,15.6712
2004-02-24,15.4352
2004-02-25,15.4647
2004-02-26,15.7523
2004-02-27,15.6712
2004-03-01,15.295
2004-03-02,14.9853
2004-03-03,14.7567
2004-03-04,14.8968
2004-03-05,14.7714
2004-03-08,14.2847
2004-03-09,14.5945
2004-03-10,14.3437
2004-03-11,13.6431
2004-03-12,14.4543
2004-03-15,14.3363
2004-03-16,14.6608
2004-03-17,14.9484
2004-03-18,15.3024
2004-03-19,15.3245
2004-03-22,15.1549
2004-03-23,14.9558
2004-03-24,15.118
2004-03-25,16.3643
2004-03-26,16.3791
2004-03-29,16.5561
2004-03-30,16.3349
2004-03-31,15.9735
2004-04-01,16.357
2004-04-02,16.9617
2004-04-05,17.0354
2004-04-06,16.711
2004-04-07,16.711
2004-04-08,16.8732
2004-04-12,16.9839
2004-04-13,16.5708
2004-04-14,16.1505
2004-04-15,15.7228
2004-04-16,15.9588
2004-04-19,16.1063
2004-04-20,16.0104
2004-04-21,15.9882
2004-04-22,15.6638
2004-04-23,15.8556
2004-04-26,15.3245
2004-04-27,15.3614
2004-04-28,14.4765
2004-04-29,14.3511
2004-04-30,14.0487
2004-05-03,14.4175
2004-05-04,14.9484
2004-05-05,14.9484
2004-05-06,14.8673
2004-05-07,14.8526
2004-05-10,14.8304
2004-05-11,15.0369
2004-05-12,15.0664
2004-05-13,15.1254
2004-05-14,14.9558
2004-05-17,14.6534
2004-05-18,14.6756
2004-05-19,14.6313
2004-05-20,14.6239
2004-05-21,14.7788
2004-05-24,14.978
2004-05-25,15.4573
2004-05-26,15.3982
2004-05-27,15.1033
2004-05-28,15.4647
2004-06-01,15.0812
2004-06-02,14.823
2004-06-03,14.801
2004-06-04,14.8673
2004-06-07,15.4721
2004-06-08,15.3245
2004-06-09,15.2213
2004-06-10,15.1549
2004-06-14,14.5945
2004-06-15,14.5871
2004-06-16,14.4175
2004-06-17,14.3806
2004-06-18,14.2404
2004-06-21,13.9086
2004-06-22,14.093
2004-06-23,14.1151
2004-06-24,14.4322
2004-06-25,14.6534
2004-06-28,14.506
2004-06-29,14.9115
2004-06-30,15.0148
2004-07-01,14.1299
2004-07-02,13.9234
2004-07-06,13.2445
2004-07-07,12.9647
2004-07-08,12.7951
2004-07-09,12.9721
2004-07-12,13.2006
2004-07-13,12.7508
2004-07-14,12.3747
2004-07-15,12.5886
2004-07-16,12.2567
2004-07-19,12.3304
2004-07-20,12.6844
2004-07-21,12.1682
2004-07-22,12.4336
2004-07-23,12.3157
2004-07-26,12.4853
2004-07-27,12.7508
2004-07-28,12.6328
2004-07-29,12.7877
2004-07-30,12.9941
2004-08-02,12.9425
2004-08-03,12.1018
2004-08-04,11.7257
2004-08-05,11.4307
2004-08-06,11.1284
2004-08-09,11.4307
2004-08-10,11.7847
2004-08-11,11.6077
2004-08-12,11.3643
2004-08-13,11.4749
2004-08-16,11.7625
2004-08-17,11.6593
2004-08-18,12.1756
2004-08-19,12.1018
2004-08-20,12.3452
2004-08-23,12.0723
2004-08-24,11.8879
2004-08-25,12.006
2004-08-26,11.8142
2004-08-27,11.9469
2004-08-30,11.7478
2004-08-31,11.7331
2004-09-01,11.9986
2004-09-02,12.2567
2004-09-03,11.8216
2004-09-07,11.9691
2004-09-08,11.7847
2004-09-09,12.0207
2004-09-10,12.7434
2004-09-13,13.1195
2004-09-14,13.0827
2004-09-15,12.736
2004-09-16,13.0089
2004-09-17,13.4219
2004-09-20,13.09
2004-09-21,13.2523
2004-09-22,12.8762
2004-09-23,12.8024
2004-09-24,12.6106
2004-09-27,12.618
2004-09-28,12.3747
2004-09-29,12.9941
2004-09-30,12.9204
2004-10-01,14.0634
2004-10-04,14.6534
2004-10-05,14.5354
2004-10-06,14.8968
2004-10-07,14.8599
2004-10-08,14.9115
2004-10-11,15.1033
2004-10-12,15.3245
2004-10-13,15.4425
2004-10-14,15.413
2004-10-15,15.4499
2004-10-18,15.8186
2004-10-19,16.0989
2004-10-20,15.2508
2004-10-21,16.9396
2004-10-22,17.0428
2004-10-25,16.9175
2004-10-26,17.1165
2004-10-27,17.5812
2004-10-28,17.8467
2004-10-29,17.7065
2004-11-01,17.6991
2004-11-02,17.4706
2004-11-03,17.2213
2004-11-04,17.4041
2004-11-05,17.3747
2004-11-08,17.36
2004-11-09,17.2788
2004-11-10,17.2567
2004-11-11,17.6918
2004-11-12,17.6254
2004-11-15,17.8762
2004-11-16,17.8614
2004-11-17,18.1933
2004-11-18,18.3556
2004-11-19,18.1195
2004-11-22,17.4706
2004-11-23,17.2788
2004-11-24,17.3879
2004-11-26,17.1387
2004-11-29,17.2862
2004-11-30,17.4115
2004-12-01,17.6918
2004-12-02,17.8835
2004-12-03,18.1417
2004-12-06,18.503
2004-12-07,18.1859
2004-12-08,18.4219
2004-12-09,18.4293
2004-12-10,18.4661
2004-12-13,18.4956
2004-12-14,18.6874
2004-12-15,19.0413
2004-12-16,18.5399
2004-12-17,18.7759
2004-12-20,18.5178
2004-12-21,18.8939
2004-12-22,18.6874
2004-12-23,18.4293
2004-12-27,18.1638
2004-12-28,18.2228
2004-12-29,18.4071
2004-12-30,18.3039
2004-12-31,18.0384
2005-01-03,17.773
2005-01-04,17.5222
2005-01-05,16.9322
2005-01-06,16.8216
2005-01-07,16.9839
2005-01-10,16.7847
2005-01-11,16.8289
2005-01-12,16.8732
2005-01-13,16.4971
2005-01-14,16.6225
2005-01-18,16.7847
2005-01-19,16.5561
2005-01-20,16.4308
2005-01-21,16.1652
2005-01-24,16.239
2005-01-25,16.4971
2005-01-26,16.7773
2005-01-27,17.0723
2005-01-28,15.9293
2005-01-31,15.8186
2005-02-01,16.1947
2005-02-02,16.416
2005-02-03,16.1136
2005-02-04,16.2464
2005-02-07,16.1874
2005-02-08,16.1947
2005-02-09,15.9219
2005-02-10,15.8556
2005-02-11,15.826
2005-02-14,15.6269
2005-02-15,16.062
2005-02-16,15.9809
2005-02-17,15.8408
2005-02-18,15.885
2005-02-22,15.5384
2005-02-23,15.6195
2005-02-24,15.9367
2005-02-25,16.2317
2005-02-28,16.593
2005-03-01,16.7552
2005-03-02,17.3526
2005-03-03,17.0354
2005-03-04,16.9469
2005-03-07,17.3526
2005-03-08,17.5369
2005-03-09,17.4115
2005-03-10,17.5148
2005-03-11,17.2567
2005-03-14,17.5222
2005-03-15,17.5517
2005-03-16,17.3304
2005-03-17,17.006
2005-03-18,17.1239
2005-03-21,17.3378
2005-03-22,17.1608
2005-03-23,17.1756
2005-03-24,17.4484
2005-03-28,17.3969
2005-03-29,17.0207
2005-03-30,17.4484
2005-03-31,17.5665
2005-04-01,17.1092
2005-04-04,16.8363
2005-04-05,16.9617
2005-04-06,16.9986
2005-04-07,17.3083
2005-04-08,17.4706
2005-04-11,17.5222
2005-04-12,17.5148
2005-04-13,17.1904
2005-04-14,16.9617
2005-04-15,16.3791
2005-04-18,16.4454
2005-04-19,16.9469
2005-04-20,17.006
2005-04-21,16.9175
2005-04-22,16.4676
2005-04-25,16.4897
2005-04-26,16.3275
2005-04-27,16.3643
2005-04-28,16.4528
2005-04-29,16.593
2005-05-02,16.7478
2005-05-03,16.8143
2005-05-04,16.8289
2005-05-05,16.5045
2005-05-06,16.7036
2005-05-09,16.7847
2005-05-10,16.5045
2005-05-11,16.7995
2005-05-12,17.1461
2005-05-13,17.2862
2005-05-16,17.4927
2005-05-17,17.6771
2005-05-18,17.7876
2005-05-19,18.0458
2005-05-20,18.0606
2005-05-23,18.2154
2005-05-24,18.4367
2005-05-25,18.3039
2005-05-26,18.562
2005-05-27,18.5473
2005-05-31,18.5546
2005-06-01,18.7095
2005-06-02,16.8511
2005-06-03,16.2832
2005-06-06,16.3791
2005-06-07,16.0399
2005-06-08,15.8334
2005-06-09,15.7375
2005-06-10,15.826
2005-06-13,16.298
2005-06-14,15.9956
2005-06-15,16.1505
2005-06-16,16.2832
2005-06-17,16.3349
2005-06-20,16.3054
2005-06-21,16.416
2005-06-22,16.5045
2005-06-23,16.4971
2005-06-24,16.416
2005-06-27,16.3054
2005-06-28,16.2243
2005-06-29,16.18
2005-06-30,15.9735
2005-07-01,15.7817
2005-07-05,16.18
2005-07-06,16.6151
2005-07-07,16.3275
2005-07-08,16.5119
2005-07-11,16.5413
2005-07-12,16.6372
2005-07-13,16.7258
2005-07-14,16.6299
2005-07-15,16.6372
2005-07-18,16.5635
2005-07-19,16.9617
2005-07-20,17.2124
2005-07-21,16.8806
2005-07-22,16.3717
2005-07-25,16.3791
2005-07-26,16.2095
2005-07-27,17.5738
2005-07-28,17.4189
2005-07-29,17.5738
2005-08-01,17.5369
2005-08-02,17.3304
2005-08-03,17.4337
2005-08-04,17.2788
2005-08-05,16.9912
2005-08-08,17.1534
2005-08-09,17.1534
2005-08-10,16.9101
2005-08-11,17.183
2005-08-12,17.301
2005-08-15,17.301
2005-08-16,17.2346
2005-08-17,17.3452
