Date,Settle
1990-01-02,5.359
1990-01-03,5.4627
1990-01-04,5.4774
1990-01-05,5.4331
1990-01-08,5.3146
1990-01-09,5.2258
1990-01-10,5.1814
1990-01-11,5.285
1990-01-12,5.211
1990-01-15,5.1814
1990-01-16,5.2835
1990-01-17,5.2686
1990-01-18,5.2835
1990-01-19,5.3133
1990-01-22,5.2536
1990-01-23,5.2238
1990-01-24,5.2686
1990-01-25,5.2387
1990-01-26,5.2536
1990-01-29,5.2686
1990-01-30,5.2835
1990-01-31,5.4029
1990-02-01,5.2686
1990-02-02,5.2387
1990-02-05,5.2536
1990-02-06,5.2686
1990-02-07,5.2686
1990-02-08,5.2536
1990-02-09,5.2536
1990-02-12,5.2089
1990-02-13,5.0895
1990-02-14,4.9999
1990-02-15,5.2238
1990-02-16,5.2984
1990-02-20,5.2387
1990-02-21,5.2238
1990-02-22,5.2536
1990-02-23,5.2387
1990-02-26,5.3133
1990-02-27,5.3283
1990-02-28,5.4029
1990-03-01,5.388
1990-03-02,5.4626
1990-03-05,5.4775
1990-03-06,5.5521
1990-03-07,5.5969
1990-03-08,5.8059
1990-03-09,5.7014
1990-03-12,5.7312
1990-03-13,5.7312
1990-03-14,5.7462
1990-03-15,5.7312
1990-03-16,5.7611
1990-03-19,5.7014
1990-03-20,5.6566
1990-03-21,5.6417
1990-03-22,5.5074
1990-03-23,5.5372
1990-03-26,5.5671
1990-03-27,5.776
1990-03-28,5.7312
1990-03-29,5.7014
1990-03-30,5.6566
1990-04-02,5.6417
1990-04-03,5.8506
1990-04-04,5.8208
1990-04-05,5.8506
1990-04-06,5.8954
1990-04-09,5.8357
1990-04-10,5.7909
1990-04-11,5.8656
1990-04-12,5.8656
1990-04-16,5.8656
1990-04-17,5.9551
1990-04-18,5.8805
1990-04-19,5.6865
1990-04-20,5.6539
1990-04-23,5.5036
1990-04-24,5.4434
1990-04-25,5.4735
1990-04-26,5.4434
1990-04-27,5.3382
1990-04-30,5.5938
1990-05-01,5.5938
1990-05-02,5.6089
1990-05-03,5.6089
1990-05-04,5.6991
1990-05-07,5.7442
1990-05-08,5.8344
