Date,Settle
1990-01-02,4.8924
1990-01-03,4.8128
1990-01-04,4.7509
1990-01-05,4.6801
1990-01-08,4.7243
1990-01-09,4.6889
1990-01-10,4.6889
1990-01-11,4.6978
1990-01-12,4.5474
1990-01-15,4.5739
1990-01-16,4.6624
1990-01-17,4.6359
1990-01-18,4.6712
1990-01-19,4.742
1990-01-22,4.5562
1990-01-23,4.6359
1990-01-24,4.627
1990-01-25,4.5739
1990-01-26,4.5562
1990-01-29,4.5562
1990-01-30,4.6093
1990-01-31,4.7332
1990-02-01,4.7155
1990-02-02,4.7509
1990-02-05,4.7774
1990-02-06,4.7509
1990-02-07,4.8546
1990-02-08,5.0244
1990-02-09,4.944
1990-02-12,4.8456
1990-02-13,4.8904
1990-02-14,4.9798
1990-02-15,4.9708
1990-02-16,4.9976
1990-02-20,4.9529
1990-02-21,4.8993
1990-02-22,4.8635
1990-02-23,4.7831
1990-02-26,4.8904
1990-02-27,4.8278
1990-02-28,4.8009
1990-03-01,4.8546
1990-03-02,4.8814
1990-03-05,4.8367
1990-03-06,4.8993
1990-03-07,4.9172
1990-03-08,4.9261
1990-03-09,4.8904
1990-03-12,4.9082
1990-03-13,4.8635
1990-03-14,4.935
1990-03-15,4.8993
1990-03-16,5.0155
1990-03-19,4.9529
1990-03-20,4.8635
1990-03-21,4.8278
1990-03-22,4.8188
1990-03-23,4.8099
1990-03-26,4.7562
1990-03-27,4.7741
1990-03-28,4.8188
1990-03-29,4.8367
1990-03-30,4.8278
1990-04-02,4.792
1990-04-03,4.8546
1990-04-04,4.8456
1990-04-05,4.8725
1990-04-06,4.8546
1990-04-09,4.8546
1990-04-10,4.8367
1990-04-11,4.7115
1990-04-12,4.7741
1990-04-16,4.8009
1990-04-17,4.7741
1990-04-18,4.6847
1990-04-19,4.6847
1990-04-20,4.64
1990-04-23,4.5685
1990-04-24,4.6311
1990-04-25,4.6758
1990-04-26,4.6758
1990-04-27,4.6579
1990-04-30,4.7115
1990-05-01,4.735
1990-05-02,4.7802
1990-05-03,4.8254
1990-05-04,4.8525
1990-05-07,4.8706
1990-05-08,4.9158
1990-05-09,4.9067
1990-05-10,4.8796
1990-05-11,4.9519
1990-05-14,5.0784
1990-05-15,5.0784
1990-05-16,5.0875
1990-05-17,5.0784
1990-05-18,5.0603
1990-05-21,5.0603
1990-05-22,5.0603
1990-05-23,5.0152
1990-05-24,4.9338
1990-05-25,4.8977
1990-05-29,5.0152
1990-05-30,5.0513
1990-05-31,5.0603
1990-06-01,5.0242
1990-06-04,5.0875
1990-06-05,5.0875
1990-06-06,5.0242
1990-06-07,5.0423
1990-06-08,5.0242
1990-06-11,5.1055
1990-06-12,5.1417
1990-06-13,5.1236
1990-06-14,5.0965
1990-06-15,5.2049
1990-06-18,5.1326
1990-06-19,5.1778
1990-06-20,5.1236
1990-06-21,5.0875
1990-06-22,5.0423
1990-06-25,4.979
1990-06-26,4.8977
1990-06-27,5.0423
1990-06-28,5.0513
1990-06-29,5.0875
1990-07-02,5.0965
1990-07-03,5.0875
1990-07-05,5.0423
1990-07-06,5.0423
1990-07-09,5.0332
1990-07-10,5.0152
1990-07-11,5.1326
1990-07-12,5.3405
1990-07-13,5.3495
1990-07-16,5.4128
1990-07-17,5.4851
1990-07-18,5.4399
1990-07-19,5.5483
1990-07-20,5.6025
1990-07-23,5.5573
1990-07-24,5.6929
1990-07-25,5.6206
1990-07-26,5.5664
1990-07-27,5.5844
1990-07-30,5.7109
1990-07-31,5.7949
1990-08-01,5.7493
1990-08-02,5.8679
1990-08-03,5.7493
1990-08-06,5.7949
1990-08-07,5.7402
1990-08-08,5.6124
1990-08-09,5.6124
1990-08-10,5.6945
1990-08-13,5.7037
1990-08-14,5.6854
1990-08-15,5.6672
1990-08-16,5.658
1990-08-17,5.7402
1990-08-20,5.8405
1990-08-21,5.7128
1990-08-22,5.7402
1990-08-23,5.5211
