Date,Settle
1990-01-02,3.1842
1990-01-03,3.1515
1990-01-04,3.086
1990-01-05,3.0369
1990-01-08,3.0287
1990-01-09,3.0042
1990-01-10,3.0042
1990-01-11,3.0123
1990-01-12,2.9714
1990-01-15,2.9796
1990-01-16,2.9878
1990-01-17,2.9632
1990-01-18,2.9551
1990-01-19,2.9632
1990-01-22,2.9305
1990-01-23,2.9387
1990-01-24,2.9387
1990-01-25,2.9059
1990-01-26,2.9223
1990-01-29,2.9223
1990-01-30,2.9141
1990-01-31,2.9305
1990-02-01,2.9305
1990-02-02,2.9387
1990-02-05,2.9469
1990-02-06,2.9551
1990-02-07,2.9714
1990-02-08,2.9714
1990-02-09,2.9551
1990-02-12,2.9551
1990-02-13,2.9878
1990-02-14,3.0123
1990-02-15,3.0451
1990-02-16,3.0042
1990-02-20,2.9796
1990-02-21,2.9714
1990-02-22,2.9714
1990-02-23,2.9684
1990-02-26,2.9601
1990-02-27,2.9517
1990-02-28,2.9768
1990-03-01,2.9934
1990-03-02,3.0018
1990-03-05,2.9684
1990-03-06,3.0018
1990-03-07,2.9768
1990-03-08,2.9684
1990-03-09,2.9601
1990-03-12,2.9684
1990-03-13,2.9684
1990-03-14,2.9768
1990-03-15,2.9851
1990-03-16,2.9934
1990-03-19,2.9851
1990-03-20,2.9851
1990-03-21,2.9851
1990-03-22,2.9517
1990-03-23,2.9517
1990-03-26,2.9517
1990-03-27,2.9517
1990-03-28,2.9851
1990-03-29,2.9934
1990-03-30,2.9768
1990-04-02,2.9601
1990-04-03,2.9851
1990-04-04,2.9851
1990-04-05,2.9851
1990-04-06,2.9684
1990-04-09,2.9851
1990-04-10,2.9768
1990-04-11,2.9768
1990-04-12,2.9851
1990-04-16,3.0018
1990-04-17,2.9851
1990-04-18,2.9684
1990-04-19,2.9684
1990-04-20,2.9184
1990-04-23,2.8767
1990-04-24,2.8767
1990-04-25,2.8684
1990-04-26,2.8517
1990-04-27,2.8017
1990-04-30,2.785
1990-05-01,2.81
1990-05-02,2.835
1990-05-03,2.8767
1990-05-04,2.9101
1990-05-07,2.9267
1990-05-08,2.9601
1990-05-09,2.9851
1990-05-10,2.9934
1990-05-11,3.0518
1990-05-14,3.0518
1990-05-15,3.0601
1990-05-16,3.0518
1990-05-17,3.0184
1990-05-18,3.0018
1990-05-21,3.0101
1990-05-22,3.0101
1990-05-23,3.0101
1990-05-24,2.9816
1990-05-25,2.9646
1990-05-29,2.9901
1990-05-30,2.9816
1990-05-31,2.9561
1990-06-01,2.9816
1990-06-04,3.0495
1990-06-05,3.0325
1990-06-06,3.024
1990-06-07,3.024
1990-06-08,3.024
1990-06-11,3.0325
1990-06-12,3.058
1990-06-13,3.041
1990-06-14,3.0325
1990-06-15,3.0325
1990-06-18,3.0071
1990-06-19,3.0325
1990-06-20,3.0156
