Date,Settle
1990-01-02,8.6806
1990-01-03,8.8429
1990-01-04,8.6953
1990-01-05,8.651
1990-01-08,8.6067
1990-01-09,8.4591
1990-01-10,8.3705
1990-01-11,8.3705
1990-01-12,8.1639
1990-01-15,7.9867
1990-01-16,8.1786
1990-01-17,8.0162
1990-01-18,8.031
1990-01-19,8.1196
1990-01-22,7.8391
1990-01-23,7.8243
1990-01-24,7.8538
1990-01-25,7.6767
1990-01-26,7.6767
1990-01-29,7.6472
1990-01-30,7.7505
1990-01-31,7.5438
1990-02-01,7.4257
1990-02-02,7.5291
1990-02-05,7.47
1990-02-06,7.4995
1990-02-07,7.5143
1990-02-08,7.4257
1990-02-09,7.5291
1990-02-12,7.4405
1990-02-13,7.4405
1990-02-14,7.47
1990-02-15,7.5438
1990-02-16,7.5438
1990-02-20,7.4405
1990-02-21,7.411
1990-02-22,7.4257
1990-02-23,7.4405
1990-02-26,7.4995
1990-02-27,7.5143
1990-02-28,7.6176
1990-03-01,7.7653
1990-03-02,7.8243
1990-03-05,7.7357
1990-03-06,7.8243
1990-03-07,7.8538
1990-03-08,7.9129
1990-03-09,7.8981
1990-03-12,7.8981
1990-03-13,7.7653
1990-03-14,7.721
1990-03-15,7.78
1990-03-16,8.0162
1990-03-19,8.1343
1990-03-20,8.1343
1990-03-21,8.031
1990-03-22,7.9129
1990-03-23,7.9572
1990-03-26,7.9751
1990-03-27,7.9751
1990-03-28,7.9751
1990-03-29,7.9005
1990-03-30,7.8409
1990-04-02,7.7664
1990-04-03,7.9452
1990-04-04,7.8111
1990-04-05,7.8409
1990-04-06,7.826
1990-04-09,7.8111
1990-04-10,7.8707
1990-04-11,7.7813
1990-04-12,7.7664
1990-04-16,7.826
1990-04-17,7.8409
1990-04-18,7.6322
1990-04-19,7.4533
1990-04-20,7.4235
1990-04-23,7.3341
1990-04-24,7.2745
1990-04-25,7.3192
1990-04-26,7.4235
1990-04-27,7.3639
1990-04-30,7.3639
1990-05-01,7.2894
1990-05-02,7.2446
1990-05-03,7.2745
1990-05-04,7.3043
1990-05-07,7.3937
1990-05-08,7.4235
1990-05-09,7.5577
1990-05-10,7.5726
1990-05-11,7.6471
1990-05-14,7.7366
1990-05-15,7.8111
1990-05-16,7.7664
1990-05-17,7.8409
1990-05-18,7.7962
1990-05-21,7.7217
1990-05-22,7.7067
1990-05-23,7.6769
1990-05-24,7.6024
1990-05-25,7.5279
1990-05-29,7.6918
1990-05-30,7.5726
1990-05-31,7.4235
1990-06-01,7.4683
1990-06-04,7.6918
1990-06-05,7.7962
1990-06-06,7.7813
1990-06-07,7.7813
1990-06-08,7.6769
1990-06-11,7.6471
1990-06-12,7.6769
1990-06-13,7.5875
1990-06-14,7.513
1990-06-15,7.513
1990-06-18,7.4235
1990-06-19,7.4235
1990-06-20,7.2894
1990-06-21,7.2745
1990-06-22,7.2745
1990-06-25,7.0967
1990-06-26,6.9158
1990-06-27,6.8706
1990-06-28,6.946
1990-06-29,6.9008
1990-07-02,6.9008
1990-07-03,6.946
1990-07-05,6.8104
1990-07-06,6.8405
1990-07-09,6.7802
1990-07-10,6.6748
1990-07-11,7.0063
1990-07-12,7.0665
1990-07-13,7.1871
1990-07-16,7.2021
1990-07-17,7.1569
1990-07-18,7.0967
1990-07-19,7.1268
1990-07-20,7.1569
1990-07-23,7.0063
1990-07-24,6.3132
1990-07-25,6.268
1990-07-26,6.3282
1990-07-27,6.3584
1990-07-30,6.3433
1990-07-31,6.2228
1990-08-01,6.0872
1990-08-02,5.7858
1990-08-03,5.9063
1990-08-06,5.4694
1990-08-07,5.5447
1990-08-08,5.4995
1990-08-09,5.6201
1990-08-10,5.4543
1990-08-13,5.4694
1990-08-14,5.3489
1990-08-15,5.4242
1990-08-16,5.3187
1990-08-17,5.1982
1990-08-20,5.2133
1990-08-21,5.3187
1990-08-22,5.153
1990-08-23,4.9571
1990-08-24,5.0325
1990-08-27,5.1831
1990-08-28,5.0626
1990-08-29,5.1229
1990-08-30,4.9421
1990-08-31,5.0626
1990-09-04,5.153
1990-09-05,4.9873
1990-09-06,4.9873
1990-09-07,4.9873
1990-09-10,4.927
1990-09-11,5.0325
1990-09-12,4.9873
1990-09-13,4.8968
1990-09-14,4.8818
1990-09-17,4.8818
1990-09-18,4.9119
1990-09-19,4.7763
1990-09-20,4.6859
1990-09-21,4.7612
1990-09-24,4.6571
1990-09-25,4.6418
1990-09-26,4.5805
1990-09-27,4.6264
1990-09-28,4.7796
1990-10-01,5.1779
1990-10-02,5.1626
1990-10-03,5.2545
1990-10-04,5.2698
1990-10-05,5.2392
1990-10-08,5.1626
1990-10-09,4.9022
1990-10-10,4.8256
1990-10-11,4.7796
1990-10-12,4.9022
1990-10-15,4.9481
1990-10-16,4.8256
1990-10-17,4.8256
1990-10-18,5.1013
1990-10-19,5.1779
1990-10-22,5.2545
1990-10-23,5.3311
1990-10-24,5.4077
1990-10-25,5.3311
1990-10-26,5.0707
1990-10-29,5.0554
1990-10-30,5.1167
1990-10-31,5.132
1990-11-01,5.1167
1990-11-02,5.2239
1990-11-05,5.2086
1990-11-06,5.1933
1990-11-07,4.9481
1990-11-08,5.0094
1990-11-09,5.2392
1990-11-12,5.3464
1990-11-13,5.2698
1990-11-14,5.5456
1990-11-15,5.4384
1990-11-16,5.423
1990-11-19,5.469
1990-11-20,5.423
1990-11-21,5.469
1990-11-23,5.5456
1990-11-26,5.5149
1990-11-27,5.5303
1990-11-28,5.5456
1990-11-29,5.4384
1990-11-30,5.6682
1990-12-03,5.6528
1990-12-04,5.5762
1990-12-05,5.6988
1990-12-06,5.7907
1990-12-07,5.6988
1990-12-10,5.8979
1990-12-11,5.7601
1990-12-12,5.7294
1990-12-13,5.852
1990-12-14,5.7754
1990-12-17,5.7601
1990-12-18,5.8367
1990-12-19,5.8979
1990-12-20,5.8367
1990-12-21,5.7294
1990-12-24,5.6704
1990-12-26,5.6859
1990-12-27,5.6393
1990-12-28,5.7636
1990-12-31,5.9034
1991-01-02,5.8413
1991-01-03,5.6704
1991-01-04,5.717
1991-01-07,5.6238
1991-01-08,5.6082
1991-01-09,5.5461
1991-01-10,5.717
1991-01-11,5.7791
1991-01-14,5.6238
1991-01-15,5.6549
1991-01-16,5.5927
1991-01-17,6.0588
1991-01-18,6.152
1991-01-21,6.0588
1991-01-22,5.9345
1991-01-23,5.8257
1991-01-24,6.0898
1991-01-25,6.2452
1991-01-28,6.1986
1991-01-29,6.2918
1991-01-30,6.4472
1991-01-31,6.5404
1991-02-01,6.3384
1991-02-04,6.3229
1991-02-05,6.5404
1991-02-06,6.5404
1991-02-07,6.385
1991-02-08,6.4161
1991-02-11,6.618
1991-02-12,6.7268
1991-02-13,6.9132
1991-02-14,6.82
1991-02-15,6.8666
1991-02-19,6.8511
1991-02-20,6.5404
1991-02-21,6.6025
1991-02-22,6.5404
1991-02-25,6.6646
1991-02-26,6.618
1991-02-27,6.5714
1991-02-28,6.6336
1991-03-01,6.7423
1991-03-04,6.7423
1991-03-05,6.8666
1991-03-06,6.8355
1991-03-07,6.7423
1991-03-08,6.587
1991-03-11,6.4316
1991-03-12,6.5248
1991-03-13,6.5559
1991-03-14,6.618
1991-03-15,6.6025
1991-03-18,6.3695
1991-03-19,6.2452
1991-03-20,6.1831
1991-03-21,6.1209
1991-03-22,6.0139
1991-03-25,6.0453
1991-03-26,6.1083
1991-03-27,6.2185
1991-03-28,6.1398
1991-04-01,6.0926
1991-04-02,6.2343
1991-04-03,6.3917
1991-04-04,6.3602
1991-04-05,6.1398
1991-04-08,6.2973
1991-04-09,6.1398
1991-04-10,5.9194
1991-04-11,5.9194
1991-04-12,5.9509
1991-04-15,6.2973
1991-04-16,6.1241
1991-04-17,6.4232
1991-04-18,6.5176
1991-04-19,6.376
1991-04-22,6.2658
1991-04-23,6.2185
1991-04-24,6.2658
1991-04-25,6.2028
1991-04-26,6.187
1991-04-29,6.1713
1991-04-30,6.3287
1991-05-01,6.3287
1991-05-02,6.4704
1991-05-03,6.5019
1991-05-06,6.4232
1991-05-07,6.2815
1991-05-08,6.376
1991-05-09,6.4389
1991-05-10,6.2185
1991-05-13,6.376
1991-05-14,6.4704
1991-05-15,6.4704
1991-05-16,6.5019
1991-05-17,6.5176
1991-05-20,6.7695
1991-05-21,6.7223
1991-05-22,6.8483
1991-05-23,6.7223
1991-05-24,6.7538
1991-05-28,6.801
1991-05-29,6.7066
1991-05-30,6.864
1991-05-31,6.9899
1991-06-03,7.1474
1991-06-04,7.2576
1991-06-05,7.1788
1991-06-06,6.9742
1991-06-07,7.0687
1991-06-10,7.1001
1991-06-11,6.9585
1991-06-12,6.8483
1991-06-13,6.9742
1991-06-14,7.0372
1991-06-17,6.9585
1991-06-18,6.9112
1991-06-19,6.9742
1991-06-20,7.0057
1991-06-21,7.0844
1991-06-24,6.8646
1991-06-25,6.8168
1991-06-26,6.8646
1991-06-27,6.9124
1991-06-28,6.769
1991-07-01,6.8009
1991-07-02,6.8805
1991-07-03,6.8327
1991-07-05,6.8327
1991-07-08,6.8805
1991-07-09,6.8646
1991-07-10,6.7213
1991-07-11,6.8965
1991-07-12,6.9124
1991-07-15,6.9761
1991-07-16,6.9602
1991-07-17,6.9442
1991-07-18,6.8965
1991-07-19,6.9283
1991-07-22,7.0557
1991-07-23,7.0239
1991-07-24,7.0398
1991-07-25,7.1194
1991-07-26,7.0876
1991-07-29,7.0876
1991-07-30,7.0876
1991-07-31,7.0717
1991-08-01,7.1035
1991-08-02,6.992
1991-08-05,6.8805
1991-08-06,7.0876
1991-08-07,6.9442
1991-08-08,6.8805
1991-08-09,6.8327
1991-08-12,6.8009
1991-08-13,6.785
1991-08-14,6.769
1991-08-15,6.8487
1991-08-16,6.6894
1991-08-19,6.4664
1991-08-20,6.4346
1991-08-21,6.5938
1991-08-22,6.7213
1991-08-23,6.8168
1991-08-26,6.8487
1991-08-27,6.8168
1991-08-28,6.8965
1991-08-29,6.8327
1991-08-30,6.8009
1991-09-03,6.7053
1991-09-04,6.7213
1991-09-05,6.8168
1991-09-06,6.785
1991-09-09,6.7213
1991-09-10,6.6257
1991-09-11,6.6098
1991-09-12,6.562
1991-09-13,6.5779
1991-09-16,6.6575
1991-09-17,6.562
1991-09-18,6.6894
1991-09-19,6.785
1991-09-20,6.7531
1991-09-23,6.7372
1991-09-24,6.6437
1991-09-25,6.7404
1991-09-26,6.7404
1991-09-27,6.6759
1991-09-30,6.7404
1991-10-01,6.7727
1991-10-02,6.7243
1991-10-03,6.6437
1991-10-04,6.4824
1991-10-07,6.4018
1991-10-08,6.2889
1991-10-09,6.3857
1991-10-10,6.5308
1991-10-11,6.5147
1991-10-14,6.7727
1991-10-15,6.7888
1991-10-16,6.821
1991-10-17,6.7243
1991-10-18,6.821
1991-10-21,6.821
1991-10-22,6.7565
1991-10-23,6.8372
1991-10-24,6.7243
1991-10-25,6.7082
1991-10-28,6.7888
1991-10-29,6.8372
1991-10-30,6.9017
1991-10-31,6.9662
1991-11-01,6.9178
1991-11-04,6.8372
1991-11-05,6.7727
1991-11-06,6.8372
1991-11-07,6.7727
1991-11-08,6.8049
1991-11-11,6.7888
1991-11-12,6.7727
1991-11-13,6.7888
1991-11-14,6.6437
1991-11-15,6.4018
1991-11-18,6.4663
1991-11-19,6.4824
1991-11-20,6.5469
1991-11-21,6.4985
1991-11-22,6.4179
1991-11-25,6.3211
1991-11-26,6.4663
1991-11-27,6.3534
1991-11-29,6.3534
1991-12-02,6.434
1991-12-03,6.3211
1991-12-04,6.305
1991-12-05,6.2728
1991-12-06,6.305
1991-12-09,6.2889
1991-12-10,6.1599
1991-12-11,6.2889
1991-12-12,6.2566
1991-12-13,6.4502
1991-12-16,6.4502
1991-12-17,6.4018
1991-12-18,6.4502
1991-12-19,6.434
1991-12-20,6.5469
1991-12-23,6.7243
1991-12-24,6.8255
1991-12-26,6.9072
1991-12-27,6.8255
1991-12-30,6.9725
1991-12-31,7.0215
1992-01-02,7.1031
1992-01-03,7.0215
1992-01-06,6.7765
1992-01-07,7.1358
1992-01-08,7.1684
1992-01-09,7.0705
1992-01-10,7.1521
1992-01-13,7.0378
1992-01-14,6.7929
1992-01-15,6.9072
1992-01-16,7.446
1992-01-17,7.3154
1992-01-20,7.3317
1992-01-21,7.2664
1992-01-22,7.1358
1992-01-23,7.1358
1992-01-24,7.0868
1992-01-27,7.0705
1992-01-28,7.0868
1992-01-29,6.9235
1992-01-30,7.1031
1992-01-31,7.0868
1992-02-03,7.0705
1992-02-04,7.1684
1992-02-05,7.1848
1992-02-06,7.3807
1992-02-07,7.2991
1992-02-10,7.4787
1992-02-11,7.3481
1992-02-12,7.3481
1992-02-13,7.4134
1992-02-14,7.6746
1992-02-18,7.3481
1992-02-19,7.3154
1992-02-20,7.5113
1992-02-21,7.4297
1992-02-24,7.4787
1992-02-25,7.4297
1992-02-26,7.3317
1992-02-27,7.2991
1992-02-28,7.2664
1992-03-02,7.4134
1992-03-03,7.5766
1992-03-04,7.5603
1992-03-05,7.4134
1992-03-06,7.3807
1992-03-09,7.2664
1992-03-10,7.3317
1992-03-11,7.3807
1992-03-12,7.4134
1992-03-13,7.5277
1992-03-16,7.5603
1992-03-17,7.8053
1992-03-18,7.7889
1992-03-19,7.8216
1992-03-20,7.8543
1992-03-23,8.0829
1992-03-24,8.0665
1992-03-25,8.0203
1992-03-26,8.1358
1992-03-27,8.0368
1992-03-30,7.8883
1992-03-31,7.8553
1992-04-01,7.7893
1992-04-02,7.8718
1992-04-03,7.8553
1992-04-06,8.0368
1992-04-07,7.7233
1992-04-08,7.7893
1992-04-09,7.7893
1992-04-10,7.9708
1992-04-13,7.9708
1992-04-14,8.0863
1992-04-15,8.2183
1992-04-16,8.2018
1992-04-20,8.0203
1992-04-21,7.9543
1992-04-22,7.9708
1992-04-23,8.0863
1992-04-24,8.0863
1992-04-27,8.1028
1992-04-28,8.1028
1992-04-29,8.1523
1992-04-30,8.2018
1992-05-01,8.1523
1992-05-04,8.1853
1992-05-05,8.1358
1992-05-06,8.0038
1992-05-07,8.0203
1992-05-08,7.9048
1992-05-11,7.9708
1992-05-12,8.0368
1992-05-13,8.0533
1992-05-14,8.0368
1992-05-15,7.9378
1992-05-18,7.9543
1992-05-19,8.1193
1992-05-20,8.2514
1992-05-21,8.1688
1992-05-22,8.1358
1992-05-26,7.9873
1992-05-27,7.9543
1992-05-28,8.1853
1992-05-29,8.0533
1992-06-01,8.0863
1992-06-02,8.2183
1992-06-03,8.1523
1992-06-04,8.1688
1992-06-05,8.2348
1992-06-08,8.1688
1992-06-09,7.9873
1992-06-10,8.0698
1992-06-11,8.1853
1992-06-12,8.1193
1992-06-15,8.0698
1992-06-16,7.9873
1992-06-17,7.9048
1992-06-18,7.5912
1992-06-19,7.5582
1992-06-22,7.5582
1992-06-23,7.5747
1992-06-24,7.5447
1992-06-25,7.5948
1992-06-26,7.5948
1992-06-29,7.7116
1992-06-30,7.6949
1992-07-01,7.6615
1992-07-02,7.5113
1992-07-06,7.3277
1992-07-07,7.0773
1992-07-08,7.0773
1992-07-09,7.1775
1992-07-10,7.2276
1992-07-13,7.3277
1992-07-14,7.3778
1992-07-15,7.1274
1992-07-16,7.1107
1992-07-17,7.1107
1992-07-20,7.2109
1992-07-21,7.1107
1992-07-22,7.0606
1992-07-23,7.1608
1992-07-24,7.3611
1992-07-27,7.311
1992-07-28,7.5447
1992-07-29,7.7116
1992-07-30,7.6782
1992-07-31,7.8118
1992-08-03,7.6282
1992-08-04,7.7116
1992-08-05,7.7283
1992-08-06,7.7283
1992-08-07,7.5447
1992-08-10,7.6449
1992-08-11,7.6615
1992-08-12,7.5113
1992-08-13,7.4946
1992-08-14,7.6115
1992-08-17,7.5614
1992-08-18,7.5781
1992-08-19,7.5948
1992-08-20,7.528
1992-08-21,7.3444
1992-08-24,7.2943
1992-08-25,7.2443
1992-08-26,7.261
1992-08-27,7.2776
1992-08-28,7.5447
1992-08-31,7.5113
1992-09-01,7.4779
1992-09-02,7.6282
1992-09-03,7.6282
1992-09-04,7.4279
1992-09-08,7.4112
1992-09-09,7.4779
1992-09-10,7.5614
1992-09-11,7.528
1992-09-14,7.8786
1992-09-15,7.7784
1992-09-16,7.5614
1992-09-17,7.5614
1992-09-18,7.7283
1992-09-21,7.6282
1992-09-22,7.5447
1992-09-23,7.5614
1992-09-24,7.5985
1992-09-25,7.5479
1992-09-28,7.6999
1992-09-29,7.6999
1992-09-30,7.5817
1992-10-01,7.531
1992-10-02,7.2777
1992-10-05,7.2777
1992-10-06,7.2608
1992-10-07,7.2946
1992-10-08,7.4466
1992-10-09,7.2271
1992-10-12,7.3453
1992-10-13,7.3284
1992-10-14,7.1257
1992-10-15,7.1426
1992-10-16,7.2946
1992-10-19,7.3453
1992-10-20,7.2608
1992-10-21,7.3284
1992-10-22,7.3959
1992-10-23,7.3453
1992-10-26,7.4297
1992-10-27,7.5479
1992-10-28,7.5817
1992-10-29,7.5817
1992-10-30,7.5479
1992-11-02,7.5648
1992-11-03,7.4972
1992-11-04,7.3959
1992-11-05,7.4128
1992-11-06,7.3453
1992-11-09,7.379
1992-11-10,7.2946
1992-11-11,7.2102
1992-11-12,7.2439
1992-11-13,7.1764
1992-11-16,7.1595
1992-11-17,7.0582
