Date,Settle
1990-01-02,17.6852
1990-01-03,17.5669
1990-01-04,17.2711
1990-01-05,16.8571
1990-01-08,16.9754
1990-01-09,16.6205
1990-01-10,16.7979
1990-01-11,16.9754
1990-01-12,16.7092
1990-01-15,16.2065
1990-01-16,16.5318
1990-01-17,16.4135
1990-01-18,16.236
1990-01-19,16.2065
1990-01-22,15.7333
1990-01-23,15.6741
1990-01-24,15.8812
1990-01-25,15.8812
1990-01-26,15.822
1990-01-29,15.4376
1990-01-30,15.0827
1990-01-31,15.3784
1990-02-01,15.615
1990-02-02,15.7629
1990-02-05,15.7629
1990-02-06,15.5558
1990-02-07,15.408
1990-02-08,15.2601
1990-02-09,15.1418
1990-02-12,14.6095
1990-02-13,14.9052
1990-02-14,14.9939
1990-02-15,15.3193
1990-02-16,15.3488
1990-02-20,15.2305
1990-02-21,15.3488
1990-02-22,15.2305
1990-02-23,15.1418
1990-02-26,15.3488
1990-02-27,15.3784
1990-02-28,15.4967
1990-03-01,15.2601
1990-03-02,15.822
1990-03-05,15.7037
1990-03-06,15.822
1990-03-07,16.0586
1990-03-08,16.7092
1990-03-09,16.5022
1990-03-12,16.2656
1990-03-13,16.0586
1990-03-14,16.2065
1990-03-15,16.4431
1990-03-16,16.7684
1990-03-19,17.0937
1990-03-20,16.9162
1990-03-21,16.8275
1990-03-22,16.6501
1990-03-23,16.6501
1990-03-26,16.8987
1990-03-27,17.6386
1990-03-28,17.2538
1990-03-29,17.165
1990-03-30,17.4018
1990-04-02,16.9283
1990-04-03,17.0467
1990-04-04,16.9875
1990-04-05,17.0171
1990-04-06,17.4018
1990-04-09,17.5202
1990-04-10,17.6386
1990-04-11,17.4314
1990-04-12,17.9641
1990-04-16,17.9641
1990-04-17,17.8161
1990-04-18,17.2538
1990-04-19,17.461
1990-04-20,17.3722
1990-04-23,17.1354
1990-04-24,17.0171
1990-04-25,16.9875
1990-04-26,17.0171
1990-04-27,17.0171
1990-04-30,16.9875
1990-05-01,16.8691
1990-05-02,16.9875
1990-05-03,17.3426
1990-05-04,17.9345
1990-05-07,18.4672
1990-05-08,18.4672
1990-05-09,18.3192
1990-05-10,18.408
1990-05-11,19.2663
1990-05-14,19.7102
1990-05-15,20.5388
1990-05-16,20.3909
1990-05-17,20.1245
1990-05-18,20.2133
1990-05-21,20.4501
1990-05-22,20.5684
1990-05-23,20.8348
1990-05-24,20.6572
1990-05-25,20.8052
1990-05-29,21.0124
1990-05-30,21.1899
1990-05-31,21.7226
1990-06-01,21.2491
1990-06-04,21.3083
1990-06-05,21.0716
1990-06-06,20.8644
1990-06-07,20.8052
1990-06-08,20.1837
1990-06-11,20.0653
1990-06-12,20.5093
1990-06-13,20.894
1990-06-14,20.8052
1990-06-15,20.746
1990-06-18,20.4797
1990-06-19,20.3021
1990-06-20,20.4797
1990-06-21,20.7756
1990-06-22,20.6572
1990-06-25,20.3433
1990-06-26,19.8992
1990-06-27,20.3433
1990-06-28,20.2545
1990-06-29,20.8467
1990-07-02,20.9948
1990-07-03,21.5574
1990-07-05,21.2909
1990-07-06,21.2909
1990-07-09,21.439
1990-07-10,21.2909
1990-07-11,21.7351
1990-07-12,22.1497
1990-07-13,22.1497
1990-07-16,22.1793
1990-07-17,22.0904
1990-07-18,21.6463
1990-07-19,21.6759
1990-07-20,21.1429
1990-07-23,21.0244
1990-07-24,20.8764
1990-07-25,20.8764
1990-07-26,20.906
1990-07-27,20.7283
1990-07-30,20.6691
1990-07-31,20.2545
1990-08-01,19.8992
1990-08-02,19.3662
1990-08-03,19.6623
1990-08-06,19.0108
1990-08-07,18.9516
1990-08-08,19.9584
1990-08-09,20.0768
1990-08-10,20.1657
1990-08-13,20.0472
1990-08-14,20.1361
1990-08-15,19.8992
1990-08-16,19.5734
1990-08-17,19.3069
1990-08-20,19.3365
1990-08-21,18.8331
1990-08-22,18.537
1990-08-23,17.7671
1990-08-24,18.2113
1990-08-27,18.9516
1990-08-28,18.8628
1990-08-29,18.922
1990-08-30,18.7147
1990-08-31,18.8628
1990-09-04,19.0108
1990-09-05,19.6327
1990-09-06,19.3662
1990-09-07,19.3069
1990-09-10,19.3069
1990-09-11,19.2477
1990-09-12,19.07
1990-09-13,18.6555
1990-09-14,18.6851
1990-09-17,18.922
1990-09-18,18.922
1990-09-19,19.1885
1990-09-20,18.9812
1990-09-21,18.7739
1990-09-24,17.7783
1990-09-25,18.2524
1990-09-26,18.3709
1990-09-27,18.1339
1990-09-28,18.5784
1990-10-01,18.9043
1990-10-02,19.0228
1990-10-03,17.8376
1990-10-04,17.5413
1990-10-05,17.7783
1990-10-08,17.9561
1990-10-09,17.0672
1990-10-10,16.119
1990-10-11,15.4968
1990-10-12,16.1783
1990-10-15,16.119
1990-10-16,16.119
