Date,Settle
1990-01-02,4.8961
1990-01-03,4.9839
1990-01-04,4.9839
1990-01-05,4.9059
1990-01-08,4.9839
1990-01-09,4.9449
1990-01-10,4.9547
1990-01-11,4.9839
1990-01-12,4.9157
1990-01-15,4.8669
1990-01-16,4.8767
1990-01-17,4.8279
1990-01-18,4.8376
1990-01-19,4.9157
1990-01-22,4.8669
1990-01-23,4.8864
1990-01-24,5.0424
1990-01-25,4.9742
1990-01-26,4.8961
1990-01-29,4.9937
1990-01-30,5.101
1990-01-31,5.1302
1990-02-01,5.1693
1990-02-02,5.2083
1990-02-05,5.1595
1990-02-06,5.218
1990-02-07,5.2863
1990-02-08,5.257
1990-02-09,5.2473
1990-02-12,5.2083
1990-02-13,5.2278
1990-02-14,5.2473
1990-02-15,5.2473
1990-02-16,5.1985
1990-02-20,5.1887
1990-02-21,5.2278
1990-02-22,5.3741
1990-02-23,5.2863
1990-02-26,5.3448
1990-02-27,5.4521
1990-02-28,5.5106
1990-03-01,5.4521
1990-03-02,5.4521
1990-03-05,5.3838
1990-03-06,5.4423
1990-03-07,5.5301
1990-03-08,5.5301
1990-03-09,5.6082
1990-03-12,5.5789
1990-03-13,5.5594
1990-03-14,5.6082
1990-03-15,5.6472
1990-03-16,5.7447
1990-03-19,5.7154
1990-03-20,5.6764
1990-03-21,5.6276
1990-03-22,5.5301
1990-03-23,5.5691
1990-03-26,5.6477
1990-03-27,5.6968
1990-03-28,5.7754
1990-03-29,5.7656
1990-03-30,5.7263
1990-04-02,5.6575
1990-04-03,5.7557
1990-04-04,5.8441
1990-04-05,5.854
1990-04-06,5.854
1990-04-09,5.8441
1990-04-10,5.8441
1990-04-11,5.8147
1990-04-12,5.8835
1990-04-16,5.9915
1990-04-17,6.129
1990-04-18,6.0602
1990-04-19,6.0013
1990-04-20,5.9325
1990-04-23,5.854
1990-04-24,5.8343
1990-04-25,5.9129
1990-04-26,5.8835
1990-04-27,5.8441
1990-04-30,5.8933
1990-05-01,5.8736
1990-05-02,5.9129
1990-05-03,5.9718
1990-05-04,6.1093
1990-05-07,6.0995
1990-05-08,6.1093
1990-05-09,6.0308
1990-05-10,5.9915
1990-05-11,6.0111
1990-05-14,6.0602
1990-05-15,5.8933
1990-05-16,5.9424
1990-05-17,6.0308
1990-05-18,6.0701
1990-05-21,6.0897
1990-05-22,5.962
1990-05-23,5.7361
1990-05-24,5.7067
1990-05-25,5.8147
1990-05-29,5.9129
1990-05-30,5.8245
1990-05-31,5.8147
1990-06-01,5.8343
1990-06-04,5.8245
