Date,Settle
2016-08-17,11.4303
2016-08-18,11.3639
2016-08-19,11.5632
2016-08-22,11.6031
2016-08-23,11.9619
2016-08-24,12.1215
2016-08-25,12.0715
2016-08-26,12.1613
2016-08-29,12.3075
2016-08-30,12.0017
2016-08-31,11.8768
2016-09-01,11.5632
2016-09-02,11.425
2016-09-06,12.0816
2016-09-07,12.7593
2016-09-08,13.3734
2016-09-09,13.0464
2016-09-12,13.1316
2016-09-13,12.8923
2016-09-14,12.8524
2016-09-15,12.9959
2016-09-16,12.8843
2016-09-19,12.9614
2016-09-20,12.9535
2016-09-21,12.871
2016-09-22,12.7673
2016-09-23,12.762
2016-09-26,12.7302
2016-09-27,12.7035
2016-09-28,12.7222
2016-09-29,12.645
2016-09-30,12.7062
2016-10-03,12.7408
2016-10-04,12.7222
2016-10-05,12.8843
2016-10-06,12.863
2016-10-07,12.778
2016-10-10,12.6318
2016-10-11,12.5307
2016-10-12,12.5228
2016-10-13,12.5281
2016-10-14,12.5574
2016-10-17,12.5973
2016-10-18,12.6743
2016-10-19,12.6823
2016-10-20,12.6796
2016-10-21,12.5574
2016-10-24,12.7434
2016-10-25,12.4909
2016-10-26,12.4192
2016-10-27,12.8471
2016-10-28,12.9906
2016-10-31,13.0491
2016-11-01,12.8843
2016-11-02,13.0252
2016-11-03,12.9641
2016-11-04,12.9242
2016-11-07,13.1634
2016-11-08,13.206
2016-11-09,13.1236
2016-11-10,13.0943
2016-11-11,13.0651
2016-11-14,13.0226
2016-11-15,13.3123
2016-11-16,13.4638
2016-11-17,13.7695
2016-11-18,13.82
2016-11-21,13.9396
2016-11-22,13.8466
2016-11-23,13.7004
2016-11-25,13.8731
2016-11-28,13.8599
2016-11-29,14.1602
2016-11-30,14.2373
2016-12-01,13.7908
2016-12-02,14.0221
2016-12-05,14.1044
2016-12-06,14.1869
2016-12-07,14.3277
2016-12-08,14.333
2016-12-09,14.3463
2016-12-12,14.3277
2016-12-13,14.2931
2016-12-14,14.4101
2016-12-15,15.088
2016-12-16,15.0029
2016-12-19,14.9896
2016-12-20,15.165
2016-12-21,15.2288
