Date,Settle
2007-06-14,21.6761
2007-06-15,21.9249
2007-06-18,22.5658
2007-06-19,22.3923
2007-06-20,22.4753
2007-06-21,23.5308
2007-06-22,23.9002
2007-06-25,23.5987
2007-06-26,22.9277
2007-06-27,22.3019
2007-06-28,22.2416
2007-06-29,21.4876
2007-07-02,20.7337
2007-07-03,20.1079
2007-07-05,19.55
2007-07-06,19.3313
2007-07-09,19.2559
2007-07-10,18.7734
2007-07-11,19.0071
2007-07-12,19.8591
2007-07-13,20.4773
2007-07-16,20.236
2007-07-17,19.9797
2007-07-18,19.8742
2007-07-19,20.138
2007-07-20,19.8289
2007-07-23,19.6932
2007-07-24,18.8488
2007-07-25,18.1702
2007-07-26,18.5623
2007-07-27,17.5897
2007-07-30,17.7706
2007-07-31,17.3786
2007-08-01,17.2504
2007-08-02,17.6198
2007-08-03,16.5794
2007-08-06,16.7
2007-08-07,17.2504
2007-08-08,18.3135
2007-08-09,16.7076
2007-08-10,15.7274
2007-08-13,16.6623
2007-08-14,16.5568
2007-08-15,16.3306
2007-08-16,17.2278
2007-08-17,17.4766
2007-08-20,17.6802
2007-08-21,17.846
2007-08-22,17.8913
2007-08-23,17.8686
2007-08-24,18.0873
2007-08-27,17.9667
2007-08-28,17.1222
2007-08-29,17.5897
2007-08-30,17.1599
2007-08-31,17.4464
2007-09-04,17.6651
2007-09-05,17.0016
2007-09-06,16.798
2007-09-07,15.9159
2007-09-10,15.5012
2007-09-11,15.5389
2007-09-12,15.833
2007-09-13,16.0893
2007-09-14,16.0365
2007-09-17,16.0742
2007-09-18,17.4087
2007-09-19,17.65
2007-09-20,17.0845
2007-09-21,16.8885
2007-09-24,16.783
2007-09-25,16.3758
2007-09-26,16.0215
2007-09-27,15.5842
2007-09-28,15.6822
2007-10-01,16.2627
2007-10-02,16.1119
2007-10-03,16.1422
2007-10-04,16.6487
2007-10-05,17.1856
2007-10-08,17.1251
2007-10-09,17.4124
2007-10-10,17.1251
2007-10-11,16.6563
2007-10-12,16.7319
2007-10-15,16.1649
2007-10-16,15.8246
2007-10-17,15.7112
2007-10-18,15.5222
2007-10-19,14.9703
2007-10-22,14.8795
2007-10-23,14.6754
2007-10-24,13.9042
2007-10-25,13.2767
2007-10-26,14.3125
2007-10-29,14.7359
2007-10-30,15.2273
2007-10-31,14.5922
2007-11-01,14.0025
2007-11-02,13.7454
2007-11-05,13.7227
2007-11-06,13.7908
2007-11-07,13.0498
2007-11-08,13.3825
2007-11-09,13.4732
2007-11-12,13.6169
2007-11-13,14.3654
2007-11-14,13.8286
2007-11-15,13.3674
2007-11-16,13.4279
2007-11-19,12.6567
2007-11-20,12.4299
2007-11-21,12.2862
2007-11-23,12.6113
2007-11-26,12.324
2007-11-27,12.6642
2007-11-28,13.3447
2007-11-29,13.065
2007-11-30,13.133
2007-12-03,12.3921
2007-12-04,12.256
2007-12-05,12.4374
2007-12-06,13.0952
2007-12-07,12.6718
2007-12-10,13.0574
2007-12-11,12.3391
2007-12-12,12.4828
2007-12-13,12.4147
2007-12-14,11.825
2007-12-17,11.8023
2007-12-18,12.014
2007-12-19,12.014
2007-12-20,11.6889
2007-12-21,11.7191
2007-12-24,11.8174
2007-12-26,11.8779
2007-12-27,11.4923
2007-12-28,11.2957
2007-12-31,11.4476
2008-01-02,11.3109
2008-01-03,11.2578
2008-01-04,10.5822
2008-01-07,10.9162
2008-01-08,10.3241
2008-01-09,10.7644
2008-01-10,10.8251
2008-01-11,10.4228
2008-01-14,10.2937
2008-01-15,10.0204
2008-01-16,9.9217
2008-01-17,9.527
2008-01-18,9.5877
2008-01-22,9.6484
2008-01-23,11.0832
2008-01-24,11.9182
2008-01-25,11.8119
2008-01-28,12.146
2008-01-29,12.4117
2008-01-30,12.3737
2008-01-31,13.2771
2008-02-01,13.6338
2008-02-04,12.4041
2008-02-05,11.9941
2008-02-06,11.9714
2008-02-07,12.3054
2008-02-08,11.8651
2008-02-11,11.5159
2008-02-12,11.3717
2008-02-13,11.5994
2008-02-14,11.2426
2008-02-15,10.8023
2008-02-19,10.6049
2008-02-20,11.0604
2008-02-21,10.7492
2008-02-22,11.4628
2008-02-25,11.7664
2008-02-26,12.2902
2008-02-27,12.2219
2008-02-28,11.9638
2008-02-29,11.4552
2008-03-03,11.3717
2008-03-04,11.1819
2008-03-05,11.1743
2008-03-06,10.4759
2008-03-07,10.7416
2008-03-10,10.0963
2008-03-11,11.4096
2008-03-12,11.5994
2008-03-13,11.9562
2008-03-14,11.7436
2008-03-17,11.5235
2008-03-18,13.2087
2008-03-19,11.5387
2008-03-20,12.7229
