Date,Settle
2009-11-13,20.6802
2009-11-16,21.0168
2009-11-17,20.9622
2009-11-18,20.5164
2009-11-19,20.8076
2009-11-20,21.1169
2009-11-23,21.2898
2009-11-24,21.3808
2009-11-25,21.5991
2009-11-27,21.0623
2009-11-30,20.9258
2009-12-01,21.2079
2009-12-02,21.4717
2009-12-03,21.2079
2009-12-04,21.6992
2009-12-07,21.499
2009-12-08,21.499
2009-12-09,21.8357
2009-12-10,21.5627
2009-12-11,21.2352
2009-12-14,20.7439
2009-12-15,20.6438
2009-12-16,20.6802
2009-12-17,20.4164
2009-12-18,20.5346
2009-12-21,20.5619
2009-12-22,20.38
2009-12-23,20.3891
2009-12-24,20.1525
2009-12-28,20.5801
2009-12-29,20.571
2009-12-30,20.571
2009-12-31,20.4073
2010-01-04,20.9986
2010-01-05,21.1624
2010-01-06,21.4535
2010-01-07,21.5991
2010-01-08,21.7174
2010-01-11,21.8357
2010-01-12,21.7902
2010-01-13,22.1086
2010-01-14,22.0176
2010-01-15,22.1632
2010-01-19,22.3361
2010-01-20,22.2997
2010-01-21,21.8175
2010-01-22,21.2352
2010-01-25,21.2443
2010-01-26,21.4081
2010-01-27,21.4262
2010-01-28,21.6901
2010-01-29,21.3717
2010-02-01,21.2625
2010-02-02,21.499
2010-02-03,21.6901
2010-02-04,20.4436
2010-02-05,19.7522
2010-02-08,20.3709
2010-02-09,20.5255
2010-02-10,20.0615
2010-02-11,20.0706
2010-02-12,20.5164
2010-02-16,20.9531
2010-02-17,20.7075
2010-02-18,21.1806
2010-02-19,21.4535
2010-02-22,21.1442
2010-02-23,21.5081
2010-02-24,21.9812
2010-02-25,21.6537
2010-02-26,21.7356
2010-03-01,21.9176
2010-03-02,21.8721
2010-03-03,21.8266
2010-03-04,22.0176
2010-03-05,22.3088
2010-03-08,22.4452
2010-03-09,22.8547
2010-03-10,22.8001
2010-03-11,22.8456
2010-03-12,22.8638
2010-03-15,22.7728
2010-03-16,22.8547
2010-03-17,23.4915
2010-03-18,22.9638
2010-03-19,23.2914
2010-03-22,22.7546
2010-03-23,22.9093
2010-03-24,22.9729
2010-03-25,22.2269
2010-03-26,22.7364
2010-03-29,23.0639
2010-03-30,23.4642
2010-03-31,22.9729
2010-04-01,23.2186
2010-04-05,23.4733
2010-04-06,24.5742
2010-04-07,24.1557
2010-04-08,24.1193
2010-04-09,24.0829
2010-04-12,23.8737
2010-04-13,24.5924
2010-04-14,25.0382
2010-04-15,24.5651
2010-04-16,26.0208
2010-04-19,26.3939
2010-04-20,25.7024
2010-04-21,25.6478
2010-04-22,26.867
2010-04-23,26.7305
2010-04-26,26.9125
2010-04-27,26.3757
2010-04-28,26.3939
2010-04-29,26.503
2010-04-30,25.9935
2010-05-03,26.403
2010-05-04,26.0572
2010-05-05,25.9481
2010-05-06,25.3931
2010-05-07,24.738
2010-05-10,25.2202
2010-05-11,25.4568
2010-05-12,26.7123
2010-05-13,26.7851
2010-05-14,26.6304
2010-05-17,26.7942
2010-05-18,26.6486
2010-05-19,27.0216
2010-05-20,26.4121
2010-05-21,26.8852
2010-05-24,27.3037
2010-05-25,27.8496
2010-05-26,27.6949
2010-05-27,27.8769
2010-05-28,27.5038
2010-06-01,27.7859
2010-06-02,28.5319
2010-06-03,27.9315
2010-06-04,27.331
2010-06-07,26.594
2010-06-08,27.1399
2010-06-09,27.2946
2010-06-10,27.2764
2010-06-11,27.2673
2010-06-14,27.4947
2010-06-15,27.2946
2010-06-16,27.5675
2010-06-17,27.2036
2010-06-18,27.4311
2010-06-21,26.958
2010-06-22,26.2847
2010-06-23,26.503
2010-06-24,26.503
2010-06-25,26.4576
2010-06-28,26.3029
2010-06-29,25.8298
2010-06-30,25.0655
2010-07-01,25.5932
2010-07-02,25.484
2010-07-06,25.4749
2010-07-07,25.4295
2010-07-08,25.1383
2010-07-09,25.6023
2010-07-12,24.9927
2010-07-13,25.202
2010-07-14,25.6842
2010-07-15,27.1126
2010-07-16,26.4666
2010-07-19,26.6304
2010-07-20,26.8579
2010-07-21,26.312
2010-07-22,26.3666
2010-07-23,26.7214
2010-07-26,27.0125
2010-07-27,26.7123
2010-07-28,26.8397
2010-07-29,26.13
2010-07-30,26.5485
2010-08-02,26.8488
2010-08-03,26.685
2010-08-04,27.3856
2010-08-05,26.9216
2010-08-06,26.7851
2010-08-09,26.9852
2010-08-10,26.7032
2010-08-11,25.8753
2010-08-12,26.3848
2010-08-13,26.1664
2010-08-16,26.4576
2010-08-17,26.7123
2010-08-18,26.7396
2010-08-19,26.3848
2010-08-20,26.7851
2010-08-23,25.6114
2010-08-24,25.4931
2010-08-25,25.8844
2010-08-26,25.9299
2010-08-27,25.5568
2010-08-30,24.9109
2010-08-31,24.8472
2010-09-01,25.4931
2010-09-02,26.1118
2010-09-03,25.5022
2010-09-07,25.4749
2010-09-08,25.1838
2010-09-09,24.8654
2010-09-10,24.9745
2010-09-13,24.9473
2010-09-14,24.9291
2010-09-15,24.9927
2010-09-16,25.1838
2010-09-17,24.9473
2010-09-20,25.293
2010-09-21,25.2293
2010-09-22,25.1747
2010-09-23,24.9745
2010-09-24,25.6842
2010-09-27,26.6122
2010-09-28,27.0762
2010-09-29,26.867
2010-09-30,26.6122
2010-10-01,26.5212
2010-10-04,26.3302
2010-10-05,26.6031
2010-10-06,27.0762
2010-10-07,27.1399
2010-10-08,27.2946
2010-10-11,26.6941
2010-10-12,26.2119
2010-10-13,26.6031
2010-10-14,26.3848
2010-10-15,26.3211
2010-10-18,26.6941
2010-10-19,25.575
2010-10-20,25.5659
2010-10-21,25.384
2010-10-22,25.6569
2010-10-25,26.0117
2010-10-26,25.7661
2010-10-27,25.4204
2010-10-28,25.4204
2010-10-29,25.6478
2010-11-01,25.4204
2010-11-02,26.0572
2010-11-03,25.9753
2010-11-04,25.7934
2010-11-05,25.4749
2010-11-08,25.8207
2010-11-09,26.0026
2010-11-10,26.4394
2010-11-11,27.0034
2010-11-12,26.403
2010-11-15,26.2756
2010-11-16,26.5303
2010-11-17,27.0307
2010-11-18,27.3674
2010-11-19,28.168
2010-11-22,29.096
2010-11-23,30.2788
2010-11-24,30.0331
2010-11-26,29.7875
2010-11-29,29.8239
2010-11-30,29.8785
2010-12-01,29.3963
2010-12-02,29.0505
2010-12-03,30.4153
2010-12-06,28.1953
2010-12-07,28.7503
2010-12-08,28.0588
2010-12-09,28.0497
2010-12-10,28.2681
2010-12-13,28.2044
2010-12-14,27.7495
2010-12-15,27.7586
2010-12-16,27.9315
2010-12-17,27.8951
2010-12-20,28.1953
2010-12-21,28.4774
2010-12-22,28.2863
2010-12-23,28.0315
2010-12-27,27.8678
2010-12-28,27.8587
2010-12-29,28.0133
2010-12-30,27.8223
2010-12-31,27.9042
2011-01-03,27.9042
2011-01-04,27.7859
2011-01-05,27.3856
2011-01-06,27.1126
2011-01-07,27.1399
2011-01-10,27.2946
2011-01-11,26.9216
2011-01-12,26.8033
2011-01-13,26.1118
2011-01-14,26.8033
2011-01-18,27.2946
2011-01-19,26.685
2011-01-20,26.8215
2011-01-21,26.7578
2011-01-24,26.3848
2011-01-25,26.1118
2011-01-26,26.1573
2011-01-27,26.0845
2011-01-28,25.8389
2011-01-31,25.3021
2011-02-01,26.2483
2011-02-02,25.1383
2011-02-03,24.9745
2011-02-04,24.9927
2011-02-07,25.384
2011-02-08,25.4749
2011-02-09,25.3931
2011-02-10,25.1565
2011-02-11,24.7835
2011-02-14,24.4287
2011-02-15,24.5014
2011-02-16,26.9671
2011-02-17,26.8579
2011-02-18,26.6122
2011-02-22,25.9117
2011-02-23,25.4477
2011-02-24,25.7934
2011-02-25,25.4749
2011-02-28,25.7024
2011-03-01,25.7297
2011-03-02,25.7206
2011-03-03,25.4568
2011-03-04,25.9026
2011-03-07,25.384
2011-03-08,25.5022
2011-03-09,25.4749
2011-03-10,25.575
2011-03-11,26.221
2011-03-14,26.0663
2011-03-15,26.2756
2011-03-16,27.0944
2011-03-17,27.0671
2011-03-18,27.1581
2011-03-21,27.6403
2011-03-22,28.0588
2011-03-23,27.8496
2011-03-24,28.4137
2011-03-25,28.7048
2011-03-28,28.6502
2011-03-29,27.7677
2011-03-30,28.6957
2011-03-31,28.5228
2011-04-01,28.7048
2011-04-04,28.7503
2011-04-05,29.3235
2011-04-06,29.4327
2011-04-07,29.5782
2011-04-08,28.9505
2011-04-11,28.7776
2011-04-12,28.9414
2011-04-13,28.8686
2011-04-14,28.6138
2011-04-15,28.6502
2011-04-18,28.6502
2011-04-19,28.5319
2011-04-20,28.2044
2011-04-21,28.3591
2011-04-25,29.0778
2011-04-26,29.2962
2011-04-27,29.9149
2011-04-28,30.0695
2011-04-29,29.651
2011-05-02,30.0786
2011-05-03,30.1878
2011-05-04,29.7693
2011-05-05,29.5782
2011-05-06,29.9786
2011-05-09,30.0331
2011-05-10,30.1059
2011-05-11,30.4062
2011-05-12,30.67
2011-05-13,30.3789
2011-05-16,30.4699
2011-05-17,30.5881
2011-05-18,30.9885
2011-05-19,30.579
2011-05-20,30.5972
2011-05-23,29.9331
2011-05-24,29.7966
2011-05-25,30.1696
2011-05-26,30.8338
2011-05-27,31.5343
2011-05-31,31.9074
2011-06-01,28.9414
2011-06-02,29.0869
2011-06-03,28.9687
2011-06-06,29.3417
2011-06-07,29.5054
2011-06-08,29.3963
2011-06-09,29.7511
2011-06-10,29.6328
2011-06-13,30.0422
2011-06-14,30.4335
2011-06-15,30.3516
2011-06-16,30.1878
2011-06-17,30.8338
2011-06-20,31.1795
2011-06-21,31.2978
2011-06-22,30.9157
2011-06-23,30.5426
2011-06-24,30.4244
2011-06-27,30.1059
2011-06-28,30.4426
2011-06-29,30.4062
2011-06-30,30.8338
2011-07-01,30.9339
2011-07-05,31.0157
2011-07-06,31.0248
2011-07-07,31.0521
2011-07-08,30.8065
2011-07-11,30.2788
2011-07-12,30.2697
2011-07-13,30.3425
2011-07-14,30.3516
2011-07-15,30.2151
2011-07-18,30.0786
2011-07-19,30.7701
2011-07-20,30.2242
2011-07-21,30.3971
2011-07-22,30.206
2011-07-25,29.5509
2011-07-26,29.5691
2011-07-27,28.8777
2011-07-28,28.6593
2011-07-29,28.6229
2011-08-01,28.3318
2011-08-02,27.7677
2011-08-03,28.2499
2011-08-04,27.6585
2011-08-05,28.0224
2011-08-08,27.7131
2011-08-09,28.7867
2011-08-10,28.0042
2011-08-11,28.7685
2011-08-12,28.8049
2011-08-15,29.2871
2011-08-16,30.7428
2011-08-17,29.8148
2011-08-18,29.6146
2011-08-19,29.187
2011-08-22,29.0596
2011-08-23,29.4782
2011-08-24,29.8785
2011-08-25,29.3235
2011-08-26,29.6146
2011-08-29,30.7428
2011-08-30,32.5351
2011-08-31,33.2994
2011-09-01,32.7262
2011-09-02,32.8081
2011-09-06,33.1629
2011-09-07,33.7816
2011-09-08,31.8437
2011-09-09,31.6617
2011-09-12,32.5169
2011-09-13,32.799
2011-09-14,33.6724
2011-09-15,34.0182
2011-09-16,34.6368
2011-09-19,34.4822
2011-09-20,34.2547
2011-09-21,33.7361
2011-09-22,32.7626
2011-09-23,33.2539
2011-09-26,33.7361
2011-09-27,33.9545
2011-09-28,34.373
2011-09-29,34.3184
2011-09-30,34.3548
2011-10-03,33.4996
2011-10-04,33.8635
2011-10-05,34.3093
2011-10-06,34.464
2011-10-07,34.3912
2011-10-10,34.9826
2011-10-11,35.5466
2011-10-12,35.4375
2011-10-13,35.3283
2011-10-14,35.7832
2011-10-17,35.7741
2011-10-18,36.4292
2011-10-19,36.32
2011-10-20,36.1653
2011-10-21,36.3928
2011-10-24,36.4019
2011-10-25,36.7203
2011-10-26,36.2745
2011-10-27,36.1835
2011-10-28,35.4557
2011-10-31,36.0834
2011-11-01,35.5648
2011-11-02,35.6467
2011-11-03,35.4102
2011-11-04,35.7195
2011-11-07,35.6649
2011-11-08,35.8924
2011-11-09,35.2191
2011-11-10,35.4466
2011-11-11,36.2654
2011-11-14,36.138
2011-11-15,36.6566
2011-11-16,35.9106
2011-11-17,35.5376
2011-11-18,36.1289
2011-11-21,35.6922
2011-11-22,35.8378
2011-11-23,35.4193
2011-11-25,34.8643
2011-11-28,35.21
2011-11-29,36.3291
2011-11-30,36.9114
2011-12-01,36.4747
2011-12-02,36.3382
2011-12-05,36.9205
2011-12-06,36.0561
2011-12-07,35.9106
2011-12-08,36.3837
2011-12-09,36.7931
2011-12-12,37.5937
2011-12-13,37.712
2011-12-14,37.248
2011-12-15,37.2207
2011-12-16,37.3208
2011-12-19,36.8204
2011-12-20,37.1752
2011-12-21,37.0479
2011-12-22,37.2571
2011-12-23,37.5028
2011-12-27,37.7393
2011-12-28,37.712
2011-12-29,37.5937
2011-12-30,37.43
2012-01-03,37.3754
2012-01-04,37.6301
2012-01-05,37.6301
2012-01-06,37.1843
2012-01-09,37.1661
2012-01-10,36.8477
2012-01-11,36.7658
2012-01-12,36.7294
2012-01-13,37.3026
2012-01-17,37.6483
2012-01-18,37.6938
2012-01-19,37.5028
2012-01-20,37.2662
2012-01-23,37.5664
2012-01-24,38.0487
2012-01-25,38.8493
2012-01-26,38.5945
2012-01-27,38.2943
2012-01-30,38.4854
2012-01-31,38.7674
2012-02-01,38.5036
2012-02-02,38.4854
2012-02-03,38.1578
2012-02-06,38.2306
2012-02-07,38.5854
2012-02-08,38.4581
2012-02-09,38.822
2012-02-10,39.0222
2012-02-13,37.9941
2012-02-14,38.6582
2012-02-15,38.4581
2012-02-16,38.1578
2012-02-17,38.5582
2012-02-21,38.3307
2012-02-22,37.6483
2012-02-23,38.3398
2012-02-24,37.9122
2012-02-27,37.8849
2012-02-28,38.4763
2012-02-29,38.267
2012-03-01,39.1313
2012-03-02,38.913
2012-03-05,39.3042
2012-03-06,38.8584
2012-03-07,38.7128
2012-03-08,39.468
2012-03-09,40.2231
2012-03-12,39.6772
2012-03-13,39.9047
2012-03-14,40.4506
2012-03-15,41.0602
2012-03-16,40.6598
2012-03-19,40.7144
2012-03-20,41.1693
2012-03-21,40.7144
2012-03-22,41.9791
2012-03-23,42.8798
2012-03-26,42.9981
2012-03-27,41.6242
2012-03-28,41.8517
2012-03-29,42.0973
2012-03-30,42.0337
2012-04-02,42.5432
2012-04-03,42.7615
2012-04-04,42.6159
2012-04-05,42.9617
2012-04-09,42.343
2012-04-10,41.3968
2012-04-11,41.7243
2012-04-12,42.4249
2012-04-13,42.1246
2012-04-16,41.7516
2012-04-17,42.3521
2012-04-18,42.6523
2012-04-19,42.434
2012-04-20,42.6978
2012-04-23,42.3066
2012-04-24,41.5697
2012-04-25,42.1246
2012-04-26,43.1345
2012-04-27,43.4712
2012-04-30,43.18
2012-05-01,43.4894
2012-05-02,43.8442
2012-05-03,43.7441
2012-05-04,43.271
2012-05-07,43.8624
2012-05-08,42.8525
2012-05-09,42.6159
2012-05-10,42.716
2012-05-11,42.9162
2012-05-14,42.5978
2012-05-15,42.7615
2012-05-16,43.3165
2012-05-17,41.8426
2012-05-18,41.5333
2012-05-21,42.1701
2012-05-22,41.7607
2012-05-23,42.6705
2012-05-24,43.3529
2012-05-25,43.2892
2012-05-29,43.7259
2012-05-30,44.1808
2012-05-31,44.4993
2012-06-01,44.2354
2012-06-04,44.1171
2012-06-05,42.5432
2012-06-06,44.3082
2012-06-07,44.563
2012-06-08,45.7548
2012-06-11,45.6547
2012-06-12,45.7912
2012-06-13,45.6547
2012-06-14,45.9914
2012-06-15,47.4835
2012-06-18,46.974
2012-06-19,47.4926
2012-06-20,47.8565
2012-06-21,47.6563
2012-06-22,47.8565
2012-06-25,48.3933
2012-06-26,49.9946
2012-06-27,49.1485
2012-06-28,48.8846
2012-06-29,49.4851
2012-07-02,49.7944
2012-07-03,48.9119
2012-07-05,49.3941
2012-07-06,49.667
2012-07-09,49.9127
2012-07-10,50.586
2012-07-11,49.9673
2012-07-12,49.1303
2012-07-13,49.6125
2012-07-16,49.6852
2012-07-17,50.0947
2012-07-18,48.8937
2012-07-19,47.5745
2012-07-20,47.62
2012-07-23,47.6018
2012-07-24,47.7473
2012-07-25,46.6646
2012-07-26,46.6555
2012-07-27,46.3917
2012-07-30,46.3553
2012-07-31,46.4099
2012-08-01,46.4554
2012-08-02,46.8284
2012-08-03,47.2196
2012-08-06,46.8921
2012-08-07,47.9657
2012-08-08,47.4016
2012-08-09,46.7192
2012-08-10,47.1014
2012-08-13,47.8019
2012-08-14,47.5927
2012-08-15,47.0923
2012-08-16,46.601
2012-08-17,46.7192
2012-08-20,46.2097
2012-08-21,46.1915
2012-08-22,45.9823
2012-08-23,45.2271
2012-08-24,45.1816
2012-08-27,44.4447
2012-08-28,44.4174
2012-08-29,44.1626
2012-08-30,45.5547
2012-08-31,46.4645
2012-09-04,46.0915
2012-09-05,46.4554
2012-09-06,46.0733
2012-09-07,45.3545
2012-09-10,44.5539
2012-09-11,44.4265
2012-09-12,45.2362
2012-09-13,46.1642
2012-09-14,45.6365
2012-09-17,45.5911
2012-09-18,45.7184
2012-09-19,46.5646
2012-09-20,47.72
2012-09-21,48.1658
2012-09-24,47.7746
2012-09-25,47.9475
2012-09-26,48.0931
2012-09-27,47.3106
2012-09-28,46.8921
2012-10-01,46.9558
2012-10-02,46.9012
2012-10-03,46.9012
2012-10-04,47.3743
2012-10-05,47.0286
2012-10-08,46.4463
2012-10-09,45.682
2012-10-10,45.9095
2012-10-11,45.0998
2012-10-12,44.8086
2012-10-15,44.8814
2012-10-16,45.7548
2012-10-17,43.8899
2012-10-18,43.0254
2012-10-19,42.9162
2012-10-22,42.716
2012-10-23,42.8616
2012-10-24,42.9617
2012-10-25,43.0345
2012-10-26,43.3347
2012-10-31,44.2354
2012-11-01,44.1262
2012-11-02,43.4621
2012-11-05,43.4257
2012-11-06,43.6713
2012-11-07,43.6531
2012-11-08,43.7805
2012-11-09,42.7524
2012-11-12,42.4977
2012-11-13,42.3976
2012-11-14,42.9253
2012-11-15,43.6349
2012-11-16,44.3082
2012-11-19,44.099
2012-11-20,43.2983
2012-11-21,43.6713
2012-11-23,44.9542
2012-11-26,44.8632
2012-11-27,45.0452
2012-11-28,45.1089
2012-11-29,45.3636
2012-11-30,45.491
2012-12-03,44.3628
2012-12-04,43.6167
2012-12-05,42.3976
2012-12-06,42.2429
2012-12-07,42.5796
2012-12-10,42.3703
2012-12-11,39.0677
2012-12-12,40.3869
2012-12-13,40.8964
2012-12-14,39.8774
2012-12-17,40.1503
2012-12-18,40.214
2012-12-19,39.377
2012-12-20,40.0048
2012-12-21,39.6954
2012-12-24,39.5408
2012-12-26,39.0767
2012-12-27,39.2314
2012-12-28,38.8493
2012-12-31,40.1139
2013-01-02,39.0495
2013-01-03,38.5127
2013-01-04,40.578
2013-01-07,39.7773
2013-01-08,39.4498
2013-01-09,39.1131
2013-01-10,39.468
2013-01-11,39.4316
2013-01-14,39.1404
2013-01-15,40.6143
2013-01-16,40.6052
2013-01-17,40.8054
2013-01-18,40.6234
2013-01-22,40.9146
2013-01-23,40.9965
2013-01-24,42.1883
2013-01-25,42.6159
2013-01-28,42.7615
2013-01-29,42.9071
2013-01-30,42.5523
2013-01-31,42.0519
2013-02-01,42.1064
2013-02-04,41.415
2013-02-05,41.4332
2013-02-06,41.8972
2013-02-07,41.3058
2013-02-08,41.8517
2013-02-11,41.6242
2013-02-12,40.9783
2013-02-13,40.3869
2013-02-14,40.9692
2013-02-15,40.3687
2013-02-19,39.9957
2013-02-20,39.8501
2013-02-21,41.4059
2013-02-22,41.879
2013-02-25,41.3513
2013-02-26,40.8964
2013-02-27,42.3612
2013-02-28,42.161
2013-03-01,43.2801
2013-03-04,44.2627
2013-03-05,44.5084
2013-03-06,43.8533
2013-03-07,43.18
2013-03-08,43.4803
2013-03-11,43.1982
2013-03-12,43.453
2013-03-13,43.6986
2013-03-14,44.3719
2013-03-15,43.8351
2013-03-18,43.7714
2013-03-19,43.4621
2013-03-20,45.2999
2013-03-21,45.3181
2013-03-22,45.5547
2013-03-25,46.4736
2013-03-26,47.5108
2013-03-27,46.3553
2013-03-28,46.0187
2013-04-01,46.0551
2013-04-02,45.9823
2013-04-03,45.6002
2013-04-04,46.1551
2013-04-05,45.8549
2013-04-08,45.8185
2013-04-09,45.3545
2013-04-10,45.7093
2013-04-11,45.7457
2013-04-12,45.773
2013-04-15,45.4
2013-04-16,45.9186
2013-04-17,47.2196
2013-04-18,46.6737
2013-04-19,47.1468
2013-04-22,46.974
2013-04-23,47.4471
2013-04-24,47.3925
2013-04-25,47.9566
2013-04-26,48.0658
2013-04-29,47.4744
2013-04-30,47.3925
2013-05-01,47.3379
2013-05-02,47.6654
2013-05-03,47.7564
2013-05-06,48.7481
2013-05-07,48.6208
2013-05-08,48.6026
2013-05-09,47.9293
2013-05-10,48.0385
2013-05-13,47.8474
2013-05-14,48.0294
2013-05-15,48.5116
2013-05-16,48.457
2013-05-17,49.203
2013-05-20,48.9847
2013-05-21,49.5579
2013-05-22,49.0029
2013-05-23,49.5397
2013-05-24,49.5124
2013-05-28,49.567
2013-05-29,49.0666
2013-05-30,48.83
2013-05-31,48.0385
2013-06-03,48.7208
2013-06-04,44.2536
2013-06-05,45.6638
2013-06-06,46.6919
2013-06-07,46.4827
2013-06-10,45.8094
2013-06-11,47.0104
2013-06-12,46.4827
2013-06-13,46.5828
2013-06-14,46.5646
2013-06-17,46.5191
2013-06-18,47.5745
2013-06-19,46.701
2013-06-20,45.3818
2013-06-21,45.682
2013-06-24,45.491
2013-06-25,45.955
2013-06-26,46.5555
2013-06-27,46.9831
2013-06-28,45.8822
2013-07-01,47.7018
2013-07-02,46.7283
2013-07-03,46.5009
2013-07-05,47.3197
2013-07-08,47.4198
2013-07-09,47.1287
2013-07-10,49.8399
2013-07-11,50.6315
2013-07-12,48.921
2013-07-15,49.0939
2013-07-16,49.0393
2013-07-17,48.8118
2013-07-18,48.6299
2013-07-19,48.4934
2013-07-22,48.7117
2013-07-23,48.9665
2013-07-24,49.3395
2013-07-25,49.3395
2013-07-26,48.9301
2013-07-29,49.294
2013-07-30,49.1848
2013-07-31,49.7398
2013-08-01,50.4222
2013-08-02,50.7588
2013-08-05,50.2675
2013-08-06,49.9218
2013-08-07,49.2394
2013-08-08,49.7944
2013-08-09,49.3577
2013-08-12,49.4487
2013-08-13,49.6761
2013-08-14,49.5852
2013-08-15,48.6753
2013-08-16,47.7382
2013-08-19,49.2121
2013-08-20,48.5571
2013-08-21,49.4942
2013-08-22,50.4495
2013-08-23,50.0856
2013-08-26,50.5769
2013-08-27,49.7216
2013-08-28,49.567
2013-08-29,49.4669
2013-08-30,49.103
2013-09-03,49.0211
2013-09-04,51.3047
2013-09-05,52.2054
2013-09-06,51.8233
2013-09-09,52.2873
2013-09-10,52.16
2013-09-11,52.1872
2013-09-12,51.9871
2013-09-13,51.705
2013-09-16,51.8597
2013-09-17,52.16
2013-09-18,52.6967
2013-09-19,53.2153
2013-09-20,52.4511
2013-09-23,52.9424
2013-09-24,52.8696
2013-09-25,51.8597
2013-09-26,51.6323
2013-09-27,51.4867
2013-09-30,51.3684
2013-10-01,52.5694
2013-10-02,52.6786
2013-10-03,52.5421
2013-10-04,53.4701
2013-10-07,51.9871
