Date,Settle
1996-12-17,2.6052
1996-12-18,2.6517
1996-12-19,2.7215
1996-12-20,2.768
1996-12-23,2.8378
1996-12-24,2.9075
1996-12-26,2.8378
1996-12-27,2.8378
1996-12-30,2.8145
1996-12-31,2.8145
1997-01-02,2.7215
1997-01-03,2.7912
1997-01-06,2.8145
1997-01-07,2.9773
1997-01-08,3.0006
1997-01-09,3.0238
1997-01-10,3.0471
1997-01-13,3.0238
1997-01-14,3.303
1997-01-15,3.0471
1997-01-16,2.9773
1997-01-17,3.0006
1997-01-20,2.9541
1997-01-21,2.9773
1997-01-22,2.9773
1997-01-23,3.0471
1997-01-24,3.0006
1997-01-27,3.0006
1997-01-28,2.9773
1997-01-29,2.9773
1997-01-30,2.9773
1997-01-31,2.9308
1997-02-03,3.0238
1997-02-04,3.0704
1997-02-05,3.0936
1997-02-06,3.0704
1997-02-07,3.1169
1997-02-10,3.0704
1997-02-11,3.0704
1997-02-12,3.0471
1997-02-13,3.1402
1997-02-14,3.0704
1997-02-18,3.0704
1997-02-19,3.0936
1997-02-20,3.1402
1997-02-21,3.1634
1997-02-24,3.2797
1997-02-25,3.303
1997-02-26,3.2332
1997-02-27,3.1867
1997-02-28,3.1402
1997-03-03,3.1402
1997-03-04,3.1402
1997-03-05,3.0936
1997-03-06,3.0704
1997-03-07,3.0238
1997-03-10,3.0471
1997-03-11,3.0471
1997-03-12,3.0704
1997-03-13,3.0238
1997-03-14,3.0471
1997-03-17,2.9773
1997-03-18,3.0006
1997-03-19,3.0471
1997-03-20,3.0238
1997-03-21,2.9773
1997-03-24,2.9075
1997-03-25,2.8378
1997-03-26,2.8145
1997-03-27,2.8378
1997-03-31,2.768
1997-04-01,2.7447
1997-04-02,2.7215
1997-04-03,2.7447
1997-04-04,2.7447
1997-04-07,2.7215
1997-04-08,2.768
1997-04-09,2.8145
1997-04-10,2.861
1997-04-11,2.7215
1997-04-14,2.6749
1997-04-15,2.7215
1997-04-16,2.7912
1997-04-17,2.9541
1997-04-18,2.9773
1997-04-21,2.9773
1997-04-22,2.9773
1997-04-23,2.9773
1997-04-24,2.9773
1997-04-25,2.9773
1997-04-28,2.9773
1997-04-29,3.1169
1997-04-30,3.2797
1997-05-01,3.2565
1997-05-02,3.4193
1997-05-05,3.3728
1997-05-06,3.396
1997-05-07,3.3728
1997-05-08,3.3262
1997-05-09,3.3262
1997-05-12,3.5356
1997-05-13,3.5123
1997-05-14,3.3728
1997-05-15,3.3728
1997-05-16,3.3262
1997-05-19,3.3262
1997-05-20,3.2797
1997-05-21,3.3262
1997-05-22,3.6286
1997-05-23,3.4891
1997-05-27,3.4891
1997-05-28,3.5123
1997-05-29,3.5356
1997-05-30,3.4425
1997-06-02,3.4658
1997-06-03,3.4891
1997-06-04,3.5123
1997-06-05,3.5356
1997-06-06,3.6751
1997-06-09,3.7217
1997-06-10,3.7217
1997-06-11,3.6054
1997-06-12,3.7217
1997-06-13,3.6984
1997-06-16,3.7682
1997-06-17,3.6984
1997-06-18,3.7217
1997-06-19,3.6984
1997-06-20,3.6984
1997-06-23,3.6984
1997-06-24,3.6054
1997-06-25,3.5356
1997-06-26,3.5356
1997-06-27,3.5356
1997-06-30,3.8263
1997-07-01,3.6519
1997-07-02,3.6286
1997-07-03,3.617
1997-07-07,3.617
1997-07-08,3.7333
1997-07-09,3.6519
1997-07-10,3.5356
1997-07-11,3.5356
1997-07-14,3.5472
1997-07-15,3.5821
1997-07-16,3.7449
1997-07-17,3.5123
1997-07-18,3.4076
1997-07-21,3.3728
1997-07-22,3.3379
1997-07-23,3.3495
1997-07-24,3.2565
1997-07-25,3.1402
1997-07-28,3.1518
1997-07-29,3.2099
1997-07-30,3.2565
1997-07-31,3.2332
1997-08-01,3.1634
1997-08-04,3.1634
1997-08-05,3.1867
1997-08-06,3.2216
1997-08-07,3.2099
1997-08-08,3.2099
1997-08-11,3.2099
1997-08-12,3.2797
1997-08-13,3.2797
1997-08-14,3.396
1997-08-15,3.5588
1997-08-18,3.5588
1997-08-19,3.5588
1997-08-20,3.5821
1997-08-21,3.5705
1997-08-22,3.5472
1997-08-25,3.4891
1997-08-26,3.5123
1997-08-27,3.5239
1997-08-28,3.5123
1997-08-29,3.4774
1997-09-02,3.396
1997-09-03,3.4193
1997-09-04,3.4658
1997-09-05,3.3728
1997-09-08,3.4193
1997-09-09,3.4193
1997-09-10,3.3844
1997-09-11,3.3844
1997-09-12,3.3728
1997-09-15,3.3262
1997-09-16,3.2913
1997-09-17,3.2448
1997-09-18,3.175
1997-09-19,3.1169
1997-09-22,3.0936
1997-09-23,3.0704
1997-09-24,3.0704
1997-09-25,3.082
1997-09-26,3.1518
1997-09-29,3.175
1997-09-30,3.1518
1997-10-01,3.1285
1997-10-02,3.1285
1997-10-03,3.1518
1997-10-06,3.1634
