Date,Settle
1992-06-05,1.1299
1992-06-08,1.1299
1992-06-09,1.0785
1992-06-10,1.0785
1992-06-11,1.0272
1992-06-12,1.0272
1992-06-15,1.0657
1992-06-16,1.04
1992-06-17,1.04
1992-06-18,1.0272
1992-06-19,1.0272
1992-06-22,1.0272
1992-06-23,1.0272
1992-06-24,1.0272
1992-06-25,1.0272
1992-06-26,1.0529
1992-06-29,1.0272
1992-06-30,1.0529
1992-07-01,1.0529
1992-07-02,1.0272
1992-07-06,1.0529
1992-07-07,1.0272
1992-07-08,0.9758
1992-07-09,0.9501
1992-07-10,0.9501
1992-07-13,1.0015
1992-07-14,1.0015
1992-07-15,1.0529
1992-07-16,1.0272
1992-07-17,1.0529
1992-07-20,1.0529
1992-07-21,1.0015
1992-07-22,1.0015
1992-07-23,1.0272
1992-07-24,1.0272
1992-07-27,0.9887
1992-07-28,1.0272
1992-07-29,1.0785
1992-07-30,1.0529
1992-07-31,1.0785
1992-08-03,1.0785
1992-08-04,1.0657
1992-08-05,1.1042
1992-08-06,1.0657
1992-08-07,1.0529
1992-08-10,1.0785
1992-08-11,1.0529
1992-08-12,1.0529
1992-08-13,1.0529
1992-08-14,1.1042
1992-08-17,1.0529
1992-08-18,1.0529
1992-08-19,1.0272
1992-08-20,1.0272
1992-08-21,1.0015
1992-08-24,1.0015
1992-08-25,1.0272
1992-08-26,0.9758
1992-08-27,1.0272
1992-08-28,1.0529
1992-08-31,1.0529
1992-09-01,1.0015
1992-09-02,1.0015
1992-09-03,0.9758
1992-09-04,0.9245
1992-09-08,0.8731
1992-09-09,0.8217
1992-09-10,0.8217
1992-09-11,0.8217
1992-09-14,0.8474
1992-09-15,0.8474
1992-09-16,0.8346
1992-09-17,0.8988
1992-09-18,0.9116
1992-09-21,0.9116
1992-09-22,0.8988
1992-09-23,0.8988
1992-09-24,0.8988
1992-09-25,0.8988
1992-09-28,0.8988
1992-09-29,0.9116
1992-09-30,0.8988
1992-10-01,0.8988
1992-10-02,0.9245
1992-10-05,0.8474
1992-10-06,0.8474
1992-10-08,0.8474
1992-10-09,0.8217
1992-10-12,0.8346
1992-10-13,0.8217
1992-10-14,0.7447
1992-10-15,0.7961
1992-10-16,0.7961
1992-10-19,0.7961
1992-10-20,0.7447
1992-10-21,0.7961
1992-10-22,0.7447
1992-10-23,0.7447
1992-10-26,0.7447
1992-10-27,0.7961
1992-10-28,0.8217
1992-10-29,0.8217
1992-10-30,0.7832
1992-11-02,0.8474
1992-11-03,0.8217
1992-11-04,0.9245
1992-11-05,0.8988
1992-11-06,0.8474
1992-11-09,0.8474
1992-11-10,0.7704
1992-11-11,0.8474
1992-11-12,0.8474
1992-11-13,0.8474
1992-11-16,0.8217
1992-11-17,0.8988
1992-11-18,0.8988
1992-11-19,0.9758
1992-11-20,0.9758
1992-11-23,0.9245
1992-11-24,0.9245
1992-11-25,0.9373
1992-11-27,0.9501
1992-11-30,0.9758
1992-12-01,0.9245
1992-12-02,0.9245
1992-12-03,0.9245
1992-12-04,0.9501
1992-12-07,0.9245
1992-12-08,0.9245
1992-12-09,0.9245
1992-12-10,0.9758
1992-12-11,0.8731
1992-12-14,0.8474
1992-12-15,0.8217
1992-12-16,0.8731
1992-12-17,0.8217
1992-12-18,0.8731
1992-12-21,0.8603
1992-12-22,0.9245
1992-12-23,0.9501
1992-12-24,0.9501
1992-12-28,0.9501
1992-12-29,0.9501
1992-12-30,0.9501
1992-12-31,1.0015
1993-01-04,1.0272
1993-01-05,1.0272
1993-01-06,1.0529
1993-01-07,1.0785
1993-01-08,1.0785
1993-01-11,1.0529
1993-01-12,1.0529
1993-01-13,1.0272
