Date,Settle
1990-01-02,6.9753
1990-01-03,6.9904
1990-01-04,6.9829
1990-01-05,7.0055
1990-01-08,7.0657
1990-01-09,7.0581
1990-01-10,6.8314
1990-01-11,6.8314
1990-01-12,6.6349
1990-01-15,6.6425
1990-01-16,6.7634
1990-01-17,6.6576
1990-01-18,6.6349
1990-01-19,6.6198
1990-01-22,6.4082
1990-01-23,6.3402
1990-01-24,6.378
1990-01-25,6.3176
1990-01-26,6.3024
1990-01-29,6.4007
1990-01-30,6.3478
1990-01-31,6.2949
1990-02-01,6.1664
1990-02-02,6.3327
1990-02-05,6.5216
1990-02-06,6.5065
1990-02-07,6.5896
1990-02-08,6.5896
1990-02-09,6.5594
1990-02-12,6.4762
1990-02-13,6.5065
1990-02-14,6.5972
1990-02-15,6.6652
1990-02-16,6.6349
1990-02-20,6.514
1990-02-21,6.4611
1990-02-22,6.4309
1990-02-23,6.3327
1990-02-26,6.4914
1990-02-27,6.5669
1990-02-28,6.6198
1990-03-01,6.5367
1990-03-02,6.5972
1990-03-05,6.6878
1990-03-06,6.7785
1990-03-07,6.7634
1990-03-08,6.8012
1990-03-09,6.703
1990-03-12,6.771
1990-03-13,6.8541
1990-03-14,6.975
1990-03-15,6.9523
1990-03-16,7.0128
1990-03-19,6.9901
1990-03-20,7.0052
1990-03-21,6.9448
1990-03-22,6.7634
1990-03-23,6.907
1990-03-26,6.8239
1990-03-27,6.8919
1990-03-28,6.8541
1990-03-29,6.771
1990-03-30,6.7181
1990-04-02,6.7181
1990-04-03,6.8768
1990-04-04,6.771
1990-04-05,6.907
1990-04-06,6.8931
1990-04-09,6.8855
1990-04-10,6.9006
1990-04-11,6.9612
1990-04-12,6.9385
1990-04-16,6.9158
1990-04-17,6.9158
1990-04-18,6.8174
1990-04-19,6.7644
1990-04-20,6.7796
1990-04-23,6.7266
1990-04-24,6.6736
1990-04-25,6.7342
1990-04-26,6.7039
1990-04-27,6.6358
1990-04-30,6.6888
1990-05-01,6.6963
1990-05-02,6.7342
1990-05-03,6.772
1990-05-04,6.825
1990-05-07,6.8552
1990-05-08,6.8023
1990-05-09,6.719
1990-05-10,6.6207
1990-05-11,6.7871
1990-05-14,6.8174
1990-05-15,6.8325
1990-05-16,6.8174
1990-05-17,6.8098
1990-05-18,6.9612
1990-05-21,7.0368
1990-05-22,7.2336
1990-05-23,7.1882
1990-05-24,7.2033
1990-05-25,7.1201
1990-05-29,7.2487
1990-05-30,7.6119
1990-05-31,7.8086
1990-06-01,7.7783
1990-06-04,7.7632
1990-06-05,7.9448
1990-06-06,7.8767
1990-06-07,7.7632
1990-06-08,7.4681
1990-06-11,7.6648
1990-06-12,7.8691
1990-06-13,7.854
1990-06-14,7.8086
1990-06-15,7.9751
1990-06-18,7.6951
1990-06-19,7.8464
1990-06-20,7.8086
1990-06-21,7.9599
1990-06-22,7.7329
1990-06-25,7.6421
1990-06-26,7.5513
1990-06-27,7.6875
1990-06-28,7.8313
1990-06-29,7.7632
1990-07-02,7.801
1990-07-03,7.907
1990-07-05,7.8389
1990-07-06,7.9297
1990-07-09,8.0824
1990-07-10,7.9536
1990-07-11,8.1506
1990-07-12,8.1506
1990-07-13,8.143
1990-07-16,8.0066
1990-07-17,7.9536
1990-07-18,7.8779
1990-07-19,7.8779
1990-07-20,7.787
1990-07-23,7.5143
1990-07-24,7.3325
1990-07-25,7.2037
1990-07-26,7.3325
1990-07-27,7.0295
1990-07-30,7.1431
1990-07-31,7.1279
1990-08-01,7.0522
1990-08-02,6.7719
1990-08-03,6.6356
1990-08-06,6.2038
1990-08-07,6.2644
1990-08-08,6.5447
1990-08-09,6.6507
1990-08-10,6.4689
1990-08-13,6.6053
1990-08-14,6.522
1990-08-15,6.5826
1990-08-16,6.3477
1990-08-17,6.219
1990-08-20,6.1811
1990-08-21,6.0675
1990-08-22,5.9463
1990-08-23,5.7645
1990-08-24,5.9311
1990-08-27,6.2493
1990-08-28,6.2644
1990-08-29,6.2947
1990-08-30,6.1962
1990-08-31,6.2038
1990-09-04,6.1659
1990-09-05,6.2038
1990-09-06,6.1205
1990-09-07,6.1735
1990-09-10,6.0447
1990-09-11,6.0372
1990-09-12,6.0069
1990-09-13,5.8326
1990-09-14,5.7342
1990-09-17,5.7417
1990-09-18,5.7039
1990-09-19,5.4766
1990-09-20,5.3857
1990-09-21,5.4312
1990-09-24,5.363
1990-09-25,5.4615
1990-09-26,5.4842
1990-09-27,5.4085
1990-09-28,5.4918
1990-10-01,5.8326
1990-10-02,5.7872
1990-10-03,5.7039
1990-10-04,5.6811
1990-10-05,5.6748
1990-10-08,5.7127
1990-10-09,5.5458
1990-10-10,5.5458
1990-10-11,5.5003
1990-10-12,5.4775
1990-10-15,5.432
1990-10-16,5.341
1990-10-17,5.303
1990-10-18,5.5837
1990-10-19,5.6672
1990-10-22,5.8189
1990-10-23,5.8569
1990-10-24,5.8113
1990-10-25,5.8037
1990-10-26,5.6444
1990-10-29,5.5155
1990-10-30,5.5458
1990-10-31,5.523
1990-11-01,5.5837
1990-11-02,5.7734
1990-11-05,5.7962
1990-11-06,5.6065
1990-11-07,5.523
1990-11-08,5.5306
1990-11-09,5.6065
1990-11-12,5.7051
1990-11-13,5.7582
1990-11-14,5.7582
1990-11-15,5.7279
1990-11-16,5.7734
1990-11-19,6.0238
1990-11-20,5.9327
1990-11-21,5.7886
1990-11-23,5.8113
1990-11-26,5.9327
1990-11-27,6.0238
1990-11-28,5.91
1990-11-29,5.872
1990-11-30,6.0465
1990-12-03,6.1376
1990-12-04,6.2058
1990-12-05,6.4334
1990-12-06,6.4031
1990-12-07,6.3348
1990-12-10,6.2589
1990-12-11,6.13
1990-12-12,6.2817
1990-12-13,6.3652
1990-12-14,6.2514
1990-12-17,6.1679
1990-12-18,6.2134
1990-12-19,6.1148
1990-12-20,6.092
1990-12-21,6.13
1990-12-24,6.0996
1990-12-26,6.1603
1990-12-27,6.1527
1990-12-28,6.1982
1990-12-31,6.1603
1991-01-02,6.13
1991-01-03,6.0996
1991-01-04,6.0769
1991-01-07,5.91
1991-01-08,5.781
1991-01-09,5.7355
1991-01-10,5.8113
1991-01-11,5.7962
1991-01-14,5.7594
1991-01-15,5.7138
1991-01-16,5.843
1991-01-17,6.1849
1991-01-18,6.2685
