Date,Settle
2005-07-06,8.5832
2005-07-07,7.8917
2005-07-08,7.2957
2005-07-11,7.3195
2005-07-12,7.701
2005-07-13,7.5818
2005-07-14,7.5818
2005-07-15,7.4864
2005-07-18,7.1049
2005-07-19,7.124
2005-07-20,7.0811
2005-07-21,7.1955
2005-07-22,7.1479
2005-07-25,6.6996
2005-07-26,6.6758
2005-07-27,6.6758
2005-07-28,6.795
2005-07-29,6.8045
2005-08-01,6.6949
2005-08-02,6.6662
2005-08-03,6.7855
2005-08-04,6.7521
2005-08-05,6.7235
2005-08-08,6.6996
2005-08-09,6.6615
2005-08-10,6.7282
2005-08-11,6.9571
2005-08-12,7.0048
2005-08-15,7.2194
2005-08-16,7.248
2005-08-17,7.2003
2005-08-18,7.1622
2005-08-19,7.2528
2005-08-22,7.391
2005-08-23,7.4769
2005-08-24,7.5484
2005-08-25,7.5103
2005-08-26,7.4292
2005-08-29,7.3338
2005-08-30,7.3052
2005-08-31,7.2194
2005-09-01,7.2289
2005-09-02,7.2242
2005-09-06,7.2528
2005-09-07,7.2575
2005-09-08,7.2003
2005-09-09,7.1526
2005-09-12,7.1383
2005-09-13,7.0763
2005-09-14,7.1145
2005-09-15,7.1526
2005-09-16,7.1526
2005-09-19,7.1765
2005-09-20,7.1717
2005-09-21,7.0525
2005-09-22,7.0096
2005-09-23,6.9762
2005-09-26,6.9524
2005-09-27,6.9476
2005-09-28,6.8713
2005-09-29,6.795
2005-09-30,6.8808
2005-10-03,6.9285
2005-10-04,6.6853
2005-10-05,6.6281
2005-10-06,6.5852
2005-10-07,6.6662
2005-10-10,6.6615
2005-10-11,6.6996
2005-10-12,6.6853
2005-10-13,6.795
2005-10-14,6.9094
2005-10-17,6.7855
2005-10-18,6.7568
2005-10-19,6.6806
2005-10-20,6.6186
2005-10-21,6.7139
2005-10-24,6.7902
2005-10-25,6.6949
2005-10-26,6.6662
2005-10-27,6.5518
2005-10-28,6.7664
2005-10-31,6.7187
2005-11-01,6.7807
2005-11-02,6.857
2005-11-03,6.7712
2005-11-04,6.7282
2005-11-07,6.7473
2005-11-08,6.8427
2005-11-09,6.8379
2005-11-10,7.0525
2005-11-11,7.2766
2005-11-14,7.3004
2005-11-15,7.3004
2005-11-16,7.1526
2005-11-17,7.1002
2005-11-18,7.2671
2005-11-21,7.4387
2005-11-22,7.5103
2005-11-23,7.5389
2005-11-25,7.5532
2005-11-28,7.5103
2005-11-29,7.5103
2005-11-30,7.4435
2005-12-01,7.4578
2005-12-02,7.4387
2005-12-05,7.3863
2005-12-06,7.2051
2005-12-07,7.2909
2005-12-08,7.3863
2005-12-09,7.3815
2005-12-12,7.5341
2005-12-13,7.6199
2005-12-14,7.6295
2005-12-15,7.4149
2005-12-16,7.6533
2005-12-19,7.453
2005-12-20,7.3863
2005-12-21,7.3148
2005-12-22,7.2861
2005-12-23,7.3529
2005-12-27,7.3004
2005-12-28,7.2528
2005-12-29,7.2718
2005-12-30,7.2242
2006-01-03,7.2003
2006-01-04,7.2957
2006-01-05,7.2957
2006-01-06,7.3195
2006-01-09,7.2957
2006-01-10,7.31
2006-01-11,7.2861
2006-01-12,7.2766
2006-01-13,7.2575
2006-01-17,7.372
2006-01-18,7.372
2006-01-19,7.3958
2006-01-20,7.3052
2006-01-23,7.3481
2006-01-24,7.3481
2006-01-25,7.31
2006-01-26,7.3434
2006-01-27,7.3958
2006-01-30,7.3195
2006-01-31,7.2289
2006-02-01,7.1526
2006-02-02,6.9524
2006-02-03,6.9476
2006-02-06,6.938
2006-02-07,6.8856
2006-02-08,7.1288
2006-02-09,7.0573
2006-02-10,6.9142
2006-02-13,6.9047
2006-02-14,6.8904
2006-02-15,6.9047
2006-02-16,6.9905
2006-02-17,6.919
2006-02-21,6.8999
2006-02-22,6.9285
2006-02-23,6.9237
2006-02-24,6.8761
2006-02-27,7.0763
2006-02-28,6.9619
2006-03-01,7.0286
2006-03-02,6.919
2006-03-03,6.8999
2006-03-06,6.8951
2006-03-07,6.8522
2006-03-08,6.7855
2006-03-09,6.7902
2006-03-10,6.8427
2006-03-13,6.9237
2006-03-14,7.0382
2006-03-15,7.1288
2006-03-16,7.0048
2006-03-17,6.9571
2006-03-20,6.9094
2006-03-21,6.8999
2006-03-22,6.8522
2006-03-23,6.9953
2006-03-24,6.8999
2006-03-27,6.938
2006-03-28,6.938
2006-03-29,7.1002
2006-03-30,7.1288
2006-03-31,7.1526
2006-04-03,7.1336
2006-04-04,7.2098
2006-04-05,7.1669
2006-04-06,7.1669
2006-04-07,7.1479
2006-04-10,7.0763
2006-04-11,7.0239
2006-04-12,7.043
2006-04-13,6.9524
2006-04-17,6.8856
2006-04-18,6.9476
2006-04-19,6.9619
2006-04-20,7.0048
2006-04-21,7.0143
2006-04-24,6.9762
2006-04-25,6.9571
2006-04-26,6.9285
2006-04-27,7.0811
2006-04-28,7.1049
2006-05-01,7.1574
2006-05-02,7.0239
2006-05-03,6.8856
2006-05-04,6.9047
2006-05-05,6.8713
2006-05-08,6.8761
2006-05-09,6.8665
2006-05-10,6.8045
2006-05-11,6.8045
2006-05-12,6.6758
2006-05-15,6.8236
2006-05-16,6.8665
2006-05-17,6.7044
2006-05-18,6.59
2006-05-19,6.59
2006-05-22,6.5184
2006-05-23,6.5518
2006-05-24,6.5995
2006-05-25,6.5995
2006-05-26,6.6138
2006-05-30,6.6043
2006-05-31,6.6138
2006-06-01,6.7712
2006-06-02,6.857
2006-06-05,6.6758
2006-06-06,6.6758
2006-06-07,6.5947
2006-06-08,6.5852
2006-06-09,6.5661
2006-06-12,6.5709
2006-06-13,6.6281
2006-06-14,6.6186
2006-06-15,6.9476
2006-06-16,6.7998
2006-06-19,6.8427
2006-06-20,6.8808
2006-06-21,6.9667
2006-06-22,6.8141
2006-06-23,6.8045
2006-06-26,6.857
2006-06-27,6.7855
2006-06-28,6.8522
2006-06-29,7.0811
2006-06-30,6.9762
2006-07-03,7.0286
2006-07-05,6.9333
2006-07-06,6.8713
2006-07-07,6.8045
2006-07-10,6.7425
2006-07-11,6.7282
2006-07-12,6.6949
2006-07-13,6.6901
2006-07-14,6.6186
2006-07-17,6.5518
2006-07-18,6.528
2006-07-19,6.5232
2006-07-20,6.4707
2006-07-21,6.4421
2006-07-24,6.4421
2006-07-25,6.4994
2006-07-26,6.4564
2006-07-27,6.4374
2006-07-28,6.4278
2006-07-31,6.3515
2006-08-01,6.3277
2006-08-02,6.4469
2006-08-03,6.466
2006-08-04,6.4946
2006-08-07,6.6043
2006-08-08,6.4803
2006-08-09,6.3182
2006-08-10,6.4469
2006-08-11,6.6949
2006-08-14,6.5947
2006-08-15,6.7664
2006-08-16,6.7521
2006-08-17,6.8713
2006-08-18,6.7902
2006-08-21,6.8093
2006-08-22,6.7807
