Date,Settle
1990-01-02,3.2075
1990-01-03,3.1524
1990-01-04,3.1634
1990-01-05,3.1524
1990-01-08,3.1744
1990-01-09,3.1413
1990-01-10,3.1964
1990-01-11,3.1744
1990-01-12,3.0642
1990-01-15,2.998
1990-01-16,2.998
1990-01-17,2.976
1990-01-18,3.0091
1990-01-19,2.954
1990-01-22,2.8988
1990-01-23,2.8988
1990-01-24,2.965
1990-01-25,2.9099
1990-01-26,2.998
1990-01-29,2.998
1990-01-30,3.0091
1990-01-31,3.1413
1990-02-01,3.1083
1990-02-02,3.1744
1990-02-05,3.1524
1990-02-06,3.1634
1990-02-07,3.1854
1990-02-08,3.1524
1990-02-09,3.2075
1990-02-12,3.2185
1990-02-13,3.2846
1990-02-14,3.2516
1990-02-15,3.2516
1990-02-16,3.2295
1990-02-20,3.2185
1990-02-21,3.2185
1990-02-22,3.2344
1990-02-23,3.2123
1990-02-26,3.2455
1990-02-27,3.312
1990-02-28,3.3009
1990-03-01,3.2898
1990-03-02,3.2787
1990-03-05,3.2344
1990-03-06,3.2677
1990-03-07,3.2344
1990-03-08,3.2787
1990-03-09,3.2455
1990-03-12,3.2344
1990-03-13,3.2566
1990-03-14,3.2566
1990-03-15,3.2677
1990-03-16,3.2787
1990-03-19,3.4338
1990-03-20,3.4227
1990-03-21,3.4006
1990-03-22,3.3895
1990-03-23,3.4227
1990-03-26,3.4338
1990-03-27,3.4892
1990-03-28,3.4227
1990-03-29,3.4227
1990-03-30,3.4006
1990-04-02,3.3784
1990-04-03,3.4117
1990-04-04,3.3784
1990-04-05,3.3784
1990-04-06,3.3009
1990-04-09,3.3231
1990-04-10,3.3231
1990-04-11,3.3674
1990-04-12,3.4227
1990-04-16,3.3784
1990-04-17,3.4117
1990-04-18,3.3674
1990-04-19,3.3452
1990-04-20,3.2566
1990-04-23,3.2344
1990-04-24,3.312
1990-04-25,3.312
1990-04-26,3.3231
1990-04-27,3.3231
1990-04-30,3.3341
1990-05-01,3.3452
1990-05-02,3.3452
1990-05-03,3.3341
1990-05-04,3.3341
1990-05-07,3.3895
1990-05-08,3.4449
1990-05-09,3.5224
1990-05-10,3.5335
1990-05-11,3.6221
1990-05-14,3.6111
1990-05-15,3.5667
1990-05-16,3.5557
1990-05-17,3.5446
1990-05-18,3.5446
1990-05-21,3.6
1990-05-22,3.616
1990-05-23,3.5826
1990-05-24,3.5826
1990-05-25,3.5715
1990-05-29,3.6382
1990-05-30,3.6716
1990-05-31,3.6049
1990-06-01,3.5715
1990-06-04,3.5826
1990-06-05,3.5937
1990-06-06,3.5826
1990-06-07,3.5715
1990-06-08,3.5937
1990-06-11,3.6049
1990-06-12,3.5937
1990-06-13,3.5492
1990-06-14,3.5604
1990-06-15,3.5047
1990-06-18,3.4936
1990-06-19,3.5381
1990-06-20,3.5381
1990-06-21,3.5604
1990-06-22,3.5381
1990-06-25,3.4825
1990-06-26,3.4714
1990-06-27,3.4936
1990-06-28,3.4602
1990-06-29,3.4714
1990-07-02,3.4714
1990-07-03,3.4602
1990-07-05,3.3823
1990-07-06,3.4491
1990-07-09,3.4491
1990-07-10,3.4269
1990-07-11,3.4491
1990-07-12,3.4714
1990-07-13,3.4491
1990-07-16,3.4602
1990-07-17,3.4936
1990-07-18,3.5047
1990-07-19,3.4714
1990-07-20,3.4157
1990-07-23,3.349
1990-07-24,3.349
1990-07-25,3.349
1990-07-26,3.3601
1990-07-27,3.2933
1990-07-30,3.3045
1990-07-31,3.3045
1990-08-01,3.2266
1990-08-02,3.2377
1990-08-03,3.171
1990-08-06,3.1042
1990-08-07,3.0374
1990-08-08,3.1487
1990-08-09,3.1598
1990-08-10,3.1932
1990-08-13,3.171
1990-08-14,3.171
1990-08-15,3.1487
1990-08-16,3.0708
1990-08-17,3.0263
1990-08-20,3.0263
1990-08-21,3.0374
1990-08-22,2.9658
1990-08-23,2.8651
1990-08-24,2.921
1990-08-27,3.0106
1990-08-28,2.977
1990-08-29,2.9546
1990-08-30,2.9099
1990-08-31,2.8987
1990-09-04,2.8875
1990-09-05,2.8651
1990-09-06,2.8651
1990-09-07,2.9099
1990-09-10,2.8763
1990-09-11,2.8763
1990-09-12,2.8875
1990-09-13,2.8875
1990-09-14,2.8763
1990-09-17,2.9099
1990-09-18,2.9322
1990-09-19,2.921
1990-09-20,2.8427
1990-09-21,2.8427
1990-09-24,2.7756
1990-09-25,2.742
1990-09-26,2.6748
1990-09-27,2.5965
1990-09-28,2.7756
1990-10-01,2.7756
1990-10-02,2.8203
1990-10-03,2.7756
1990-10-04,2.6972
1990-10-05,2.6524
1990-10-08,2.6413
1990-10-09,2.5965
1990-10-10,2.5405
1990-10-11,2.507
1990-10-12,2.5629
1990-10-15,2.7756
1990-10-16,2.686
1990-10-17,2.686
1990-10-18,2.7084
1990-10-19,2.7644
1990-10-22,2.7979
1990-10-23,2.8427
1990-10-24,2.8203
1990-10-25,2.8091
1990-10-26,2.7532
1990-10-29,2.7308
1990-10-30,2.7084
1990-10-31,2.6748
1990-11-01,2.7756
1990-11-02,2.8427
1990-11-05,2.977
1990-11-06,2.9546
1990-11-07,2.9099
1990-11-08,2.9658
1990-11-09,3.0553
1990-11-12,3.0665
1990-11-13,3.0553
1990-11-14,3.033
1990-11-15,2.9994
1990-11-16,2.9994
1990-11-19,3.0777
1990-11-20,3.033
1990-11-21,3.0777
1990-11-23,3.033
1990-11-26,3.0218
1990-11-27,3.0218
1990-11-28,3.0442
1990-11-29,3.0665
1990-11-30,3.212
1990-12-03,3.1896
1990-12-04,3.1964
1990-12-05,3.3315
1990-12-06,3.309
1990-12-07,3.2977
1990-12-10,3.3315
1990-12-11,3.309
1990-12-12,3.3427
1990-12-13,3.3315
1990-12-14,3.2864
1990-12-17,3.309
1990-12-18,3.3315
1990-12-19,3.4328
1990-12-20,3.444
1990-12-21,3.4665
1990-12-24,3.4778
1990-12-26,3.534
1990-12-27,3.5453
1990-12-28,3.5678
1990-12-31,3.5791
1991-01-02,3.5791
1991-01-03,3.444
1991-01-04,3.444
1991-01-07,3.4215
1991-01-08,3.3427
1991-01-09,3.3427
1991-01-10,3.3765
1991-01-11,3.3765
1991-01-14,3.4215
1991-01-15,3.4328
1991-01-16,3.5003
1991-01-17,3.489
1991-01-18,3.5115
1991-01-21,3.5003
1991-01-22,3.4553
1991-01-23,3.4665
1991-01-24,3.4778
1991-01-25,3.5115
1991-01-28,3.5003
1991-01-29,3.489
1991-01-30,3.4665
1991-01-31,3.5566
1991-02-01,3.6579
1991-02-04,3.6466
1991-02-05,3.5903
1991-02-06,3.5791
1991-02-07,3.6016
1991-02-08,3.6579
1991-02-11,3.7817
1991-02-12,3.7817
1991-02-13,3.7929
1991-02-14,3.7254
1991-02-15,3.7817
1991-02-19,3.7704
1991-02-20,3.7366
1991-02-21,3.7254
1991-02-22,3.6466
1991-02-25,3.6195
1991-02-26,3.6195
1991-02-27,3.6986
1991-02-28,3.7213
1991-03-01,3.7778
1991-03-04,3.7439
